"BirdID","Disperse","Inherit","DispersalDate","DispersalMonth2","NatalTerritory","DisperseTerritoryID","DisperseStatus","NatalStatus","DisperseStatus2","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2","PopDensity.all","PopDensity.old","GroupSize.all","GroupSize.old","NoTranslocationEvents","TranslocationYN","Distance","NatalTerritorySize","DisperseTerritorySize","InsectAbundance","InsectDensity","SexEstimate","Novel.object.score","StndBody.mass","BodyMass","Weather","Observer","TentColour","ExplorationBranchOrientation","ReleaseMethod","Time.between.tests","Social.status","TentPoles","BranchHeight","Days.into.season","Testno","Ageclass","Age_sd","Age_sq","Age_sq_sd","Season"
1660,0,1,NA,NA,8,NA,NA,NA,NA,NA,NA,"2002-03-18","2002-03-18",1,1,NA,2002,2002,267,265,4,4,2,"Y",NA,NA,NA,1136.736848003,3.127143292,0,18,-0.440771293,14.39999962,"S","MB","G","P","P",455,"Primary",0,0,106,1,"A",1.541609482,17631601,1.929001858,106.1
1707,1,NA,"2003-02-02","W",66,77,"BrF","ABX",1,410,410,"2001-12-19","2001-12-19",NA,NA,2003,2001,2001,333,270,4,4,NA,"N",483.735464897913,970,2037,NA,NA,0,5,-0.602826595,14,"P","HE","B","D","P",928,"Primary",0,0,49,1,"A",1.483980973,16646400,1.806686587,49.2
1729,1,NA,"2002-01-17","W",47,20,"BrM","CH",1,138,138,"2001-09-01","2001-09-01",NA,NA,2002,2001,2001,275,256,3,2,NA,"N",294.416371827383,1737,1666,NA,NA,1,136,0.300866059,15.60000038,"P","MB","G","D","P",581,"Primary",0,0,54,2,"A",1.892707544,24245776,2.750168914,54.2
1729,1,NA,"2002-01-17","W",47,20,"BrM","CH",1,138,138,"2001-09-01","2001-09-01",NA,NA,2002,2001,2001,275,256,3,2,NA,"N",294.416371827383,1737,1666,NA,NA,1,58,0.438866656,15.5,"S","LMG","G","P","H",306,"Primary",0,0,52,1,"A",1.611344821,18861649,2.081715521,52.1
1763,1,NA,"2003-02-02","W",17,3,"BrF","CH",1,239,206,"2002-06-08","2002-07-11",NA,NA,2003,2002,2002,333,270,3,2,NA,"N",270.534655820655,1562,2167,NA,NA,0,32,-0.546842264,14.19999981,"C","MB","G","P","P",0,"Primary",0,0,117,1,"A",1.507226086,17040384,1.855600727,117.1
1821,1,NA,"2003-02-02","W",139,54,"BrF","CH",1,170,170,"2002-08-16","2002-08-16",NA,NA,2003,2002,2002,333,270,3,2,NA,"N",426.431706138275,2464,1099,NA,NA,0,13,-0.310769231,16,"C","MB","G","P","P",196,"Primary",0,0,74,1,"A",1.452987489,16128256,1.74235766,74.1
1824,1,NA,"2008-11-03","W",22,36,"BrF","ABX",1,1912,1912,"2003-08-10","2003-08-10",NA,NA,2008,2003,2003,361,329,5,5,1,"Y",159.298462013919,1809,2169,981.912924396,2.75125573,0,63,-0.092698715,17,"S","LMG","G","P","H",43,"Primary",0,0,67,1,"A",1.275743501,13322500,1.394015743,67.1
1824,1,NA,"2008-11-03","W",22,36,"BrF","ABX",1,1912,1912,"2003-08-10","2003-08-10",NA,NA,2008,2003,2003,361,329,5,5,1,"Y",159.298462013919,1809,2169,981.912924396,2.75125573,0,77,-0.046698517,14.30000019,"C","HE","B","P","H",332,"Primary",0,0,34,2,"A",1.4365222,15856324,1.708596593,34.1
1869,1,NA,"2005-03-20","W",83,154,"BrM","ABX",1,591,591,"2003-08-07","2003-08-07",NA,NA,2005,2003,2003,294,267,5,5,1,"Y",333.677988485905,1903,1333,757.701528839,3.151624758,1,90,0.085230772,15.89999962,"P","HE","B","P","P",0,"Primary",0,0,40,1,"A",1.367755407,14745600,1.570697315,40.2
2966,1,NA,"2005-01-13","W",8,24,"BrM","OFL",1,322,322,"2004-02-26","2004-02-26",NA,NA,2005,2004,2004,313,284,6,4,1,"Y",154.673850407882,1884,1532,757.701528839,3.151624758,1,88,0.096546702,16.39999962,"P","HE","B","P","P",383,"Primary",0,0,47,1,"A",1.272837862,13278736,1.388582329,47.2
