"BirdID","NatalTerritory","Status","FieldPeriodID","PeriodStart","PeriodEnd"
"1042","14","CH","21",1996-06-24,1996-08-11
"1494","74","CH","28",1999-07-02,1999-09-26
"1605","40","CH","39",2000-07-25,2000-08-13
"1607","40","CH","40",2001-06-29,2001-07-26
"1660","8","CH","41",2002-07-11,2002-10-02
"1669","30","CH","40",2001-06-29,2001-07-26
"1678","135","CH","41",2002-07-11,2002-10-02
"1698","54","CH","40",2001-06-29,2001-07-26
"1707","66","ABX","41",2002-07-11,2002-10-02
"1710","171","CH","41",2002-07-11,2002-10-02
"1722","125","CH","40",2001-06-29,2001-07-26
"1729","47","CH","40",2001-06-29,2001-07-26
"1731","80","CH","41",2002-07-11,2002-10-02
"1750","7","CH","41",2002-07-11,2002-10-02
"1762","2","CH","41",2002-07-11,2002-10-02
"1763","17","CH","41",2002-07-11,2002-10-02
"1801","137","CH","41",2002-07-11,2002-10-02
"1819","79","FL","30",2003-06-06,2003-09-02
"1821","139","CH","41",2002-07-11,2002-10-02
"1824","22","CH","30",2003-06-06,2003-09-02
"1826","36","FL","30",2003-06-06,2003-09-02
"1852","23","CH","30",2003-06-06,2003-09-02
"1864","30","CH","30",2003-06-06,2003-09-02
"1869","83","CH","30",2003-06-06,2003-09-02
"1877","125","CH","30",2003-06-06,2003-09-02
"2960","60","CH","30",2003-06-06,2003-09-02
"2966","8","CH","31",2003-12-12,2004-01-14
"2968","55","CH","30",2003-06-06,2003-09-02
"2978","82","CH","30",2003-06-06,2003-09-02
"2986","69","CH","31",2003-12-12,2004-01-14
"2990","63","CH","32",2004-05-17,2004-05-29
"2991","83","CH","31",2003-12-12,2004-01-14
"3085","3","CH","34",2004-05-30,2004-09-02
"3087","16","CH","34",2004-05-30,2004-09-02
"3089","140","CH","35",2004-12-18,2005-01-12
"3094","128","CH","34",2004-05-30,2004-09-02
"3451","53","CH","37",2005-05-26,2005-09-11
"3453","56","CH","34",2004-05-30,2004-09-02
"3456","109","CH","34",2004-05-30,2004-09-02
"3462","101","CH","37",2005-05-26,2005-09-11
"3486","1","CH","37",2005-05-26,2005-09-11
"3490","28","CH","35",2004-12-18,2005-01-12
"3497","1","CH","37",2005-05-26,2005-09-11
"3518","28","CH","37",2005-05-26,2005-09-11
"3519","27","CH","37",2005-05-26,2005-09-11
"3567","58","CH","35",2004-12-18,2005-01-12
"3594","5","CH","37",2005-05-26,2005-09-11
"3595","95","CH","37",2005-05-26,2005-09-11
"3606","179","CH","37",2005-05-26,2005-09-11
"3608","1","CH","37",2005-05-26,2005-09-11
"3643","113","CH","37",2005-05-26,2005-09-11
"3694","69","CH","35",2004-12-18,2005-01-12
"3699","55","CH","37",2005-05-26,2005-09-11
"4803","63","CH","54",2005-11-11,2005-12-11
"4860","54","CH","75",2006-06-12,2006-09-02
"4861","75","CH","75",2006-06-12,2006-09-02
"4883","93","CH","75",2006-06-12,2006-09-02
"4885","20","CH","75",2006-06-12,2006-09-02
"4887","112","FL","75",2006-06-12,2006-09-02
"4890","24","CH","75",2006-06-12,2006-09-02
"4892","72","CH","75",2006-06-12,2006-09-02
"4896","88","CH","75",2006-06-12,2006-09-02
"4904","43","CH","75",2006-06-12,2006-09-02
"4933","60","CH","75",2006-06-12,2006-09-02
"4939","4","CH","75",2006-06-12,2006-09-02
"4941","39","CH","75",2006-06-12,2006-09-02
"4947","110","OFL","77",2007-01-06,2007-01-29
"4954","99","CH","75",2006-06-12,2006-09-02
"4957","177","CH","75",2006-06-12,2006-09-02
"4961","51","CH","75",2006-06-12,2006-09-02
"4964","57","CH","75",2006-06-12,2006-09-02
"4965","53","CH","75",2006-06-12,2006-09-02
"4999","58","CH","77",2007-01-06,2007-01-29
"5000","135","CH","75",2006-06-12,2006-09-02
"5009","13","CH","75",2006-06-12,2006-09-02
"5072","47","CH","82",2007-06-14,2007-09-16
"5123","63","CH","82",2007-06-14,2007-09-16
"5162","174","BrF","85",2008-01-08,2008-02-21
"5163","36","CH","82",2007-06-14,2007-09-16
"5170","53","OFL","85",2008-01-08,2008-02-21
"5173","129","CH","82",2007-06-14,2007-09-16
"5195","5","CH","85",2008-01-08,2008-02-21
"5197","20","CH","87",2008-07-10,2008-09-07
"5217","125","CH","87",2008-07-10,2008-09-07
"5220","168","CH","85",2008-01-08,2008-02-21
"5235","68","CH","87",2008-07-10,2008-09-07
"5237","48","CH","87",2008-07-10,2008-09-07
"5249","70","CH","85",2008-01-08,2008-02-21
"5262","66","CH","85",2008-01-08,2008-02-21
"5267","101","CH","85",2008-01-08,2008-02-21
"5275","79","CH","87",2008-07-10,2008-09-07
"5283","92","CH","90",2008-12-30,2009-03-03
"5285","100","CH","87",2008-07-10,2008-09-07
"5290","62","CH","87",2008-07-10,2008-09-07
"5291","165","CH","87",2008-07-10,2008-09-07
"5292","59","CH","90",2008-12-30,2009-03-03
"5313","13","CH","92",2009-06-08,2009-09-18
"5319","134","CH","90",2008-12-30,2009-03-03
"5321","60","CH","90",2008-12-30,2009-03-03
"5323","135","CH","90",2008-12-30,2009-03-03
"5326","96","CH","90",2008-12-30,2009-03-03
"5333","28","CH","92",2009-06-08,2009-09-18
"5334","125","CH","90",2008-12-30,2009-03-03
"5337","477","ABX","92",2009-06-08,2009-09-18
"5338","178","CH","90",2008-12-30,2009-03-03
"5339","9","CH","92",2009-06-08,2009-09-18
"5343","3","CH","92",2009-06-08,2009-09-18
"5447","75","CH","92",2009-06-08,2009-09-18
"5450","27","CH","92",2009-06-08,2009-09-18
"5453","3","CH","92",2009-06-08,2009-09-18
"5456","77","CH","92",2009-06-08,2009-09-18
"5462","4","CH","92",2009-06-08,2009-09-18
"5497","98","CH","92",2009-06-08,2009-09-18
"5498","134","CH","92",2009-06-08,2009-09-18
"5508","48","CH","92",2009-06-08,2009-09-18
"5510","27","CH","92",2009-06-08,2009-09-18
"5511","15","CH","103",2010-02-12,2010-03-19
"5513","46","CH","92",2009-06-08,2009-09-18
"5514","43","CH","92",2009-06-08,2009-09-18
"5516","34","CH","92",2009-06-08,2009-09-18
"5517","2","CH","92",2009-06-08,2009-09-18
"5518","478","CH","92",2009-06-08,2009-09-18
"5519","490","CH","92",2009-06-08,2009-09-18
"5520","5","H","104",2010-06-30,2010-09-10
"5521","13","CH","92",2009-06-08,2009-09-18
"5522","58","CH","92",2009-06-08,2009-09-18
"5523","58","CH","92",2009-06-08,2009-09-18
"5525","30","CH","92",2009-06-08,2009-09-18
"5526","33","CH","92",2009-06-08,2009-09-18
"5527","477","CH","103",2010-02-12,2010-03-19
"5529","95","AB","104",2010-06-30,2010-09-10
"5530","172","CH","92",2009-06-08,2009-09-18
"5532","127","CH","92",2009-06-08,2009-09-18
"5533","51","CH","103",2010-02-12,2010-03-19
"5534","86","CH","103",2010-02-12,2010-03-19
"5536","3","CH","103",2010-02-12,2010-03-19
"5537","68","CH","92",2009-06-08,2009-09-18
"5538","83","CH","103",2010-02-12,2010-03-19
"5539","481","CH","103",2010-02-12,2010-03-19
"5541","43","CH","103",2010-02-12,2010-03-19
