"BirdID","LastFPIDNatal","SecondLastFPIDNatal","NatalTerritory","SecondLastFPIDNatalPeriodStart","SecondLastFPIDNatalPeriodEnd","LastFPIDNatalPeriodStart","LastFPIDNatalPeriodEnd","Inherit","Disperse","Prior_dispersal","Method","DispersalDate","DispersalMonth","DispersalMonth2","DisperseStatus2","DisperseStatus","DispersePeriodStart","DispersePeriodEnd","DisperseTerritoryID","DisperseFPID","NatalStatus","NatalStatus2"
"5541","104","103","43",2010-02-12,2010-03-19,2010-06-30,2010-09-10,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5510","104","103","27",2010-02-12,2010-03-19,2010-06-30,2010-09-10,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5520","104","103","5",2010-02-12,2010-03-19,2010-06-30,2010-09-10,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5527","104","103","477",2010-02-12,2010-03-19,2010-06-30,2010-09-10,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5326","104","103","96",2010-02-12,2010-03-19,2010-06-30,2010-09-10,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5785","112","105","60",2011-06-25,2011-10-02,2012-01-22,2012-02-28,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5773","112","105","178",2011-06-25,2011-10-02,2012-01-22,2012-02-28,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5123","116","112","63",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5784","116","112","126",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5832","116","112","477",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5827","116","112","2",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5830","116","112","67",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5831","116","112","3",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5852","116","112","109",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5636","116","112","59",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5768","116","112","71",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5771","116","112","47",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5849","116","112","63",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5777","116","112","168",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5778","116","112","168",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6013","116","112","154",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5844","116","112","478",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5848","116","112","67",2012-01-22,2012-02-28,2012-06-04,2012-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5905","118","116","43",2012-06-04,2012-09-30,2013-01-22,2013-02-27,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5772","118","116","39",2012-06-04,2012-09-30,2013-01-22,2013-02-27,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6031","118","116","125",2012-06-04,2012-09-30,2013-01-22,2013-02-27,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5906","122","118","155",2013-01-22,2013-02-27,2013-06-18,2013-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6020","122","118","20",2013-01-22,2013-02-27,2013-06-18,2013-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6021","122","118","57",2013-01-22,2013-02-27,2013-06-18,2013-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6023","122","118","58",2013-01-22,2013-02-27,2013-06-18,2013-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6037","122","118","90",2013-01-22,2013-02-27,2013-06-18,2013-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6062","122","118","135",2013-01-22,2013-02-27,2013-06-18,2013-09-30,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6180","124","122","83",2013-06-18,2013-09-30,2014-01-19,2014-03-04,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6153","125","124","46",2014-01-19,2014-03-04,2014-06-16,2014-10-04,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6140","139","125","112",2014-06-16,2014-10-04,2015-01-16,2015-03-05,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6142","139","125","13",2014-06-16,2014-10-04,2015-01-16,2015-03-05,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6147","139","125","477",2014-06-16,2014-10-04,2015-01-16,2015-03-05,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
