"BirdID","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2"
1494,381.958333333333,381.958333333333,1999-07-27,1999-07-27,NA,NA,2000,1999,1999
1605,437,437,2000-11-06,2000-11-06,NA,NA,2002,2000,2000
1607,682.958333333333,682.958333333333,2001-06-24,2001-06-24,NA,NA,2003,2001,2001
1660,NA,NA,2002-03-18,2002-03-18,1,1,NA,2002,2002
1669,341.958333333333,341.958333333333,2001-07-24,2001-07-24,NA,NA,2002,2001,2001
1678,537,537,2002-07-21,2002-07-21,NA,NA,2004,2002,2002
1707,410,410,2001-12-19,2001-12-19,NA,NA,2003,2001,2001
1722,143,143,2001-08-27,2001-08-27,NA,NA,2002,2001,2001
1729,138,138,2001-09-01,2001-09-01,NA,NA,2002,2001,2001
1750,596,596,2002-07-29,2002-07-29,NA,NA,2004,2002,2002
1763,239,206,2002-06-08,2002-07-11,NA,NA,2003,2002,2002
1801,566.958333333333,566.958333333333,2002-12-12,2002-12-12,NA,NA,2004,2002,2002
1819,2084.95833333333,2084.95833333333,2003-08-05,2003-08-05,NA,NA,2009,2003,2003
1821,170,170,2002-08-16,2002-08-16,NA,NA,2003,2002,2002
1824,1912,1912,2003-08-10,2003-08-10,NA,NA,2008,2003,2003
1826,589,589,2003-08-09,2003-08-09,NA,NA,2005,2003,2003
1869,591,591,2003-08-07,2003-08-07,NA,NA,2005,2003,2003
1877,NA,NA,2003-09-24,2003-09-24,1,1,NA,2003,2003
2966,322,322,2004-02-26,2004-02-26,NA,NA,2005,2004,2004
2968,NA,NA,2003-10-02,2003-08-31,1,1,NA,2003,2003
2978,216,216,2003-06-07,2003-06-07,NA,NA,2004,2003,2003
2986,379,379,2004-03-06,2004-03-06,NA,NA,2005,2004,2004
2990,726,726,2004-03-16,2004-03-16,NA,NA,2006,2004,2004
2991,412,412,2003-11-28,2003-11-28,NA,NA,2005,2003,2003
3085,978.958333333333,978.958333333333,2004-10-22,2004-10-22,NA,NA,2007,2004,2004
