"","BirdID","BirthDate1","BirthDate2","Disperse","DispersalDate","FieldPeriodID","Age_at_disp1","Age_at_disp2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2"
"1",1660,2002-03-18,2002-03-18,0,NA,NA,NA,NA,1,1,NA,2002,2002
"2",1877,2003-09-24,2003-09-24,0,NA,NA,NA,NA,1,1,NA,2003,2003
"3",2968,2003-10-02,2003-08-31,0,NA,NA,NA,NA,1,1,NA,2003,2003
"4",5123,2007-06-24,2007-06-24,0,NA,NA,NA,NA,1,1,NA,2007,2007
"5",5173,2007-06-03,2007-06-03,0,NA,NA,NA,NA,1,1,NA,2007,2007
"6",5290,2008-10-23,2008-07-07,0,NA,NA,NA,NA,1,1,NA,2008,2008
"7",5326,2009-03-03,2009-01-23,0,NA,NA,NA,NA,1,1,NA,2009,2009
"8",5510,2009-11-09,2009-08-27,0,NA,NA,NA,NA,1,1,NA,2009,2009
"9",5517,2009-11-12,2009-11-12,0,NA,NA,NA,NA,1,1,NA,2009,2009
"10",5543,2010-08-05,2010-08-05,0,NA,NA,NA,NA,1,1,NA,2010,2010
"11",5596,2010-11-07,2010-11-07,0,NA,NA,NA,NA,1,1,NA,2010,2010
"12",5600,2011-03-08,2011-03-08,0,NA,NA,NA,NA,1,1,NA,2011,2011
"13",5636,2010-12-12,2010-07-27,0,NA,NA,NA,NA,1,1,NA,2010,2010
"14",5686,2011-07-24,2011-07-24,0,NA,NA,NA,NA,1,1,NA,2011,2011
"15",5748,2011-08-02,2011-07-30,0,NA,NA,NA,NA,1,1,NA,2011,2011
"16",5770,2011-12-01,2011-12-01,0,NA,NA,NA,NA,1,1,NA,2011,2011
"17",5772,2011-11-02,2011-08-16,0,NA,NA,NA,NA,1,1,NA,2011,2011
"18",5773,2011-11-06,2011-09-12,0,NA,NA,NA,NA,1,1,NA,2011,2011
"19",5843,2012-01-15,2012-01-15,0,NA,NA,NA,NA,1,1,NA,2012,2012
"20",5901,2012-06-05,2012-05-28,0,NA,NA,NA,NA,1,1,NA,2012,2012
"21",5905,2012-06-09,2012-08-24,0,NA,NA,NA,NA,1,1,NA,2012,2012
"22",5906,2012-06-07,2012-06-21,0,NA,NA,NA,NA,1,0,NA,2012,2012
"23",6026,2012-11-30,2012-11-30,0,NA,NA,NA,NA,1,1,NA,2012,2012
"24",6062,2013-06-05,2013-06-05,0,NA,NA,NA,NA,1,1,NA,2013,2013
"25",6571,2015-10-11,2015-10-11,0,NA,NA,NA,NA,1,1,NA,2015,2015
"26",6777,2017-07-18,2017-07-08,0,NA,NA,NA,NA,1,1,NA,2017,2017
"27",6859,2018-02-06,2018-01-27,0,NA,NA,NA,NA,1,1,NA,2018,2018
"28",6884,2017-11-20,2017-11-20,0,NA,NA,NA,NA,1,1,NA,2017,2017
"29",6886,2018-08-06,2018-08-06,0,NA,NA,NA,NA,1,1,NA,2018,2018
"30",6909,2017-12-12,2017-12-12,0,NA,NA,NA,NA,1,1,NA,2017,2017
"31",6910,2018-07-17,2018-07-17,0,NA,NA,NA,NA,1,1,NA,2018,2018
"32",6926,2018-07-26,2018-07-26,0,NA,NA,NA,NA,1,1,NA,2018,2018
"33",7071,2018-09-15,2018-08-11,0,NA,NA,NA,NA,1,1,NA,2018,2018
"34",7084,2018-05-06,2018-05-06,0,NA,NA,NA,NA,1,1,NA,2018,2018
"35",7086,2018-05-10,2018-08-09,0,NA,NA,NA,NA,1,1,NA,2018,2018
"36",7091,2018-10-03,2018-10-03,0,NA,NA,NA,NA,1,1,NA,2018,2018
"37",1494,1999-07-27,1999-07-27,1,2000-08-12,40,381.958333333333,381.958333333333,NA,NA,2000,1999,1999
"38",1605,2000-11-06,2000-11-06,1,2002-01-17,41,437,437,NA,NA,2002,2000,2000
