"BirdID","NoTranslocationEvents","TranslocationYN"
"1660",2,"Y"
"1819",1,"Y"
"1824",1,"Y"
"1869",1,"Y"
"1877",1,"Y"
"2968",1,"Y"
"2991",1,"Y"
"5123",1,"Y"
"5173",1,"Y"
"5517",1,"Y"
"5536",2,"Y"
"5543",1,"Y"
"5595",1,"Y"
"5596",1,"Y"
"5600",1,"Y"
"5618",1,"Y"
"5641",1,"Y"
"5643",2,"Y"
"5652",2,"Y"
"5782",1,"Y"
"5833",1,"Y"
"1494",NA,"N"
"1605",NA,"N"
"1607",NA,"N"
"1669",NA,"N"
"1698",NA,"N"
"1707",NA,"N"
"1710",NA,"N"
"1722",NA,"N"
"1729",NA,"N"
"1731",NA,"N"
"1750",NA,"N"
"1763",NA,"N"
"1801",NA,"N"
"1821",NA,"N"
"1852",NA,"N"
"1864",NA,"N"
"2966",NA,"N"
"2978",NA,"N"
"2986",NA,"N"
"2990",NA,"N"
"3085",NA,"N"
"3087",NA,"N"
"3089",NA,"N"
"3094",NA,"N"
"3453",NA,"N"
"3456",NA,"N"
"3462",NA,"N"
"3486",NA,"N"
"3490",NA,"N"
"3497",NA,"N"
"3518",NA,"N"
"3519",NA,"N"
"3567",NA,"N"
"3594",NA,"N"
"3595",NA,"N"
"3606",NA,"N"
"3608",NA,"N"
"3643",NA,"N"
"3694",NA,"N"
"3699",NA,"N"
"4803",NA,"N"
"4860",NA,"N"
"4861",NA,"N"
"4885",NA,"N"
"4887",NA,"N"
"4890",NA,"N"
"4892",NA,"N"
"4896",NA,"N"
"4904",NA,"N"
"4933",NA,"N"
"4939",NA,"N"
"4941",NA,"N"
"4947",NA,"N"
"4954",NA,"N"
"4957",NA,"N"
"4961",NA,"N"
"4964",NA,"N"
"4965",NA,"N"
"4999",NA,"N"
"5000",NA,"N"
"5009",NA,"N"
"5072",NA,"N"
"5163",NA,"N"
"5197",NA,"N"
"5217",NA,"N"
"5235",NA,"N"
"5237",NA,"N"
"5262",NA,"N"
"5267",NA,"N"
"5275",NA,"N"
"5283",NA,"N"
"5285",NA,"N"
"5290",NA,"N"
"5291",NA,"N"
"5313",NA,"N"
"5319",NA,"N"
"5321",NA,"N"
"5323",NA,"N"
"5326",NA,"N"
"5333",NA,"N"
"5334",NA,"N"
"5338",NA,"N"
"5339",NA,"N"
"5450",NA,"N"
"5456",NA,"N"
"5462",NA,"N"
"5497",NA,"N"
