"TerritoryID","FieldPeriodID","TQ"
-5,127,NA
-5,157,NA
-4,33,NA
-4,38,NA
-4,73,NA
-4,84,NA
-4,93,NA
-4,109,NA
-4,117,NA
-4,121,NA
-3,2,NA
-3,3,NA
-3,4,NA
-3,5,NA
-3,6,NA
-3,7,NA
-3,10,NA
-3,12,NA
-3,19,NA
-3,22,NA
-3,25,NA
-3,27,NA
-3,28,NA
-3,39,NA
-3,41,NA
-3,34,NA
-3,37,NA
-3,75,NA
-3,82,NA
-3,87,NA
-3,92,NA
-3,104,NA
-3,105,NA
-3,116,NA
-3,122,NA
-3,125,NA
-3,159,NA
-3,167,NA
-3,173,NA
-2,45,NA
-2,47,NA
-2,49,NA
-2,83,NA
-1,120,NA
-1,11,NA
-1,13,NA
-1,24,NA
1,2,8892.001651
1,3,8892.001651
1,4,8892.001651
1,5,8892.001651
1,6,8892.001651
1,7,8892.001651
1,10,8892.001651
1,12,8892.001651
1,14,16641.2600255
1,19,16641.2600255
1,21,24390.5184
1,22,41262.53298
1,25,31813.04894
1,27,30195.06445
1,28,28577.07996
1,39,17334.968263
1,40,17334.968263
1,41,17334.968263
1,30,6092.856566
1,32,5217.748684
1,34,4342.640802
1,37,7433.910681
1,75,10525.18056
1,82,3671.463882
1,87,10968.06186
1,92,16455.78651
1,104,12434.81997
1,105,52447.26801
1,116,11839.62578
1,122,10343.37047
1,125,21998.27305
1,142,11122.38381
1,159,47064.11486
1,164,40442.13515
1,167,5875.209934
1,173,7952.586236
2,2,56424.62074
2,3,56424.62074
2,10,56424.62074
2,12,56424.62074
2,16,41945.69334
2,17,41945.69334
2,19,41945.69334
2,21,27466.76594
2,22,45689.47813
2,25,37587.66655
2,27,39802.373375
2,28,42017.0802
2,39,28574.932055
2,40,28574.932055
2,41,28574.932055
2,30,15132.78391
2,32,13040.168545
2,34,10947.55318
2,37,12160.55391
2,75,13373.55464
2,82,5614.700896
2,87,21616.15163
2,92,17862.12267
2,104,17769.97905
2,105,73533.57595
2,116,33263.485
2,122,19154.31371
2,125,9852.19963
2,142,13448.33265
2,159,89316.09068
2,164,85625.86198
2,167,9115.13306
2,173,8146.424089
3,2,23302.27096
3,3,23302.27096
3,4,23302.27096
3,5,23302.27096
3,6,23302.27096
3,7,23302.27096
3,10,23302.27096
3,12,23302.27096
3,14,62484.98543
3,16,62484.98543
3,19,62484.98543
3,21,101667.6999
3,22,144659.4558
3,25,71264.583
3,27,62248.37901
3,28,53232.17502
3,39,32203.137465
3,40,32203.137465
3,41,32203.137465
3,30,11174.09991
3,32,18583.07436
3,34,25992.04881
3,37,16415.212201
3,75,6838.375592
3,82,7205.172982
3,87,2385.566762
3,92,32912.42817
3,104,45688.31649
3,105,166285.9377
3,116,17139.22992
3,122,17491.76677
3,125,37213.31003
3,142,36611.55692
3,159,44368.04604
3,164,95317.46194
3,167,10627.64497
3,173,16921.69219
4,2,22250.65324
4,3,22250.65324
4,4,22250.65324
4,5,22250.65324
4,6,22250.65324
4,7,22250.65324
4,10,22250.65324
4,12,22250.65324
4,14,54576.53702
4,16,54576.53702
4,25,86902.4208
4,27,99798.3655
4,28,112694.3102
4,39,63160.023325
4,40,63160.023325
4,41,63160.023325
4,30,13625.73645
4,32,20621.20715
4,34,27616.67785
4,37,19518.02125
4,75,11419.36465
4,82,7260.478375
4,87,2248.639471
4,92,10866.61405
4,104,25234.9142
5,17,83177.57309
5,19,83177.57309
5,21,83177.57309
5,22,138247.0917
5,25,55257.05741
5,27,55945.32162
5,28,56633.58583
5,39,32763.6985815
5,40,32763.6985815
5,41,32763.6985815
5,30,8893.811333
5,32,20118.3004365
5,34,31342.78954
5,37,30420.85641
5,75,29498.92328
5,82,11110.16835
5,87,3748.498224
5,92,31169.71455
5,104,32515.83264
6,39,NA
6,40,NA
6,41,NA
7,2,8397.780347
7,3,8397.780347
7,5,8397.780347
7,6,8397.780347
7,7,8397.780347
7,10,8397.780347
7,12,8397.780347
7,14,16968.1146235
7,16,16968.1146235
7,25,25538.4489
7,28,30832.46423
7,39,23444.67228
7,40,23444.67228
7,41,23444.67228
7,30,16056.88033
7,32,11815.1875665
7,34,7573.494803
7,37,13187.8920665
7,75,18802.28933
7,82,8021.75926
7,87,34573.16078
7,92,18775.17974
7,104,18040.07045
8,2,11058.47625
8,5,11058.47625
8,6,11058.47625
8,7,11058.47625
8,10,11058.47625
8,12,11058.47625
8,14,26341.131465
8,16,26341.131465
8,17,26341.131465
8,19,26341.131465
8,21,41623.78668
8,22,66816.69343
8,25,32084.70476
8,27,31143.436765
8,28,30202.16877
8,39,21647.33411
8,40,21647.33411
8,41,21647.33411
8,30,13092.49945
8,32,10713.220506
8,34,8333.941562
8,37,12246.931016
8,75,16159.92047
8,82,6214.238272
8,87,18002.93455
8,92,31054.68023
8,104,18811.66026
8,105,127327.1161
8,116,21186.91287
8,122,46306.11749
8,125,20982.28727
8,142,20558.36145
8,159,51073.128
8,164,67663.64106
8,167,13252.40177
8,173,25646.17497
9,5,23040.65306
9,6,23040.65306
9,7,23040.65306
9,10,23040.65306
9,12,23040.65306
9,14,73744.88818
9,16,73744.88818
9,17,73744.88818
9,19,73744.88818
9,21,124449.1233
9,22,168997.132
9,25,168178.0208
9,27,149329.4725
9,28,130480.9242
9,39,70946.760025
9,40,70946.760025
9,41,70946.760025
9,30,11412.59585
9,32,12832.12379
9,34,14251.65173
9,37,9202.55053
9,75,4153.44933
9,82,4973.081234
9,87,1493.510264
9,92,11699.50247
9,104,25305.22395
9,105,92085.58433
9,116,20124.01066
9,122,40174.3901
9,125,17927.12248
9,142,18275.81833
9,159,36376.30305
9,164,64756.94723
9,167,7624.434442
9,173,13905.38672
10,7,22327.25484
10,10,22327.25484
10,12,22327.25484
11,41,11153.41695
11,30,11153.41695
11,32,15999.973495
11,34,20846.53004
11,37,14785.8441795
11,75,8725.158319
11,82,4748.972592
11,87,1387.786188
11,92,17042.38781
11,104,19071.2325
11,105,84333.18994
11,116,30738.21323
11,122,43050.90629
11,125,27473.11896
11,142,23512.85505
11,164,23512.85505
12,2,11106.28682
12,3,11106.28682
12,4,11106.28682
12,5,11106.28682
12,6,11106.28682
12,7,11106.28682
12,10,11106.28682
12,12,11106.28682
12,17,33474.996155
12,19,33474.996155
12,21,55843.70549
12,22,98770.33174
12,25,44447.00524
12,27,46352.225325
12,28,48257.44541
12,39,32696.948115
12,40,32696.948115
12,41,32696.948115
12,30,32696.948115
12,32,32696.948115
12,34,17136.45082
12,37,14157.158975
12,75,11177.86713
12,82,5799.459908
12,87,16228.39218
12,92,16060.86567
12,104,18743.01202
12,105,98606.12969
12,116,24943.95484
12,122,31912.12842
12,125,22546.06198
12,142,23335.74662
12,159,38135.6022
12,164,68639.85175
12,167,6716.879659
12,173,9339.114787
13,2,15755.4894
13,3,15755.4894
13,4,15755.4894
13,5,15755.4894
13,6,15755.4894
13,7,15755.4894
13,12,15755.4894
13,14,31100.67834
13,16,31100.67834
13,17,31100.67834
13,19,31100.67834
13,21,46445.86728
13,22,81514.273
13,25,31615.66593
13,27,33725.480275
13,28,35835.29462
13,39,24465.04464
13,40,24465.04464
13,41,24465.04464
13,30,13094.79466
13,32,10989.9217885
13,34,8885.048917
13,37,13198.0273885
13,75,17511.00586
13,82,18427.23084
13,87,27069.42512
13,92,22862.35924
13,104,36751.61124
13,105,133793.0882
13,116,17273.86153
13,122,34260.9455
13,125,27766.32309
13,142,25102.08652
13,159,49808.66132
13,164,57927.64532
13,167,12804.75976
13,173,16268.71148
14,2,25359.77369
14,3,25359.77369
14,4,25359.77369
14,5,25359.77369
14,6,25359.77369
14,7,25359.77369
14,10,25359.77369
14,12,25359.77369
14,14,55845.901555
14,16,55845.901555
14,17,55845.901555
14,19,55845.901555
14,21,86332.02942
14,22,105311.6815
14,25,101357.337
14,27,75375.85159
14,28,49394.36618
14,39,28586.448363
14,40,28586.448363
14,41,28586.448363
14,30,28586.448363
14,32,28586.448363
14,34,7778.530546
14,37,8543.966774
14,75,9309.403002
14,82,4141.689389
14,87,2545.586847
14,92,28034.22101
14,104,17585.27507
14,105,25204.59602
14,116,14275.04079
14,122,23202.81407
14,125,12236.04486
15,2,9077.724688
15,3,9077.724688
15,4,9077.724688
15,5,9077.724688
15,6,9077.724688
15,7,9077.724688
15,10,9077.724688
15,12,9077.724688
15,14,21806.762994
15,16,21806.762994
15,17,21806.762994
15,19,21806.762994
15,21,34535.8013
15,22,61310.18467
15,25,46610.48128
15,27,51537.294035
15,28,56464.10679
15,39,43461.074605
15,40,43461.074605
15,41,43461.074605
15,30,30458.04242
15,32,28222.549705
15,34,25987.05699
15,37,18960.29279
15,75,11933.52859
15,82,42780.52978
15,87,23865.77382
15,92,37348.17649
15,104,40723.25029
15,105,91327.50016
15,116,12321.29889
15,122,33576.24416
15,125,56384.0242
15,142,50123.63016
15,159,47845.88295
15,164,58021.64623
15,167,8842.002065
15,173,11573.20221
16,2,27581.95721
16,3,27581.95721
16,4,27581.95721
16,5,27581.95721
16,6,27581.95721
16,7,27581.95721
16,10,27581.95721
16,12,27581.95721
16,14,50633.95259
16,16,50633.95259
16,17,50633.95259
16,19,50633.95259
16,21,73685.94797
16,22,82232.88327
16,25,76517.98444
16,27,59119.61096
16,28,41721.23748
16,39,26952.8335
16,40,26952.8335
16,41,26952.8335
16,30,26952.8335
16,32,26952.8335
16,34,12184.42952
16,37,11421.701145
16,75,10658.97277
16,82,15913.75238
16,87,5743.051037
16,92,24890.57625
16,104,16574.91549
16,105,64643.22336
16,116,11329.11534
16,122,40569.05456
16,125,16940.75894
16,142,20598.48449
16,159,74978.33909
16,164,72942.34641
16,167,8005.625847
16,173,9720.557515
17,5,25148.78591
17,6,25148.78591
17,7,25148.78591
17,28,25148.78591
17,39,25148.78591
17,40,25148.78591
17,41,25148.78591
17,30,25148.78591
17,32,25148.78591
18,2,NA
18,3,NA
18,4,NA
18,5,NA
18,6,NA
18,7,NA
18,40,NA
19,2,32422.55082
19,3,32422.55082
19,4,32422.55082
19,5,32422.55082
19,6,32422.55082
19,7,32422.55082
19,10,32422.55082
19,12,32422.55082
20,2,34374.47226
20,3,34374.47226
20,4,34374.47226
20,5,34374.47226
20,6,34374.47226
20,7,34374.47226
20,10,34374.47226
20,12,34374.47226
20,14,44896.73504
20,16,44896.73504
20,19,44896.73504
20,21,55418.99782
20,22,76513.11664
20,25,99428.85811
20,27,86232.718895
20,28,73036.57968
20,39,43662.216145
20,40,43662.216145
20,41,43662.216145
20,30,14287.85261
20,32,25317.09265
20,34,36346.33269
20,37,24734.94717
20,75,13123.56165
20,82,7780.267315
20,87,2643.42506
20,92,26641.30015
20,104,43718.43547
20,105,90800.7262
20,116,25622.38003
20,122,21933.34162
20,125,19292.64134
20,142,17583.78276
20,159,34266.78293
20,164,66241.4335
20,167,14268.5036
20,173,18899.18162
21,17,NA
22,2,46609.11317
22,3,46609.11317
22,4,46609.11317
22,5,46609.11317
22,6,46609.11317
22,7,46609.11317
22,10,46609.11317
22,12,46609.11317
22,14,70954.401315
22,19,70954.401315
22,21,95299.68946
22,22,146611.0231
22,25,76572.15048
22,27,63943.11194
22,28,51314.0734
22,39,30431.2319705
22,40,30431.2319705
22,41,30431.2319705
22,30,9548.390541
22,32,16331.6479555
22,34,23114.90537
22,37,16622.232925
22,75,10129.56048
22,82,6025.208277
22,87,2300.666729
22,92,26680.43568
23,2,36520.53361
23,3,36520.53361
23,4,36520.53361
23,5,36520.53361
23,6,36520.53361
23,7,36520.53361
23,10,36520.53361
23,21,36520.53361
23,22,46426.71297
23,25,72665.75668
23,27,72788.635095
23,28,72911.51351
23,39,41781.723355
23,40,41781.723355
23,41,41781.723355
23,30,10651.9332
23,32,9193.9343435
23,34,7735.935487
23,37,17519.5935785
23,75,27303.25167
23,82,4715.507491
23,87,12881.15499
23,92,20963.03532
23,104,62874.58848
24,2,27739.82443
24,3,27739.82443
24,4,27739.82443
24,5,27739.82443
24,6,27739.82443
24,7,27739.82443
24,10,27739.82443
24,12,27739.82443
24,14,33647.01203
24,16,33647.01203
24,17,33647.01203
24,19,33647.01203
24,21,39554.19963
24,22,73132.7197
24,25,94630.81694
24,27,76093.448505
24,28,57556.08007
24,39,33489.3131395
24,40,33489.3131395
24,41,33489.3131395
24,30,9422.546209
24,32,10410.9212545
24,34,11399.2963
24,37,8292.7570275
24,75,5186.217755
24,82,4331.440545
24,87,1353.503049
24,92,14455.52533
24,104,35976.54228
24,105,67143.48381
24,116,7955.341272
24,122,41777.36733
24,125,15725.56002
24,142,17351.59465
24,159,24756.34778
24,164,27174.65776
24,167,6386.185174
24,173,20378.84578
25,2,38807.64021
25,3,38807.64021
25,4,38807.64021
25,5,38807.64021
25,6,38807.64021
25,7,38807.64021
25,10,38807.64021
25,12,38807.64021
25,14,44574.686115
25,16,44574.686115
25,17,44574.686115
25,19,44574.686115
25,21,50341.73202
25,22,97744.60564
25,25,91112.1437
25,27,73469.40285
25,28,55826.662
25,39,34368.282865
25,40,34368.282865
25,41,34368.282865
25,30,12909.90373
25,32,20906.926495
25,34,28903.94926
25,37,18899.8739635
25,75,8895.798667
25,82,7400.854406
25,87,2600.15026
25,92,12083.60798
26,4,36605.74167
26,5,36605.74167
26,6,36605.74167
26,7,36605.74167
26,10,36605.74167
26,12,36605.74167
26,14,64358.20689
26,16,64358.20689
26,17,64358.20689
26,19,64358.20689
26,21,92110.67211
26,22,155843.6197
26,25,98462.60794
26,27,89688.922665
26,28,80915.23739
26,39,49670.924105
26,40,49670.924105
26,41,49670.924105
26,30,18426.61082
26,32,25551.70407
26,34,32676.79732
26,37,22363.060465
26,75,12049.32361
26,82,9977.670121
26,87,3064.546854
26,92,21875.41606
26,104,28504.919
26,105,72821.98942
26,116,20156.78588
26,122,25776.1046
26,125,19169.03736
26,142,19879.11235
26,159,25340.18593
26,164,38928.60405
26,167,5969.802803
26,173,13753.13206
27,4,23443.04342
27,5,23443.04342
27,6,23443.04342
27,7,23443.04342
27,10,23443.04342
27,12,23443.04342
27,14,40756.993955
27,16,40756.993955
27,19,40756.993955
27,21,58070.94449
27,22,74821.38177
27,25,79180.76259
27,27,61036.574405
27,28,42892.38622
27,39,26977.5373
27,40,26977.5373
27,41,26977.5373
27,30,26977.5373
27,32,26977.5373
27,34,11062.68838
27,37,9545.1223335
27,75,8027.556287
27,82,7028.232605
27,87,3162.213468
27,92,19756.55533
27,104,23875.58226
27,105,56049.43669
27,116,7611.536042
27,122,19338.921
27,125,21229.78219
27,142,12925.1464
27,159,41902.71182
27,164,78017.37569
27,167,7784.353709
27,173,9047.487437
28,2,27761.32198
28,3,27761.32198
28,4,27761.32198
28,5,27761.32198
28,6,27761.32198
28,7,27761.32198
28,10,27761.32198
28,12,27761.32198
28,14,34684.42647
28,16,34684.42647
28,17,34684.42647
28,19,34684.42647
28,21,41607.53096
28,22,69733.41141
28,25,50699.13154
28,27,37746.149655
28,28,24793.16777
28,39,17847.676665
28,40,17847.676665
28,41,17847.676665
28,30,17847.676665
28,32,17847.676665
28,34,10902.18556
28,37,8481.6239885
28,75,6061.062417
28,82,9346.320361
28,87,3135.300438
28,92,30018.11545
28,104,13872.07997
28,105,34165.28362
28,116,6685.331023
28,122,16756.5397
28,125,9283.3943
28,142,7445.645906
28,159,33746.85602
28,164,42272.99506
28,167,6682.600696
28,173,10831.76775
29,7,NA
30,2,28359.59886
30,3,28359.59886
30,4,28359.59886
30,5,28359.59886
30,6,28359.59886
30,7,28359.59886
30,10,28359.59886
30,12,28359.59886
30,14,40647.258185
30,16,40647.258185
30,17,40647.258185
30,19,40647.258185
30,21,52934.91751
30,22,56237.10445
30,25,70014.40456
30,27,55042.967405
30,28,40071.53025
30,39,24210.9560745
30,40,24210.9560745
30,41,24210.9560745
