RowRef,TerritoryID,FieldPeriodID,SizeMethod,TerritorySize,Easting,Northing,MapName,MergeRef,MergeStatus,Island,PeriodStart,PeriodEnd
12337,481,1,D,2345,6196448.5,-479165.0938,CN_2019_Jan_Mar_FP_166_1_1,-840827905,,CN,28/09/1981,19/12/1981
1,38,7,P,1620,,,,72240895,,CN,29/01/1987,28/01/1988
2,40,7,P,3290,,,,-1766861313,,CN,29/01/1987,28/01/1988
3,45,7,P,2670,,,,845627647,,CN,29/01/1987,28/01/1988
4,47,7,P,4170,,,,-693305345,,CN,29/01/1987,28/01/1988
5,49,7,P,1220,,,,865583871,,CN,29/01/1987,28/01/1988
6,51,7,P,2940,,,,799242751,,CN,29/01/1987,28/01/1988
7,52,7,P,1930,,,,857494783,,CN,29/01/1987,28/01/1988
8,53,7,P,1620,,,,-1310866433,,CN,29/01/1987,28/01/1988
9,54,7,P,1750,,,,1242920703,,CN,29/01/1987,28/01/1988
10,55,7,P,3260,,,,872046079,,CN,29/01/1987,28/01/1988
11,56,7,P,1250,,,,-1901614849,,CN,29/01/1987,28/01/1988
12,57,7,P,1250,,,,-1517565953,,CN,29/01/1987,28/01/1988
13,59,7,P,2910,,,,-1675924737,,CN,29/01/1987,28/01/1988
14,60,7,P,1950,,,,-155680257,,CN,29/01/1987,28/01/1988
15,61,7,P,3880,,,,1543322879,,CN,29/01/1987,28/01/1988
16,62,7,P,1950,,,,1020988415,,CN,29/01/1987,28/01/1988
17,63,7,P,1760,,,,406691583,,CN,29/01/1987,28/01/1988
18,67,7,P,1220,,,,-64887297,,CN,29/01/1987,28/01/1988
19,69,7,P,3140,,,,508629247,,CN,29/01/1987,28/01/1988
20,70,7,P,2300,,,,-1104179201,,CN,29/01/1987,28/01/1988
21,71,7,P,5470,,,,2068845311,,CN,29/01/1987,28/01/1988
22,76,7,P,2030,,,,1572506111,,CN,29/01/1987,28/01/1988
23,79,7,P,1430,,,,-1726536449,,CN,29/01/1987,28/01/1988
24,81,7,P,4960,,,,-1355983873,,CN,29/01/1987,28/01/1988
25,82,7,P,1400,,,,-999897345,,CN,29/01/1987,28/01/1988
26,83,7,P,1640,,,,1850109439,,CN,29/01/1987,28/01/1988
27,86,7,P,910,,,,-469534465,,CN,29/01/1987,28/01/1988
28,87,7,P,740,,,,-1732749313,,CN,29/01/1987,28/01/1988
29,92,7,P,760,,,,-388646145,,CN,29/01/1987,28/01/1988
30,94,7,P,2670,,,,-1647734273,,CN,29/01/1987,28/01/1988
31,95,7,P,1190,,,,-1089860353,,CN,29/01/1987,28/01/1988
32,96,7,P,1710,,,,183802879,,CN,29/01/1987,28/01/1988
33,98,7,P,1220,,,,-936317185,,CN,29/01/1987,28/01/1988
34,99,7,P,730,,,,-1652034049,,CN,29/01/1987,28/01/1988
35,100,7,P,940,,,,643752191,,CN,29/01/1987,28/01/1988
36,101,7,P,1190,,,,-515497985,,CN,29/01/1987,28/01/1988
37,105,7,P,1960,,,,1615618815,,CN,29/01/1987,28/01/1988
38,108,7,P,5120,,,,-1006265857,,CN,29/01/1987,28/01/1988
39,109,7,P,5980,,,,645264639,,CN,29/01/1987,28/01/1988
40,110,7,P,6120,,,,-967777281,,CN,29/01/1987,28/01/1988
41,112,7,P,3680,,,,1094457087,,CN,29/01/1987,28/01/1988
42,113,7,P,2690,,,,-1324974593,,CN,29/01/1987,28/01/1988
43,116,7,P,1120,,,,-268220161,,CN,29/01/1987,28/01/1988
44,123,7,P,2600,,,,-134682625,,CN,29/01/1987,28/01/1988
45,125,7,P,1960,,,,1096026879,,CN,29/01/1987,28/01/1988
46,126,7,P,2590,,,,831431167,,CN,29/01/1987,28/01/1988
47,127,7,P,2900,,,,737860863,,CN,29/01/1987,28/01/1988
48,129,7,P,2390,,,,1264724991,,CN,29/01/1987,28/01/1988
49,134,7,P,3460,,,,1898462975,,CN,29/01/1987,28/01/1988
50,137,7,P,6130,,,,1675757055,,CN,29/01/1987,28/01/1988
51,138,7,P,1510,,,,-1886342913,,CN,29/01/1987,28/01/1988
52,144,7,P,1760,,,,1894821887,,CN,29/01/1987,28/01/1988
53,154,7,P,1050,,,,1334620927,,CN,29/01/1987,28/01/1988
54,157,7,P,3920,,,,461679103,,CN,29/01/1987,28/01/1988
55,160,7,P,3500,,,,-1338456833,,CN,29/01/1987,28/01/1988
56,165,7,P,3360,,,,2018014207,,CN,29/01/1987,28/01/1988
57,166,7,P,2450,,,,1033201407,,CN,29/01/1987,28/01/1988
58,168,7,P,2450,,,,-2059760129,,CN,29/01/1987,28/01/1988
