Island,Year,FieldPeriodID,MeanInsects2
CN,1990,12,2.65600629
CN,1996,21,5.504502192
CN,1997,22,6.348736621
CN,1998,23,5.837896569
CN,1998,25,3.409097045
CN,1999,26,1.50940032
CN,1999,28,5.123570615
CN,2003,30,3.666520462
CN,2004,34,3.151624758
CN,2005,35,5.764960759
CN,2005,37,3.849519826
CN,2006,75,3.293563544
CN,2007,77,4.398982094
CN,2007,82,2.824358152
CN,2008,85,1.861481987
CN,2008,87,2.75125573
CN,2009,90,4.339523059
CN,2009,92,4.308373733
CN,2010,103,2.264525257
CN,2010,104,3.736057315
CN,2011,105,8.981450234
CN,2011,110,2.036459919
CN,2012,116,3.969747677
CN,2013,118,4.8117445
CN,2013,122,3.127143292
CN,2014,124,5.438111904
CN,2014,125,4.199879045
CN,2015,139,3.080551065
CN,2015,142,3.987349657
CN,2016,144,1.985549137
CN,2016,159,3.570935273
CN,2017,161,2.491800506
CN,2017,164,11.27021182
CN,2018,166,5.483689959
CN,2018,167,2.708627279
CN,2019,171,2.250400057
CN,2019,173,4.15266459
CN,2020,174,2.024101324
