CatchID,BirdID,OccasionID,OccasionDate,FieldPeriodID,TerritoryID,Resident,CatchType,BleedTime,CatchTime,TapePlayCount,TimeSinceTape,TimeInNet,Ageclass,AgeChick,EyeColour,BodyMass,RightTarsus,LeftTarsus,WingLength,HeadBill,BillLength,BillHeight,GapeLength,GapeWidth,CloacaWidth,CloacaHeight,FeatherMites,FatScore,EggPresent,BroodPatch,BreedingPhase,TailFeather,Moult,ParasiteSmear,Photographed,Remarks
1,1575,1018,01/08/2000,39,72,,N,,00/01/1900,0,,,OFL,,,14,24.79999924,24.39999962,64,36.09999847,,,,,,,,,,,,,,FALSE,,
3,1576,1018,01/08/2000,39,15,,N,,00/01/1900,0,,,OFL,,,14.69999981,23.79999924,23.39999962,67,35.29999924,,,,,,,,,,,,,,FALSE,,
5,1186,1018,01/08/2000,39,72,,R,,00/01/1900,0,,,A,,,15.10000038,24.79999924,24.89999962,66,35.79999924,,,,,,,,,,,,,,FALSE,,
7,1859,1018,01/08/2000,39,15,,C,,00/01/1900,0,,,A,,,14.10000038,23,23.10000038,66,36,,,,,,,,,,,,,,FALSE,,BTO mis-read as VE80582 - genotype matches BrF in T10 VE30582 (3 mis-read as 8 - HD Dec 2014). CatchType changed from new to recapture.Changed BTO to VE30582 (OH).
8,848,1018,01/08/2000,39,100,,R,,00/01/1900,0,,,A,,,13.60000038,24.10000038,23.89999962,70,37.20000076,,,,,,,,,,,,,,FALSE,,
9,1577,1019,02/08/2000,39,54,,N,,00/01/1900,0,,,OFL,,,16.60000038,25.39999962,25.70000076,70,36.90000153,,,,,,,,,,,,,,FALSE,,
11,1370,1019,02/08/2000,39,52,,R,,00/01/1900,0,,,A,,,16.39999962,26.29999924,26.20000076,72,37.59999847,,,,,,,,,,,,,,FALSE,,
13,1384,1019,02/08/2000,39,52,,R,,00/01/1900,0,,,A,,,14.60000038,22.89999962,23.20000076,69,36.79999924,,,,,,,,,,,,,,FALSE,,
15,1552,1019,02/08/2000,39,54,,R,,00/01/1900,0,,,A,,,15.19999981,24.20000076,24.10000038,67,36.20000076,,,,,,,,,,,,,,FALSE,,
17,1504,1019,02/08/2000,39,60,,R,,00/01/1900,0,,,SA,,,15.69999981,27.39999962,27.20000076,67,38,,,,,,,,,,,,,,FALSE,,
19,1578,1020,03/08/2000,39,90,,N,,00/01/1900,0,,,FL,,,14.69999981,24.89999962,25,67,36.5,,,,,,,,,,,,,,FALSE,,
21,1579,1020,03/08/2000,39,95,,N,,00/01/1900,0,,,FL,,,15.5,25.10000038,25.5,69,37.40000153,,,,,,,,,,,,,,FALSE,,
23,632,1020,03/08/2000,39,90,,R,,00/01/1900,0,,,A,,,15.10000038,25.29999924,25.29999924,71,35.70000076,,,,,,,,,,,,,,FALSE,,
25,858,1020,03/08/2000,39,92,,R,,00/01/1900,0,,,A,,,16.39999962,24.79999924,24.79999924,69,37.40000153,,,,,,,,,,,,,,FALSE,,
27,1063,1020,03/08/2000,39,92,,R,,00/01/1900,0,,,A,,,15.69999981,24.89999962,24.70000076,69,36.90000153,,,,,,,,,,,,,,FALSE,,
29,1580,1021,04/08/2000,39,101,,N,,00/01/1900,0,,,FL,,,14.10000038,24,24.10000038,65,36.5,,,,,,,,,,,,,,FALSE,,
