SurveyID,FieldPeriodID,FPstart,FPend,TerritoryID,SurveyLocationRef,SamplingDate,Species,InsectCount,Island
313,7,29/01/1987,28/01/1988,2,57,01/01/1987,Pisoni,24,CN
313,7,29/01/1987,28/01/1988,2,57,01/01/1987,Scaevo,4,CN
313,7,29/01/1987,28/01/1988,2,57,01/01/1987,AchAsp,5,CN
313,7,29/01/1987,28/01/1988,2,57,01/01/1987,OtherH,5,CN
314,7,29/01/1987,28/01/1988,3,59,01/01/1987,FicNau,27,CN
314,7,29/01/1987,28/01/1988,3,59,01/01/1987,Morind,28,CN
314,7,29/01/1987,28/01/1988,3,59,01/01/1987,Pisoni,24,CN
314,7,29/01/1987,28/01/1988,3,59,01/01/1987,PhyCas,1,CN
314,7,29/01/1987,28/01/1988,3,59,01/01/1987,GosHir,28,CN
314,7,29/01/1987,28/01/1988,3,59,01/01/1987,AchAsp,5,CN
314,7,29/01/1987,28/01/1988,3,59,01/01/1987,OtherT,26,CN
314,7,29/01/1987,28/01/1988,3,59,01/01/1987,OtherH,5,CN
315,7,29/01/1987,28/01/1988,4,59,01/01/1987,Morind,29,CN
315,7,29/01/1987,28/01/1988,4,59,01/01/1987,Pisoni,23,CN
315,7,29/01/1987,28/01/1988,4,59,01/01/1987,GosHir,26,CN
315,7,29/01/1987,28/01/1988,4,59,01/01/1987,AchAsp,4,CN
315,7,29/01/1987,28/01/1988,4,59,01/01/1987,OtherH,4,CN
316,7,29/01/1987,28/01/1988,7,57,01/01/1987,FicNau,8,CN
316,7,29/01/1987,28/01/1988,7,57,01/01/1987,Morind,21,CN
316,7,29/01/1987,28/01/1988,7,57,01/01/1987,Pisoni,10,CN
316,7,29/01/1987,28/01/1988,7,57,01/01/1987,GosHir,30,CN
316,7,29/01/1987,28/01/1988,7,57,01/01/1987,AchAsp,3,CN
316,7,29/01/1987,28/01/1988,7,57,01/01/1987,OtherT,13,CN
316,7,29/01/1987,28/01/1988,7,57,01/01/1987,OtherH,3,CN
317,7,29/01/1987,28/01/1988,8,57,01/01/1987,Morind,33,CN
317,7,29/01/1987,28/01/1988,8,57,01/01/1987,Pisoni,15,CN
317,7,29/01/1987,28/01/1988,8,57,01/01/1987,PhyCas,1,CN
317,7,29/01/1987,28/01/1988,8,57,01/01/1987,NepMul,11,CN
317,7,29/01/1987,28/01/1988,8,57,01/01/1987,AchAsp,5,CN
317,7,29/01/1987,28/01/1988,8,57,01/01/1987,OtherT,27,CN
317,7,29/01/1987,28/01/1988,8,57,01/01/1987,OtherH,5,CN
318,7,29/01/1987,28/01/1988,9,59,01/01/1987,FicNau,31,CN
318,7,29/01/1987,28/01/1988,9,59,01/01/1987,Morind,404,CN
318,7,29/01/1987,28/01/1988,9,59,01/01/1987,Pisoni,134,CN
318,7,29/01/1987,28/01/1988,9,59,01/01/1987,PhyCas,9,CN
318,7,29/01/1987,28/01/1988,9,59,01/01/1987,NepMul,30,CN
318,7,29/01/1987,28/01/1988,9,59,01/01/1987,OtherT,190,CN
318,7,29/01/1987,28/01/1988,9,59,01/01/1987,OtherH,13,CN
319,7,29/01/1987,28/01/1988,10,59,01/01/1987,FicNau,70,CN
319,7,29/01/1987,28/01/1988,10,59,01/01/1987,Morind,138,CN
319,7,29/01/1987,28/01/1988,10,59,01/01/1987,Pisoni,52,CN
319,7,29/01/1987,28/01/1988,10,59,01/01/1987,NepMul,20,CN
319,7,29/01/1987,28/01/1988,10,59,01/01/1987,AchAsp,14,CN
319,7,29/01/1987,28/01/1988,10,59,01/01/1987,OtherT,87,CN
319,7,29/01/1987,28/01/1988,10,59,01/01/1987,OtherH,14,CN
320,7,29/01/1987,28/01/1988,12,57,01/01/1987,FicNau,8,CN
320,7,29/01/1987,28/01/1988,12,57,01/01/1987,Morind,21,CN
320,7,29/01/1987,28/01/1988,12,57,01/01/1987,Pisoni,10,CN
320,7,29/01/1987,28/01/1988,12,57,01/01/1987,Scaevo,9,CN
320,7,29/01/1987,28/01/1988,12,57,01/01/1987,PhyCas,0,CN
320,7,29/01/1987,28/01/1988,12,57,01/01/1987,GosHir,30,CN
320,7,29/01/1987,28/01/1988,12,57,01/01/1987,NepMul,0,CN
320,7,29/01/1987,28/01/1988,12,57,01/01/1987,AchAsp,3,CN
320,7,29/01/1987,28/01/1988,12,57,01/01/1987,OtherT,13,CN
320,7,29/01/1987,28/01/1988,12,57,01/01/1987,OtherH,3,CN
321,7,29/01/1987,28/01/1988,13,57,01/01/1987,FicNau,7,CN
321,7,29/01/1987,28/01/1988,13,57,01/01/1987,Morind,20,CN
321,7,29/01/1987,28/01/1988,13,57,01/01/1987,Pisoni,10,CN
