BloodID,BirdID,MalariaConsensus,OccasionDate,FieldPeriodID,Mismatches,Ntests
1,1758,1,23/09/2002,41,0,2
2,1757,1,23/09/2002,41,0,2
3,1523,1,23/09/2002,41,0,2
4,1891,1,24/09/2002,41,0,2
5,1759,1,25/09/2002,41,0,2
6,1892,1,27/09/2002,41,0,2
7,1894,1,27/09/2002,41,0,2
8,1760,1,02/10/2002,41,0,2
44,1761,1,20/02/2003,0,0,1
45,1705,0,07/06/2003,30,0,1
46,912,0,07/06/2003,30,0,1
47,1762,1,07/06/2003,30,0,1
48,1287,0,08/06/2003,30,0,1
49,1763,1,08/06/2003,30,0,1
50,1764,1,08/06/2003,30,0,1
51,1222,0,08/06/2003,30,0,1
52,1684,1,08/06/2003,30,0,1
53,1695,0,10/06/2003,30,0,1
54,1765,1,10/06/2003,30,0,1
55,921,1,10/06/2003,30,0,1
56,221,0,10/06/2003,30,0,1
57,1753,1,11/06/2003,30,0,1
58,1711,1,12/06/2003,30,0,1
59,1040,0,13/06/2003,30,0,1
60,1743,1,13/06/2003,30,0,1
61,1666,0,13/06/2003,30,0,1
62,1766,1,13/06/2003,30,0,1
63,1673,1,14/06/2003,30,-1,2
64,1767,2,15/06/2003,30,0,1
65,1660,1,15/06/2003,30,0,1
66,609,1,15/06/2003,30,0,1
67,1543,1,15/06/2003,30,0,1
68,1553,0,17/06/2003,30,0,1
69,1504,0,17/06/2003,30,0,1
70,1361,1,18/06/2003,30,0,1
71,1768,0,18/06/2003,30,0,1
72,51,0,18/06/2003,30,0,1
73,1769,1,20/06/2003,30,0,1
74,510,0,20/06/2003,30,0,1
75,1770,0,20/06/2003,30,0,1
76,1616,1,20/06/2003,30,0,1
77,1572,1,21/06/2003,30,0,1
78,1187,1,22/06/2003,30,0,1
79,1509,0,22/06/2003,30,0,1
80,1740,0,22/06/2003,30,0,1
81,1750,1,22/06/2003,30,0,1
82,1702,1,23/06/2003,30,0,1
83,1771,0,23/06/2003,30,0,1
84,1772,1,24/06/2003,30,0,1
85,1729,0,24/06/2003,30,0,1
86,1419,0,24/06/2003,30,0,1
87,1673,0,25/06/2003,30,0,1
88,1720,0,25/06/2003,30,0,1
89,1506,0,25/06/2003,30,0,1
90,1773,1,26/06/2003,30,0,1
91,1607,1,26/06/2003,30,0,1
92,1774,1,26/06/2003,30,0,1
93,1776,1,28/06/2003,30,0,1
94,1731,1,28/06/2003,30,0,1
95,1775,0,28/06/2003,30,0,1
96,1510,0,28/06/2003,30,0,1
97,1752,0,28/06/2003,30,0,1
98,1396,1,28/06/2003,30,0,1
99,1777,1,28/06/2003,30,0,1
100,1018,0,28/06/2003,30,0,1
101,1710,1,29/06/2003,30,0,1
102,1355,0,29/06/2003,30,0,1
103,1779,1,01/07/2003,30,0,1
104,1780,1,01/07/2003,30,0,1
105,1778,1,01/07/2003,30,0,1
106,1609,1,01/07/2003,30,0,1
107,1781,0,02/07/2003,30,0,1
108,1782,0,07/07/2003,30,0,1
110,1495,1,07/07/2003,30,0,1
111,1756,1,07/07/2003,30,0,1
