NestID,TerritoryID,FieldPeriodID,NestNumber,ClutchNumber,HatchDateLatest,FledgeDateLatest,NoFledglings,NoFledglingsEstimated
1,2,22,1,1,,,0,0
2,2,22,2,2,,,0,-1
3,1,22,2,,01/08/1997,,0,0
5,15,22,1,1,31/07/1997,,0,0
6,155,22,1,,,,0,-1
7,157,22,1,,04/08/1997,,0,-1
8,159,22,1,,04/08/1997,,0,0
9,162,22,1,,,,0,-1
10,160,22,1,,,,0,-1
11,164,22,1,,,,0,0
12,165,22,1,,24/07/1997,13/08/1997,1,0
13,166,22,1,,,,0,0
14,16,22,1,,,,0,0
15,16,22,2,,,,0,-1
16,167,22,1,,19/06/1997,05/07/1997,1,0
17,168,22,1,,,,0,0
18,168,22,2,,21/08/1997,,0,0
19,169,22,1,,,,0,-1
20,171,22,1,,,,0,0
21,171,22,2,,16/08/1997,,0,0
22,172,22,1,,,,0,0
23,20,22,1,1,05/08/1997,,0,0
24,20,22,2,,,,0,-1
25,22,22,1,1,09/08/1997,,0,0
26,23,22,1,,,,0,0
27,25,22,1,,,05/07/1997,1,0
28,3,22,1,,12/08/1997,,0,0
29,3,22,2,,14/08/1997,03/09/1997,0,0
30,26,22,1,,,,0,0
31,27,22,1,,,,0,0
32,28,22,1,,02/08/1997,,0,0
33,30,22,1,,21/06/1997,07/07/1997,1,0
34,30,22,2,,11/08/1997,,0,0
35,32,22,1,,,,0,0
36,33,22,1,,,,0,0
37,33,22,2,,,,0,-1
38,38,22,1,,,,0,-1
39,40,22,1,1,,,0,0
40,5,22,1,,,05/07/1997,1,0
41,42,22,1,,08/08/1997,,0,0
42,43,22,1,,,,0,0
43,45,22,1,,19/06/1997,05/07/1997,1,0
44,48,22,1,,27/07/1997,15/08/1997,1,-1
45,47,22,1,,,,0,0
46,49,22,1,,,,0,0
47,49,22,2,,,,0,-1
48,51,22,1,,,,0,0
49,51,22,2,,,,0,0
50,52,22,1,,,,0,-1
51,52,22,2,,,,0,0
52,53,22,1,,,,0,0
53,54,22,1,,,,0,0
54,54,22,2,,,,0,-1
55,55,22,1,,02/07/1997,18/07/1997,1,0
56,56,22,1,,05/08/1997,,0,0
57,56,22,2,,,,0,0
58,57,22,1,,,,0,0
59,57,22,2,,,,0,-1
60,59,22,1,,,,0,0
61,61,22,1,,,,0,0
62,62,22,1,,,,0,0
63,62,22,2,,25/08/1997,,1,0
64,65,22,1,,,,0,0
65,63,22,1,,07/08/1997,,0,-1
66,68,22,1,,,,0,0
67,67,22,1,,02/08/1997,,0,0
68,69,22,1,,,,0,0
69,8,22,1,,,,0,0
70,72,22,1,,,,0,0
71,72,22,2,,,,0,0
72,71,22,1,1,18/08/1997,,0,0
73,74,22,2,1,14/08/1997,,0,-1
74,73,22,1,1,,,0,0
75,77,22,2,1,,,0,-1
76,76,22,1,1,26/07/1997,12/08/1997,1,0
77,80,22,1,,09/08/1997,,0,0
78,81,22,1,,04/08/1997,,0,-1
79,83,22,1,,,,0,-1
80,84,22,1,,,,0,0
81,84,22,2,,,,0,0
82,88,22,1,,,,0,0
83,87,22,1,,07/08/1997,,0,-1
84,90,22,1,,19/08/1997,,0,-1
85,89,22,1,,20/07/1997,07/08/1997,1,0
86,94,22,1,,,,0,0
87,95,22,1,,,,0,0
88,99,22,1,,13/08/1997,,0,0
89,101,22,1,,13/08/1997,,0,-1
90,12,22,1,,,,0,0
91,12,22,2,,,,0,0
92,102,22,1,,,,0,-1
93,102,22,2,,,,0,-1
94,103,22,1,,,,0,0
95,104,22,1,,,,0,0
96,104,22,2,,12/08/1997,,0,0
97,105,22,1,,,,0,0
98,106,22,1,,,,0,0
99,106,22,2,,,,0,0
100,108,22,1,,14/08/1997,,0,-1
101,109,22,2,,,,0,0
102,110,22,1,,,10/07/1997,1,0
103,112,22,1,,,,0,0
