BirdID,TerritoryID,FieldPeriodID,NestID,WatchDate
0,1,37,1009,05/06/2005
0,3,159,4784,02/08/2016
0,5,41,620,11/08/2002
0,5,41,620,20/08/2002
0,8,122,2721,12/09/2013
0,20,19,3024,12/08/1995
0,24,167,5168,20/08/2018
0,25,25,180,14/08/1998
0,27,142,3615,28/07/2015
0,27,142,3615,12/08/2015
0,27,142,3615,18/08/2015
0,28,164,5003,11/09/2017
0,40,142,3591,20/08/2015
0,41,159,4847,28/08/2016
0,43,82,1718,11/08/2007
0,43,87,1865,30/08/2008
0,48,122,2745,17/09/2013
0,57,28,455,07/09/1999
0,58,142,3511,29/07/2015
0,59,167,5139,13/07/2018
0,60,116,2643,29/08/2012
0,60,116,2643,05/09/2012
0,60,116,2643,22/09/2012
0,75,104,2300,11/08/2010
0,76,21,2890,12/07/1996
0,80,142,3535,30/07/2015
0,86,25,281,23/08/1998
0,86,82,1760,10/08/2007
0,94,142,3576,08/08/2015
0,94,142,3576,25/08/2015
0,94,142,3576,31/08/2015
0,96,142,3525,28/07/2015
0,96,142,3525,14/08/2015
0,98,92,2029,01/09/2009
0,108,19,2218,05/07/1995
0,110,92,2037,14/08/2009
0,121,124,2823,03/02/2014
0,121,125,3133,05/08/2014
0,125,104,2334,05/08/2010
0,132,21,2198,02/08/1996
0,138,125,3078,31/07/2014
0,157,159,4852,02/09/2016
0,174,75,1424,21/08/2006
0,177,164,4949,20/07/2017
0,253,109,2542,10/06/2010
0,283,143,3460,03/08/2015
0,283,143,3460,15/08/2015
0,385,86,2104,06/08/2008
0,407,159,4821,20/08/2016
0,449,86,2137,05/07/2008
0,478,92,2083,12/06/2009
0,478,142,3537,13/08/2015
0,479,116,2608,28/08/2012
0,479,116,2608,03/09/2012
0,481,159,4888,15/09/2016
0,490,122,2720,26/08/2013
0,493,109,2540,08/06/2010
0,494,143,3720,06/10/2015
0,494,143,3720,07/10/2015
0,494,143,3720,03/11/2015
0,494,143,3720,05/11/2015
0,495,143,3653,14/09/2015
0,497,109,2544,15/06/2010
0,506,109,2543,14/06/2010
0,540,117,2709,11/07/2011
0,540,117,2709,26/07/2011
0,541,143,3658,07/10/2015
0,541,143,3658,25/10/2015
0,541,143,3658,03/11/2015
0,616,142,3635,31/08/2015
0,616,142,3663,06/08/2015
0,637,167,5116,30/07/2018
0,645,143,3661,02/10/2015
0,645,143,3661,10/10/2015
21,28,19,3026,27/07/1995
21,28,21,2175,09/07/1996
25,52,19,2214,14/07/1995
25,52,19,2214,21/07/1995
25,52,19,2214,28/07/1995
25,52,21,895,11/07/1996
42,38,19,2209,12/08/1995
42,38,19,2209,23/08/1995
44,5,25,213,16/09/1998
51,51,19,2213,26/07/1995
51,51,21,2190,26/06/1996
51,51,22,49,04/08/1997
51,51,25,225,05/09/1998
51,51,25,225,16/09/1998
51,51,30,753,01/08/2003
64,103,19,1594,01/07/1995
64,103,19,1594,02/07/1995
64,103,19,1594,21/07/1995
64,103,19,1594,25/07/1995
64,103,19,1594,28/07/1995
64,103,19,1594,30/07/1995
64,103,19,1594,12/08/1995
64,103,21,896,01/07/1996
64,103,21,896,27/07/1996
65,56,19,1588,26/07/1995
65,56,21,2171,04/07/1996
65,56,21,2171,27/07/1996
65,56,21,2171,28/07/1996
75,108,19,2218,05/07/1995
75,108,19,2218,27/07/1995
78,61,22,61,28/07/1997
163,59,19,2215,10/08/1995
163,59,19,2215,25/08/1995
163,59,21,2197,31/07/1996
163,59,25,236,31/08/1998
168,89,19,1591,02/08/1995
168,89,19,1591,04/08/1995
168,89,21,2166,25/06/1996
168,89,22,85,21/08/1997
169,28,19,3026,27/07/1995
169,28,21,2175,09/07/1996
169,28,22,32,24/07/1997
169,28,22,32,02/08/1997
169,28,25,193,01/08/1998
169,28,25,194,11/09/1998
169,28,25,194,13/09/1998
169,28,28,411,16/07/1999
169,28,28,411,17/07/1999
169,28,28,411,30/07/1999
169,28,28,411,16/08/1999
171,71,19,1587,03/08/1995
171,71,22,72,12/08/1997
172,22,19,1584,31/07/1995
172,22,21,2186,26/07/1996
172,22,22,25,08/08/1997
172,22,22,25,12/08/1997
176,63,19,3344,12/09/1995
176,63,22,65,30/07/1997
176,63,22,65,01/08/1997
176,63,22,65,09/08/1997
176,63,25,246,24/08/1998
176,63,28,463,25/07/1999
176,63,28,463,26/07/1999
176,63,28,463,05/08/1999
176,63,28,463,17/08/1999
178,103,19,1594,01/07/1995
178,103,19,1594,02/07/1995
178,103,19,1594,21/07/1995
178,103,19,1594,25/07/1995
178,103,19,1594,28/07/1995
178,103,19,1594,30/07/1995
178,103,19,1594,12/08/1995
178,103,21,896,01/07/1996
178,103,21,896,27/07/1996
178,103,21,896,11/08/1996
199,41,19,2211,25/08/1995
199,41,21,2169,03/07/1996
199,41,21,2169,13/07/1996
199,41,21,2169,25/07/1996
199,42,22,41,26/07/1997
199,42,22,41,08/08/1997
199,42,25,216,01/09/1998
199,42,30,743,08/08/2003
199,42,30,743,27/08/2003
200,12,19,1593,30/07/1995
200,12,22,90,09/08/1997
200,12,25,308,22/07/1998
200,12,25,309,11/08/1998
200,12,25,309,20/08/1998
200,12,25,309,21/08/1998
200,12,25,309,03/09/1998
200,12,28,536,17/07/1999
200,12,28,536,18/07/1999
200,12,28,537,27/08/1999
207,56,19,1588,26/07/1995
207,56,21,2171,04/07/1996
207,56,21,2171,27/07/1996
207,56,21,2171,28/07/1996
215,25,19,2208,25/08/1995
215,25,21,2194,15/07/1996
215,25,25,179,18/07/1998
215,25,25,180,14/08/1998
215,25,28,399,10/07/1999
215,25,28,399,11/07/1999
215,25,28,401,30/08/1999
216,53,21,2180,16/07/1996
216,53,25,227,26/07/1998
216,53,25,227,12/08/1998
216,53,25,227,25/08/1998
217,112,19,2219,02/08/1995
217,112,21,1601,01/07/1996
220,26,22,30,18/08/1997
220,26,28,406,23/07/1999
220,26,28,406,24/07/1999
220,26,28,406,02/08/1999
220,26,28,406,12/08/1999
