VegSurveyID,FieldPeriodID,FPstart,FPend,SamplingDate,SurveyLocationRef,TerritoryID,Species,Count
1,34,30/05/2004,02/09/2004,,65,171,AchAsp,0
1,34,30/05/2004,02/09/2004,,65,171,BoiBla,0
1,34,30/05/2004,02/09/2004,,65,171,CarPap,0
1,34,30/05/2004,02/09/2004,,65,171,CorSub,0
1,34,30/05/2004,02/09/2004,,65,171,Euphor,0
1,34,30/05/2004,02/09/2004,,65,171,Ficus,3
1,34,30/05/2004,02/09/2004,,65,171,GosHir,0
1,34,30/05/2004,02/09/2004,,65,171,Hibisc,0
1,34,30/05/2004,02/09/2004,,65,171,Mangrv,0
1,34,30/05/2004,02/09/2004,,65,171,Morind,4
1,34,30/05/2004,02/09/2004,,65,171,NepMul,0
1,34,30/05/2004,02/09/2004,,65,171,Ochros,2
1,34,30/05/2004,02/09/2004,,65,171,OtherH,0
1,34,30/05/2004,02/09/2004,,65,171,OtherT,0
1,34,30/05/2004,02/09/2004,,65,171,PhyCas,0
1,34,30/05/2004,02/09/2004,,65,171,Pisoni,32
1,34,30/05/2004,02/09/2004,,65,171,QuiInd,2
1,34,30/05/2004,02/09/2004,,65,171,Scaevo,0
1,34,30/05/2004,02/09/2004,,65,171,TerCat,0
1,34,30/05/2004,02/09/2004,,65,171,Unclas,0
2,34,30/05/2004,02/09/2004,,69,173,AchAsp,0
2,34,30/05/2004,02/09/2004,,69,173,BoiBla,0
2,34,30/05/2004,02/09/2004,,69,173,CarPap,0
2,34,30/05/2004,02/09/2004,,69,173,CorSub,0
2,34,30/05/2004,02/09/2004,,69,173,Euphor,0
2,34,30/05/2004,02/09/2004,,69,173,Ficus,3
2,34,30/05/2004,02/09/2004,,69,173,GosHir,0
2,34,30/05/2004,02/09/2004,,69,173,Hibisc,0
2,34,30/05/2004,02/09/2004,,69,173,Mangrv,0
2,34,30/05/2004,02/09/2004,,69,173,Morind,1
2,34,30/05/2004,02/09/2004,,69,173,NepMul,1
2,34,30/05/2004,02/09/2004,,69,173,Ochros,5
2,34,30/05/2004,02/09/2004,,69,173,OtherH,2
2,34,30/05/2004,02/09/2004,,69,173,OtherT,0
2,34,30/05/2004,02/09/2004,,69,173,PhyCas,0
2,34,30/05/2004,02/09/2004,,69,173,Pisoni,10
2,34,30/05/2004,02/09/2004,,69,173,QuiInd,0
2,34,30/05/2004,02/09/2004,,69,173,Scaevo,0
2,34,30/05/2004,02/09/2004,,69,173,TerCat,0
2,34,30/05/2004,02/09/2004,,69,173,Unclas,0
3,34,30/05/2004,02/09/2004,,69,174,AchAsp,0
3,34,30/05/2004,02/09/2004,,69,174,BoiBla,0
3,34,30/05/2004,02/09/2004,,69,174,CarPap,0
3,34,30/05/2004,02/09/2004,,69,174,CorSub,0
3,34,30/05/2004,02/09/2004,,69,174,Euphor,0
3,34,30/05/2004,02/09/2004,,69,174,Ficus,18
3,34,30/05/2004,02/09/2004,,69,174,GosHir,0
3,34,30/05/2004,02/09/2004,,69,174,Hibisc,0
3,34,30/05/2004,02/09/2004,,69,174,Mangrv,0
3,34,30/05/2004,02/09/2004,,69,174,Morind,2
3,34,30/05/2004,02/09/2004,,69,174,NepMul,0
3,34,30/05/2004,02/09/2004,,69,174,Ochros,0
3,34,30/05/2004,02/09/2004,,69,174,OtherH,3
3,34,30/05/2004,02/09/2004,,69,174,OtherT,0
3,34,30/05/2004,02/09/2004,,69,174,PhyCas,0
3,34,30/05/2004,02/09/2004,,69,174,Pisoni,13
3,34,30/05/2004,02/09/2004,,69,174,QuiInd,1
3,34,30/05/2004,02/09/2004,,69,174,Scaevo,0
3,34,30/05/2004,02/09/2004,,69,174,TerCat,0
