FieldPeriodID,TerritoryID,BirdID,Status,Island
122,159,5583,BrM,CN
1,1,2746,U,CN
1,3,2743,U,CN
1,3,2730,BrM,CN
1,4,427,U,CN
1,8,2748,U,CN
1,8,2750,U,CN
1,8,2741,BrF,CN
1,12,789,U,CN
1,12,2742,U,CN
1,13,2731,U,CN
1,13,2859,U,CN
1,15,2728,U,CN
1,15,2729,U,CN
1,18,2751,BrF,CN
1,20,2747,U,CN
1,20,2732,U,CN
1,23,788,U,CN
1,25,2749,BrF,CN
1,26,2742,U,CN
1,28,2772,U,CN
1,28,2853,U,CN
1,30,2860,BrF,CN
1,32,2733,BrM,CN
1,38,791,U,CN
1,38,2738,BrF,CN
1,71,790,U,CN
1,73,2734,U,CN
1,89,2737,BrF,CN
1,109,2736,U,CN
1,110,2861,U,CN
1,110,2739,U,CN
1,112,2740,BrM,CN
2,1,2746,BrM,CN
2,2,1899,BrM,CN
2,3,2754,SEEN1,CN
2,3,2860,NS,CN
2,4,427,U,CN
2,7,2766,CH,CN
2,7,1898,BrF,CN
2,7,2789,BrM,CN
2,8,2748,NS,CN
2,8,2741,BrF,CN
2,12,2752,BrM,CN
2,13,2764,U,CN
2,13,1901,BrF,CN
2,13,1900,BrM,CN
2,14,2759,BrF,CN
2,14,2758,BrM,CN
2,15,1902,BrF,CN
2,15,2762,BrM,CN
2,16,2756,BrM,CN
2,19,2750,BrF,CN
2,19,1903,U,CN
2,20,2747,U,CN
2,20,2782,BrF,CN
2,20,2858,BrM,CN
2,22,2860,BrF,CN
2,22,2754,BrM,CN
2,23,788,BrF,CN
2,24,2791,BrF,CN
2,24,795,BrM,CN
2,28,1905,BrF,CN
2,28,1904,BrM,CN
2,30,796,ABX,CN
2,30,1907,BrF,CN
2,30,1906,BrM,CN
2,32,1908,FL,CN
2,32,2795,BrF,CN
2,32,2733,BrM,CN
2,33,2755,U,CN
2,33,2786,BrM,CN
2,37,2729,U,CN
2,37,794,ABX,CN
2,38,2792,ABX,CN
2,38,1910,ABX,CN
2,38,2738,BrF,CN
2,38,1909,BrM,CN
2,40,1912,BrF,CN
2,40,1911,BrM,CN
2,41,2763,BrM,CN
2,44,2756,SEEN1,CN
2,52,1686,CH,CN
2,52,2757,BrF,CN
2,52,1913,BrM,CN
2,54,2781,BrM,CN
2,55,1915,ABX,CN
2,55,1914,BrF,CN
2,55,1913,BrM,CN
2,56,1917,BrF,CN
2,56,1916,BrM,CN
2,57,2780,CH,CN
2,57,1919,BrF,CN
2,57,1918,BrM,CN
2,59,2767,CH,CN
2,59,1921,BrF,CN
2,59,1920,BrM,CN
2,60,1923,BrF,CN
2,60,1922,BrM,CN
2,61,1925,BrF,CN
2,61,1924,BrM,CN
2,63,1928,ABX,CN
2,63,1927,BrF,CN
2,63,1926,BrM,CN
2,67,2787,ABX,CN
2,67,1929,BrM,CN
2,67,1930,BrF,CN
2,69,1931,BrM,CN
2,70,2856,SEEN1,CN
2,70,2783,BrF,CN
2,70,1932,BrM,CN
2,71,1936,FL,CN
2,71,2796,ABX,CN
2,71,1934,ABX,CN
2,71,1935,ABX,CN
2,71,1933,BrF,CN
2,71,2857,BrM,CN
2,76,2784,BrM,CN
2,81,1938,BrF,CN
2,81,1937,BrM,CN
