BirdID,SexEstimate,N,Conflict,DNAconflict,DNAestimates,BloodSamples,DNAconflictRatio
1,,0,0,0,,0,
2,,0,0,0,,0,
3,0,3,0,0,3,2,
4,,0,0,0,,0,
5,,0,0,0,,1,
6,,0,0,0,,1,
7,1,3,0,0,0,3,
8,,0,0,0,,1,
9,,0,0,0,,1,
10,,0,0,0,,1,
11,,0,0,0,,1,
12,1,1,0,0,0,1,
13,,0,0,0,,1,
14,,0,0,0,,1,
15,1,2,0,0,0,2,
16,,0,0,0,,1,
17,,0,0,0,,0,
18,,0,0,0,,0,
19,,0,0,0,,0,
20,,0,0,0,,0,
21,1,4,0,0,1,1,
22,1,3,0,0,1,1,
23,1,4,0,0,0,0,
24,1,3,0,0,0,0,
25,1,4,0,0,1,2,
26,,0,0,0,,0,
27,0,1,0,0,0,0,
28,1,1,0,0,0,0,
29,1,7,0,0,3,3,
30,1,1,0,0,0,0,
31,0,4,-1,0,1,1,
32,0,1,0,0,0,0,
33,1,1,0,0,0,0,
34,0,1,0,0,0,0,
35,,0,0,0,,0,
36,1,1,0,0,0,0,
37,0,1,0,0,0,0,
38,1,1,0,0,0,0,
39,1,1,0,0,0,0,
40,0,3,0,0,1,1,
41,,0,0,0,,0,
42,1,8,0,0,3,3,
43,1,1,0,0,0,0,
44,1,4,0,0,1,2,
45,,0,0,0,,0,
46,,0,0,0,,0,
47,,0,0,0,,0,
48,,0,0,0,,0,
49,,0,0,0,,0,
50,,0,0,0,,0,
51,1,9,-1,0,3,3,
52,,0,0,0,,0,
53,,0,0,0,,0,
54,1,1,0,0,0,0,
55,,0,0,0,,0,
56,,0,0,0,,0,
57,,0,0,0,,0,
58,,0,0,0,,0,
59,,0,0,0,,0,
60,,0,0,0,,0,
61,0,7,0,0,0,0,
62,,0,0,0,,0,
63,,0,0,0,,0,
64,0,6,0,0,1,1,
65,1,4,0,0,1,1,
66,,0,0,0,,0,
67,1,1,0,0,0,0,
68,1,7,0,0,0,1,
69,1,3,0,0,0,0,
70,,0,0,0,,0,
71,0,1,0,0,0,0,
72,,0,0,0,,0,
