CalculationMethod,Island,Year,TerritoryID,TerritoryNumber,FieldPeriodID,Pisoni,Morind,Ficus,Ochros,AchAsp,PhyCas,Hibisc,QuiInd,Mangrv,CarPap,Scaevo,CorSub,TerCat,BoiBla,GosHir,Euphor,NepMul,OtherH,OtherT,SumVeg_X_Inverts,TQ,TQcorrected
Improved,CE,2008,337,104,86,0,0,0,2.704546584,0,0,,,0,,0,,,,0,0,0,0,36.08255,38.78709658,,
Improved,CE,2008,380,100,86,20.52596315,0,2.569273743,0,0,0,,,0,,0,,,,0,6,0.354250884,0,0,29.44948778,,
Improved,CE,2008,381,101,86,10.26298157,0,0.856424581,0,0,0,,,0,,0,,,,0,6,0.708501769,0,1.881382222,19.70929015,,
Improved,CE,2008,382,102,86,26.21105528,6.391304348,0,0,0,0,,,0,,0,,,,0,0,0,0,6.872866667,39.47522629,,
Improved,CE,2008,383,103,86,40.95477387,2.130434783,0,0,0,0,,,0,,0,,,,0,0,0,0,5.15465,48.23985865,,
Improved,CE,2008,384,105,86,8.190954774,0,0,1.803031056,0,0,,,0,,0,,,,0,2.341714286,0,0,8.591083333,20.92678345,,
Improved,CE,2008,385,106,86,10.53266332,1.710144928,0,0.343863354,0,0,,,0,,0,9.7,,,0,1.928571429,0,0,0,24.21524303,,
Improved,CE,2008,387,108,86,16.04020101,0,0,0,0,0,,,0,,0,5.475,,,0,6.428571429,0,0,0,27.94377243,,
Improved,CE,2008,388,109,86,5.266331658,0.855072464,0,2.407043478,0,0,,,0,,0,4.85,,,0,0,0,0,2.767133333,16.14558093,,
Improved,CE,2008,389,110,86,6.110552764,0,0,0,0,0,,,0,,0,4.5625,,,0,5.142857143,0,0,0.846833333,16.66274324,,
Improved,CE,2008,390,111,86,6.110552764,0,0,0,0,0,,,0,,0,0,,,0,6.428571429,0,0,2.117083333,14.65620753,,
Improved,CE,2008,391,112,86,0,5.579710145,0,0,0,0,,,0,,0,0,,,0,0.533428571,0,0,0.92165,7.034788716,,
Improved,CE,2008,392,113,86,0,0,0,0.594186335,0,0,,,0,,0,2.7375,,,0,0,0,0,3.387333333,6.719019669,,
Improved,CE,2008,393,114,86,9.165829146,0,0,0,0,0,,,0,,0,3.65,,,0,3.857142857,0,0,5.927833333,22.60080534,,
Improved,CE,2008,394,115,86,0,0.797101449,0,0,0,0,,,0,,0.282169014,20.55,,,0,0,0,0,2.150516667,23.77978713,,
