BirdID,TerritoryID,Island,StatusID,Status,FieldPeriodID,PeriodStart,PeriodEnd
1033,1,CN,2746,H,22,01/07/1997,28/08/1997
912,1,CN,2747,BrF,22,01/07/1997,28/08/1997
922,1,CN,2748,BrM,22,01/07/1997,28/08/1997
6074,1,CN,2752,FL,22,01/07/1997,28/08/1997
0,1,CN,22486,FL,22,01/07/1997,28/08/1997
1236,1,CN,23203,CH,22,01/07/1997,28/08/1997
3741,1,CN,23806,EGG,22,01/07/1997,28/08/1997
912,1,CN,3114,BrF,23,20/12/1997,28/03/1998
922,1,CN,3115,BrM,23,20/12/1997,28/03/1998
1248,1,CN,3116,OFL,23,20/12/1997,28/03/1998
912,1,CN,3496,BrF,25,20/06/1998,27/09/1998
922,1,CN,3497,BrM,25,20/06/1998,27/09/1998
1366,1,CN,3500,XF,25,20/06/1998,27/09/1998
3841,1,CN,22571,CH,25,20/06/1998,27/09/1998
3840,1,CN,22572,CH,25,20/06/1998,27/09/1998
3907,1,CN,22576,XF,25,20/06/1998,27/09/1998
1367,1,CN,22595,CH,25,20/06/1998,27/09/1998
1366,1,CN,4106,ABX,27,09/04/1999,04/05/1999
912,1,CN,4107,BrF,27,09/04/1999,04/05/1999
922,1,CN,4108,BrM,27,09/04/1999,04/05/1999
1419,1,CN,4109,FL,27,09/04/1999,04/05/1999
1418,1,CN,4110,FL,27,09/04/1999,04/05/1999
912,1,CN,4399,BrF,28,02/07/1999,26/09/1999
922,1,CN,4400,BrM,28,02/07/1999,26/09/1999
1520,1,CN,4403,XF,28,02/07/1999,26/09/1999
1366,1,CN,4408,AB,28,02/07/1999,26/09/1999
1419,1,CN,4409,OFL,28,02/07/1999,26/09/1999
1418,1,CN,4410,OFL,28,02/07/1999,26/09/1999
1519,1,CN,20150,CH,28,02/07/1999,26/09/1999
3964,1,CN,23812,EGG,28,02/07/1999,26/09/1999
1705,1,CN,7027,H,30,06/06/2003,02/09/2003
912,1,CN,7029,BrF,30,06/06/2003,02/09/2003
1348,1,CN,7030,BrM,30,06/06/2003,02/09/2003
1895,1,CN,26296,CH,30,06/06/2003,02/09/2003
1705,1,CN,7420,H,34,30/05/2004,02/09/2004
1897,1,CN,7421,AB,34,30/05/2004,02/09/2004
1750,1,CN,7422,BrM,34,30/05/2004,02/09/2004
912,1,CN,7423,BrF,34,30/05/2004,02/09/2004
3009,1,CN,8439,CH,34,30/05/2004,02/09/2004
4266,1,CN,24669,EGG,34,30/05/2004,02/09/2004
1705,1,CN,9032,H,37,26/05/2005,11/09/2005
3497,1,CN,9033,OFL,37,26/05/2005,11/09/2005
1750,1,CN,9035,BrM,37,26/05/2005,11/09/2005
912,1,CN,9036,BrF,37,26/05/2005,11/09/2005
3486,1,CN,9148,OFL,37,26/05/2005,11/09/2005
3608,1,CN,9279,CH,37,26/05/2005,11/09/2005
1348,1,CN,6889,BrM,41,11/07/2002,02/10/2002
912,1,CN,6890,BrF,41,11/07/2002,02/10/2002
1705,1,CN,6891,CH,41,11/07/2002,02/10/2002
2746,1,CN,35,BrM,2,10/03/1982,11/12/1982
2745,1,CN,211,BrF,3,26/05/1983,28/11/1983
2746,1,CN,212,BrM,3,26/05/1983,28/11/1983
2832,1,CN,431,BrF,4,13/01/1984,26/09/1984
2066,1,CN,432,BrM,4,13/01/1984,26/09/1984
2832,1,CN,648,BrF,5,16/03/1985,27/11/1985
2066,1,CN,649,BrM,5,16/03/1985,27/11/1985
91,1,CN,938,ABX,6,19/05/1986,05/12/1986
2211,1,CN,939,ABX,6,19/05/1986,05/12/1986
2832,1,CN,940,BrF,6,19/05/1986,05/12/1986
2066,1,CN,941,BrM,6,19/05/1986,05/12/1986
2832,1,CN,1309,BrF,7,29/01/1987,28/01/1988
2066,1,CN,1310,BrM,7,29/01/1987,28/01/1988
2424,1,CN,1732,ABX,8,16/07/1988,24/03/1989
2832,1,CN,1733,BrF,8,16/07/1988,24/03/1989
2066,1,CN,1734,BrM,8,16/07/1988,24/03/1989
2832,1,CN,2066,BrF,10,02/07/1989,26/11/1989
2066,1,CN,2067,BrM,10,02/07/1989,26/11/1989
2832,1,CN,2400,BrF,12,22/01/1990,12/09/1990
2066,1,CN,2401,BrM,12,22/01/1990,12/09/1990
2832,1,CN,5099,BrF,14,01/01/1991,31/12/1991
859,1,CN,5609,ABX,19,22/05/1995,14/09/1995
2659,1,CN,5610,ABX,19,22/05/1995,14/09/1995
912,1,CN,5611,BrF,19,22/05/1995,14/09/1995
922,1,CN,5612,BrM,19,22/05/1995,14/09/1995
1033,1,CN,5995,XF,21,24/06/1996,11/08/1996
912,1,CN,5996,BrF,21,24/06/1996,11/08/1996
922,1,CN,5997,BrM,21,24/06/1996,11/08/1996
1034,1,CN,22020,CH,21,24/06/1996,11/08/1996
912,1,CN,3810,BrF,26,12/01/1999,29/01/1999
922,1,CN,3811,BrM,26,12/01/1999,29/01/1999
1366,1,CN,3812,OFL,26,12/01/1999,29/01/1999
1544,1,CN,4773,OFL,29,20/11/1999,07/12/1999
1705,1,CN,8515,ABX,31,12/12/2003,14/01/2004
1348,1,CN,8516,BrM,31,12/12/2003,14/01/2004
912,1,CN,8517,BrF,31,12/12/2003,14/01/2004
1895,1,CN,8518,OFL,31,12/12/2003,14/01/2004
912,1,CN,7754,BrF,32,17/05/2004,29/05/2004
1705,1,CN,7869,ABX,32,17/05/2004,29/05/2004
1750,1,CN,7895,BrM,32,17/05/2004,29/05/2004
1895,1,CN,7980,ABX,32,17/05/2004,29/05/2004
912,1,CN,8132,BrF,35,18/12/2004,12/01/2005
1750,1,CN,8133,BrM,35,18/12/2004,12/01/2005
1897,1,CN,8134,ABX,35,18/12/2004,12/01/2005
3009,1,CN,8135,OFL,35,18/12/2004,12/01/2005
1705,1,CN,8136,ABX,35,18/12/2004,12/01/2005
912,1,CN,6321,BrF,39,25/07/2000,13/08/2000
1348,1,CN,6322,BrM,39,25/07/2000,13/08/2000
1366,1,CN,6323,ABX,39,25/07/2000,13/08/2000
1419,1,CN,6324,ABX,39,25/07/2000,13/08/2000
1602,1,CN,6325,CH,39,25/07/2000,13/08/2000
912,1,CN,6346,BrF,40,29/06/2001,26/07/2001
1348,1,CN,6347,BrM,40,29/06/2001,26/07/2001
1366,1,CN,6348,H,40,29/06/2001,26/07/2001
1614,1,CN,6349,FL,40,29/06/2001,26/07/2001
912,1,CN,13396,BrF,75,12/06/2006,02/09/2006
1750,1,CN,13397,BrM,75,12/06/2006,02/09/2006
3486,1,CN,13398,ABX,75,12/06/2006,02/09/2006
4829,1,CN,13399,OFL,75,12/06/2006,02/09/2006
912,1,CN,13815,BrF,77,06/01/2007,29/01/2007
1750,1,CN,13816,BrM,77,06/01/2007,29/01/2007
3486,1,CN,13817,ABX,77,06/01/2007,29/01/2007
4829,1,CN,13818,ABX,77,06/01/2007,29/01/2007
5160,1,CN,14193,BrF,90,30/12/2008,03/03/2009
1750,1,CN,14194,BrM,90,30/12/2008,03/03/2009
912,1,CN,14601,BrF,82,14/06/2007,16/09/2007
1750,1,CN,14602,BrM,82,14/06/2007,16/09/2007
4829,1,CN,14603,ABX,82,14/06/2007,16/09/2007
912,1,CN,15047,BrF,85,08/01/2008,21/02/2008
1750,1,CN,15048,BrM,85,08/01/2008,21/02/2008
4829,1,CN,15049,ABX,85,08/01/2008,21/02/2008
912,1,CN,15572,BrF,87,10/07/2008,07/09/2008
1750,1,CN,15573,BrM,87,10/07/2008,07/09/2008
5160,1,CN,16150,BrF,92,08/06/2009,18/09/2009
1750,1,CN,16151,BrM,92,08/06/2009,18/09/2009
5160,1,CN,17527,BrF,104,30/06/2010,10/09/2010
1750,1,CN,17528,BrM,104,30/06/2010,10/09/2010
5556,1,CN,17529,FL,104,30/06/2010,10/09/2010
1750,1,CN,17981,BrM,105,25/06/2011,02/10/2011
5160,1,CN,17982,BrF,105,25/06/2011,02/10/2011
5160,1,CN,19681,TBRF,116,04/06/2012,30/09/2012
1750,1,CN,19682,BrM,116,04/06/2012,30/09/2012
1605,1,CN,19685,BrF,116,04/06/2012,30/09/2012
5160,1,CN,19380,BrF,103,12/02/2010,19/03/2010
1750,1,CN,19381,BrM,103,12/02/2010,19/03/2010
5618,1,CN,20054,BrF,118,22/01/2013,27/02/2013
1750,1,CN,20055,BrM,118,22/01/2013,27/02/2013
5160,1,CN,20188,BrF,112,22/01/2012,28/02/2012
1750,1,CN,20189,BrM,112,22/01/2012,28/02/2012
5618,1,CN,21417,BrF,122,18/06/2013,30/09/2013
1750,1,CN,21418,BrM,122,18/06/2013,30/09/2013
0,1,CN,21874,FL,122,18/06/2013,30/09/2013
1750,1,CN,22051,BrM,54,11/11/2005,11/12/2005
912,1,CN,22095,BrF,54,11/11/2005,11/12/2005
3497,1,CN,22096,ABX,54,11/11/2005,11/12/2005
3486,1,CN,22097,ABX,54,11/11/2005,11/12/2005
3608,1,CN,22098,OFL,54,11/11/2005,11/12/2005
1705,1,CN,22439,ABX,54,11/11/2005,11/12/2005
6066,1,CN,22666,BrF,124,19/01/2014,04/03/2014
1750,1,CN,22667,BrM,124,19/01/2014,04/03/2014
6066,1,CN,23258,BrF,125,16/06/2014,04/10/2014
1750,1,CN,23259,BrM,125,16/06/2014,04/10/2014
6165,1,CN,23260,H,125,16/06/2014,04/10/2014
6229,1,CN,23261,FL,125,16/06/2014,04/10/2014
6066,1,CN,23815,BrF,139,16/01/2015,05/03/2015
1750,1,CN,23816,BrM,139,16/01/2015,05/03/2015
6229,1,CN,23817,ABX,139,16/01/2015,05/03/2015
6215,1,CN,24692,BrF,142,22/06/2015,29/09/2015
1750,1,CN,24693,BrM,142,22/06/2015,29/09/2015
6215,1,CN,25631,BrF,144,02/02/2016,09/03/2016
6144,1,CN,25632,BrM,144,02/02/2016,09/03/2016
6215,1,CN,29196,BrF,159,23/06/2016,19/09/2016
6144,1,CN,29197,BrM,159,23/06/2016,19/09/2016
6215,1,CN,29611,BrF,161,07/02/2017,03/03/2017
6144,1,CN,29612,BrM,161,07/02/2017,03/03/2017
6215,1,CN,29974,BrF,164,21/06/2017,20/09/2017
6745,1,CN,29975,OFL,164,21/06/2017,20/09/2017
6144,1,CN,29976,BrM,164,21/06/2017,20/09/2017
0,1,CN,29977,EGG,164,21/06/2017,20/09/2017
6215,1,CN,30489,BrF,166,30/01/2018,14/03/2018
6144,1,CN,30490,BrM,166,30/01/2018,14/03/2018
6745,1,CN,30491,AB,166,30/01/2018,14/03/2018
6215,1,CN,31057,BrF,167,19/06/2018,22/09/2018
6144,1,CN,31058,BrM,167,19/06/2018,22/09/2018
6745,1,CN,31059,H,167,19/06/2018,22/09/2018
6901,1,CN,31060,FL,167,19/06/2018,22/09/2018
6215,1,CN,31583,BrF,171,21/01/2019,09/03/2019
6144,1,CN,31584,BrM,171,21/01/2019,09/03/2019
6745,1,CN,31585,ABX,171,21/01/2019,09/03/2019
6901,1,CN,31586,OFL,171,21/01/2019,09/03/2019
6215,1,CN,32562,BrF,173,10/06/2019,23/09/2019
6144,1,CN,32563,BrM,173,10/06/2019,23/09/2019
6901,1,CN,32564,H,173,10/06/2019,23/09/2019
0,1,CN,32565,FL,173,10/06/2019,23/09/2019
6215,1,CN,33092,BrF,174,05/02/2020,16/03/2020
6144,1,CN,33093,BrM,174,05/02/2020,16/03/2020
7115,1,CN,33095,ABX,174,05/02/2020,16/03/2020
927,2,CN,2754,BrF,22,01/07/1997,28/08/1997
501,2,CN,2755,BrM,22,01/07/1997,28/08/1997
599,2,CN,22628,ABX,22,01/07/1997,28/08/1997
927,2,CN,3117,BrF,23,20/12/1997,28/03/1998
501,2,CN,3118,BrM,23,20/12/1997,28/03/1998
1222,2,CN,3121,OFL,23,20/12/1997,28/03/1998
927,2,CN,3501,BrF,25,20/06/1998,27/09/1998
501,2,CN,3502,BrM,25,20/06/1998,27/09/1998
1407,2,CN,3503,XF,25,20/06/1998,27/09/1998
1222,2,CN,3504,ABX,25,20/06/1998,27/09/1998
1413,2,CN,22611,CH,25,20/06/1998,27/09/1998
1222,2,CN,4111,ABX,27,09/04/1999,04/05/1999
927,2,CN,4112,BrF,27,09/04/1999,04/05/1999
501,2,CN,4113,BrM,27,09/04/1999,04/05/1999
1433,2,CN,4119,FL,27,09/04/1999,04/05/1999
927,2,CN,4411,BrF,28,02/07/1999,26/09/1999
501,2,CN,4412,BrM,28,02/07/1999,26/09/1999
1433,2,CN,4413,OFL,28,02/07/1999,26/09/1999
927,2,CN,7148,BrF,30,06/06/2003,02/09/2003
501,2,CN,7150,BrM,30,06/06/2003,02/09/2003
1762,2,CN,7160,B,30,06/06/2003,02/09/2003
1897,2,CN,26294,CH,30,06/06/2003,02/09/2003
2984,2,CN,7470,BrF,34,30/05/2004,02/09/2004
501,2,CN,7471,BrM,34,30/05/2004,02/09/2004
1762,2,CN,7473,ABX,34,30/05/2004,02/09/2004
2984,2,CN,9030,BrF,37,26/05/2005,11/09/2005
2960,2,CN,9031,BrM,37,26/05/2005,11/09/2005
3448,2,CN,9149,ABX,37,26/05/2005,11/09/2005
3607,2,CN,9280,CH,37,26/05/2005,11/09/2005
501,2,CN,6886,BrM,41,11/07/2002,02/10/2002
927,2,CN,6888,BrF,41,11/07/2002,02/10/2002
1899,2,CN,36,BrM,2,10/03/1982,11/12/1982
1899,2,CN,213,BrM,3,26/05/1983,28/11/1983
2427,2,CN,1735,FL,8,16/07/1988,24/03/1989
2426,2,CN,1736,BrF,8,16/07/1988,24/03/1989
2425,2,CN,1737,BrM,8,16/07/1988,24/03/1989
2476,2,CN,2068,FL,10,02/07/1989,26/11/1989
200,2,CN,2069,AB,10,02/07/1989,26/11/1989
333,2,CN,2070,BrF,10,02/07/1989,26/11/1989
2425,2,CN,2071,BrM,10,02/07/1989,26/11/1989
333,2,CN,2402,BrF,12,22/01/1990,12/09/1990
216,2,CN,2403,BrM,12,22/01/1990,12/09/1990
2567,2,CN,5194,BrF,16,07/08/1993,13/08/1993
2568,2,CN,5195,BrM,16,07/08/1993,13/08/1993
2567,2,CN,5398,BrF,17,07/07/1994,29/07/1994
2568,2,CN,5399,BrM,17,07/07/1994,29/07/1994
2567,2,CN,5613,BrF,19,22/05/1995,14/09/1995
501,2,CN,5614,BrM,19,22/05/1995,14/09/1995
6057,2,CN,22465,CH,19,22/05/1995,14/09/1995
927,2,CN,5998,BrF,21,24/06/1996,11/08/1996
501,2,CN,5999,BrM,21,24/06/1996,11/08/1996
1222,2,CN,3813,ABX,26,12/01/1999,29/01/1999
927,2,CN,3814,BrF,26,12/01/1999,29/01/1999
