RowRef,BirdID,NestID,ChickNr,HatchDate,FledgeDate,RelationCertain,FateChick,DateCollection,Remarks,MergeRef,MergeStatus
1,117,1325,1,25/01/1989,,FALSE,F,,,-541987585,
2,118,1325,2,25/01/1989,,FALSE,F,,,-1602421761,
3,119,1328,1,25/01/1989,,FALSE,F,,,555208447,
4,121,1332,1,08/02/1989,,FALSE,F,,,1179866623,
5,122,1316,1,08/02/1989,,FALSE,F,,,293388543,
6,123,1335,1,22/02/1989,,FALSE,F,,,1869381631,
7,124,1335,2,22/02/1989,,FALSE,F,,,-950451457,
8,125,1231,3,,,FALSE,F,,,1516173823,
9,126,1232,1,26/06/1989,,FALSE,F,,,15324415,
10,127,1233,1,15/03/1989,,FALSE,F,,,1584743423,
11,129,1329,1,,,FALSE,F,,,38729471,
12,130,1317,1,24/05/1989,,FALSE,F,,,-783426049,
13,131,1326,1,19/07/1989,,FALSE,F,,,1689069823,
14,132,1326,2,17/07/1989,,FALSE,F,,,427509759,
15,133,1333,1,19/07/1989,,FALSE,F,,,1582099199,
16,134,1330,2,26/07/1989,,FALSE,F,,,1445200383,
17,135,1330,1,26/07/1989,,FALSE,F,,,1270529279,
18,136,1318,1,16/08/1989,,FALSE,F,,,1134726143,
19,137,1321,2,20/09/1989,,FALSE,F,,,-2115559681,
20,138,1321,1,20/09/1989,,FALSE,F,,,1160078847,
21,139,1334,1,30/08/1989,,FALSE,F,,,-1320775425,
22,140,1331,1,25/10/1989,,FALSE,F,,,-1152446465,
23,141,1327,1,08/11/1989,,FALSE,F,,,1643221759,
24,142,1327,2,08/11/1989,,FALSE,F,,,265685503,
25,143,1319,1,22/11/1989,,FALSE,F,,,1355064575,
26,144,1320,1,15/11/1989,,FALSE,F,,,505730047,
27,145,1342,1,24/01/1990,,FALSE,F,,,-1249884417,
28,146,1342,2,24/01/1990,,FALSE,F,,,-520491521,
29,147,1345,1,24/01/1990,,FALSE,F,,,-1175914241,
30,148,1340,2,07/02/1990,,FALSE,F,,,-1928865793,
31,149,1340,1,07/02/1990,,FALSE,F,,,-1444463873,
32,150,1336,1,26/07/1989,,FALSE,F,,,-2137714177,
33,151,1362,2,28/02/1990,,FALSE,F,,,-1532523265,
34,152,1362,1,28/02/1990,,FALSE,F,,,-1340335105,
35,153,1337,1,28/02/1990,,FALSE,F,,,-692424961,
36,154,1350,1,28/02/1990,,FALSE,F,,,2011919871,
37,155,1364,1,07/03/1990,,FALSE,F,,,-2060164865,
38,156,1357,2,07/03/1990,,FALSE,F,,,-87711745,
39,157,1357,1,07/03/1990,,FALSE,F,,,1909318399,
40,158,1351,1,14/03/1990,,FALSE,F,,,1971395071,
41,159,1354,1,07/02/1990,,FALSE,F,,,1610839295,
42,179,1346,1,16/05/1990,,FALSE,F,,,799564799,
43,180,1360,1,23/05/1990,,FALSE,F,,,-1019898113,
44,181,1358,1,20/06/1990,,FALSE,F,,,-249954817,
45,182,1343,1,27/06/1990,,FALSE,F,,,-574043905,
46,183,1355,1,04/07/1990,,FALSE,F,,,615016447,
47,3578,1161,1,,,FALSE,F,,,-649753857,
48,253,1349,2,18/07/1990,,FALSE,F,,,263856639,
49,254,1349,1,18/07/1990,,FALSE,F,,,-1619501825,
50,255,1353,1,08/08/1990,,FALSE,F,,,-957764609,
51,256,1353,2,08/08/1990,,FALSE,F,,,2089926399,
52,257,1363,1,11/07/1990,,FALSE,F,,,-945453569,
53,258,1338,1,22/08/1990,,FALSE,F,,,-767151873,
54,259,1347,1,29/08/1990,,FALSE,F,,,1590702079,
55,260,1347,2,29/08/1990,,FALSE,F,,,1676555007,
56,261,1359,1,05/09/1990,,FALSE,F,,,1147152895,
57,262,1344,1,26/09/1990,,FALSE,F,,,61228287,
58,263,1356,2,26/09/1990,,FALSE,F,,,335541247,
59,264,1356,1,26/09/1990,,FALSE,F,,,-1469126913,
60,265,1352,2,17/10/1990,,FALSE,F,,,-1968304641,
61,266,1352,1,17/10/1990,,FALSE,F,,,894212351,
62,267,1348,1,19/12/1990,,FALSE,F,,,-1319307265,
63,268,1361,1,19/12/1990,,FALSE,F,,,2036849407,
64,269,1341,1,19/12/1990,,FALSE,F,,,1553150463,
65,270,1339,1,19/12/1990,,FALSE,F,,,825044223,
66,271,1382,1,02/01/1991,,FALSE,F,,,-1458881537,
67,273,1248,2,13/02/1991,,FALSE,F,,,275582719,
68,274,1379,1,13/02/1991,,FALSE,F,,,1565758975,
69,275,1368,1,20/02/1991,,FALSE,F,,,494665983,
70,277,1388,1,06/03/1991,,FALSE,F,,,1483653119,
71,278,1383,1,06/03/1991,,FALSE,F,,,-447577345,
72,279,1373,2,15/05/1991,,FALSE,F,,,1970485759,
73,280,1369,1,10/04/1991,,FALSE,F,,,1353520383,
74,281,1373,1,15/05/1991,,FALSE,F,,,-1943305217,
75,282,1386,1,10/04/1991,,FALSE,F,,,573323007,
76,284,1375,1,05/06/1991,,FALSE,F,,,1991646719,
77,285,1377,1,03/07/1991,,FALSE,F,,,1702127871,
78,286,1370,1,03/07/1991,,FALSE,F,,,1143310335,
79,287,1370,2,03/07/1991,,FALSE,F,,,1464740607,
80,288,1384,1,17/07/1991,,FALSE,F,,,2114047,
81,289,1387,2,31/07/1991,,FALSE,F,,,-1899627265,
82,290,1387,1,31/07/1991,,FALSE,F,,,-1216295937,
83,291,1389,1,31/07/1991,,FALSE,F,,,1867276031,
84,292,1365,1,13/03/1991,,FALSE,F,,,-1577736705,
85,2998,1186,1,17/07/2004,31/07/2004,FALSE,F,,,735432959,
86,335,738,,,,FALSE,F,,ringed by Etienne,-1734258689,
87,336,1371,2,02/10/1991,,FALSE,F,,,-486878465,
