FieldPeriodID,Island,PeriodStart,PeriodEnd,EarliestEligibleDate,LatestEligibleDate,PeriodYear,Year,Period,MergeRef,MergeStatus
1,CN,28/09/1981,19/12/1981,01/01/1981,01/01/1982,1981,1981,1,1892543743,
2,CN,10/03/1982,11/12/1982,10/03/1982,01/01/1983,1982,1982,1,1562967039,
3,CN,26/05/1983,28/11/1983,26/05/1983,01/01/1984,1983,1983,1,-1693200641,
4,CN,13/01/1984,26/09/1984,13/01/1984,01/01/1985,1984,1984,1,-933276161,
5,CN,16/03/1985,27/11/1985,16/03/1985,01/01/1986,1985,1985,1,-1151811329,
6,CN,19/05/1986,05/12/1986,19/05/1986,01/01/1987,1986,1986,1,-505905153,
7,CN,29/01/1987,28/01/1988,29/01/1987,28/01/1988,1987,1987,1,538264319,
8,CN,16/07/1988,24/03/1989,16/07/1988,24/03/1989,1988,1988,1,1076558335,
9,AR,29/10/1988,10/12/1988,29/10/1988,10/12/1988,1988,1988,1,2139477247,
10,CN,02/07/1989,26/11/1989,02/07/1989,01/01/1990,1989,1989,1,1386300415,
11,AR,24/01/1989,24/11/1989,24/01/1989,24/11/1989,1989,1989,1,-708118785,
12,CN,22/01/1990,12/09/1990,22/01/1990,12/09/1990,1990,1990,1,1188683263,
13,AR,20/01/1990,30/12/1990,20/01/1990,30/12/1990,1990,1990,1,873015551,
14,CN,01/01/1991,31/12/1991,01/01/1991,08/01/1993,1991,1991,1,459753471,
15,AR,14/02/1991,23/12/1991,14/02/1991,24/07/1992,1991,1991,1,143190783,
16,CN,07/08/1993,13/08/1993,07/08/1993,01/01/1994,1993,1993,1,1198522879,
17,CN,07/07/1994,29/07/1994,07/07/1994,01/01/1995,1994,1994,1,-1479099137,
18,AR,13/06/1995,20/08/1995,13/06/1995,01/01/1996,1995,1995,1,-1622242305,
19,CN,22/05/1995,14/09/1995,22/05/1995,01/01/1996,1995,1995,1,518201087,
20,AR,10/11/1996,13/03/1997,10/11/1996,31/12/1997,1996,1996,1,1580295679,
21,CN,24/06/1996,11/08/1996,24/05/1996,31/12/1996,1996,1996,1,-1776119553,
22,CN,01/07/1997,28/08/1997,01/07/1997,16/09/1997,1997,1997,1,2092634111,
23,CN,20/12/1997,28/03/1998,18/12/1997,28/03/1998,1998,1998,1,-844262657,
24,AR,25/02/1998,30/07/1998,25/02/1998,31/12/1998,1998,1998,1,-1130231297,
25,CN,20/06/1998,27/09/1998,20/06/1998,30/10/1998,1998,1998,2,2053154047,
26,CN,12/01/1999,29/01/1999,12/01/1999,31/01/1999,1999,1999,1,290509823,
27,CN,09/04/1999,04/05/1999,09/04/1999,04/05/1999,1999,1999,2,-1946401025,
28,CN,02/07/1999,26/09/1999,02/06/1999,26/09/1999,1999,1999,3,1300622847,
29,CN,20/11/1999,07/12/1999,20/11/1999,01/01/2000,1999,1999,4,-1538983681,
30,CN,06/06/2003,02/09/2003,06/06/2003,01/10/2003,2003,2003,1,1039390719,
31,CN,12/12/2003,14/01/2004,12/12/2003,14/01/2004,2003,2003,2,1193491199,
32,CN,17/05/2004,29/05/2004,17/05/2004,29/05/2004,2004,2004,1,-1730080257,
33,DS,29/05/2004,23/08/2004,29/05/2004,16/11/2004,2004,2004,1,-1950118657,
34,CN,30/05/2004,02/09/2004,30/05/2004,23/09/2004,2004,2004,2,1791499263,
35,CN,18/12/2004,12/01/2005,18/12/2004,12/01/2005,2005,2005,1,1454796543,
36,DS,09/01/2005,12/01/2005,09/01/2005,12/01/2005,2005,2005,1,-403212801,
37,CN,26/05/2005,11/09/2005,26/05/2005,15/10/2005,2005,2005,2,1695572223,
38,DS,26/05/2005,03/08/2005,26/05/2005,31/08/2005,2005,2005,2,-885940225,
39,CN,25/07/2000,13/08/2000,25/07/2000,13/08/2000,2000,2000,1,-1333140737,
40,CN,29/06/2001,26/07/2001,29/06/2001,26/07/2001,2001,2001,1,-1454564865,
41,CN,11/07/2002,02/10/2002,01/06/2002,20/10/2002,2002,2002,1,-190876417,
42,AR,15/02/1993,17/03/1993,15/02/1993,09/06/1993,1993,1993,1,-506174465,
43,AR,11/01/1999,17/01/1999,11/01/1999,17/01/1999,1999,1999,1,1555142399,
