TerritoryID,Island,TerritoryLocation,TerritoryNumber,SurveyLocationRef,MergeRef,MergeStatus
-5,FR,No Territory or Unknown,NA,,262165232,
-4,DS,No Territory or Unknown,NA,,341815551,
-3,CN,No Territory or Unknown,NA,,-561795073,
-2,CE,No Territory or Unknown,NA,,315863807,
-1,AR,No Territory or Unknown,NA,,-1380996609,
1,CN,,1,57,1706542335,
2,CN,,1.1,57,332100607,
3,CN,,2,59,923559679,
4,CN,,3,59,886410751,
5,CN,,3.1,59,886446335,
6,CN,,3.2,,-1195345921,
7,CN,,4,57,1362975487,
8,CN,,5,57,185774591,
9,CN,,6,59,-2085704449,
10,CN,,6.1,59,-1752777729,
11,CN,,6.5,59,-1829073153,
12,CN,,7,57,-341109249,
13,CN,,8,57,813007103,
14,CN,,9,58,-444448769,
15,CN,,10,57,-333970689,
16,CN,,11,58,1461893631,
17,CN,,12,58,-912354049,
18,CN,,13,59,-950598657,
19,CN,,14,59,2125051647,
20,CN,,15,59,926785023,
21,CN,,15.5,,-1579292417,
22,CN,,16,59,350816255,
23,CN,,17,62,1392749311,
24,CN,,18,59,-1023426049,
25,CN,,19,59,606567679,
26,CN,,20,59,1566329855,
27,CN,,21,58,1270472447,
28,CN,,22,58,-1565710849,
29,CN,,22.1,58,1739542783,
30,CN,,23,58,722784255,
31,CN,,23.1,58,1503679231,
32,CN,,24,65,1405733375,
33,CN,,25,65,65627391,
34,CN,,26,65,-2018077697,
35,CN,,26.1,65,-271907073,
36,CN,,26.5,65,-853955073,
37,CN,,27,65,613005567,
38,CN,,28,59,-1071278081,
39,CN,,28.1,59,-1215431937,
40,CN,,29,62,1654706687,
41,CN,,30,60,-578532097,
42,CN,,30.1,60,1753603071,
43,CN,,30.2,60,-2072170753,
44,CN,,31,60,-375179777,
45,CN,,32,60,-1089658625,
46,CN,,32.5,60,-1606721537,
47,CN,,33,61,-2006146305,
48,CN,,33.1,61,480565759,
49,CN,,34,61,-1449642753,
50,CN,,34.5,61,-1779817473,
51,CN,,35,61,-948939009,
52,CN,,36,60,1063894527,
53,CN,,37,60,-505837313,
54,CN,,38,60,1266034687,
55,CN,,39,61,-874755329,
56,CN,,40,66,49668607,
57,CN,,41,60,1690639615,
58,CN,,41.1,66,-1711051777,
59,CN,,42,68,-1706787073,
60,CN,,43,60,-1450359297,
61,CN,,44,61,2072965375,
62,CN,,45,68,1979052031,
63,CN,,46,61,-444796161,
64,CN,,46.1,61,1790175743,
65,CN,,46.2,61,-1884617473,
66,CN,,46.5,61,1928442879,
67,CN,,47,61,-2103859457,
68,CN,,47.1,61,388877823,
69,CN,,48,61,1053645055,
70,CN,,49,69,-2015709185,
71,CN,,50,69,485399295,
72,CN,,50.1,69,-50400769,
73,CN,,51,62,-1360401153,
74,CN,,51.1,62,315948031,
75,CN,,51.2,62,705679103,
76,CN,,52,62,191583743,
77,CN,,52.1,62,573882623,
78,CN,,52.2,62,491028479,
79,CN,,53,65,500253439,
80,CN,,53.1,65,922155519,
81,CN,,54,63,-886975233,
82,CN,,55,63,-540195841,
83,CN,,56,63,-565774593,
84,CN,,57,65,493215231,
85,CN,,57.1,62,-530241281,
86,CN,,58,62,-2041362433,
87,CN,,59,64,2009393919,
88,CN,,59.1,63,-373554689,
89,CN,,60,64,-252527361,
90,CN,,60.1,64,872057855,
91,CN,,61,63,283057919,
92,CN,,62,64,2017289727,
93,CN,,62.1,64,2013171967,
94,CN,,63,64,1193742335,
95,CN,,64,64,510235391,
96,CN,,65,64,-1167193601,
97,CN,,65.1,,-1325619969,
98,CN,,66,70,-579021825,
99,CN,,67,70,-679983361,
100,CN,,68,70,1527901695,
101,CN,,69,70,-1415513857,
102,CN,,70,70,-1746937857,
103,CN,,71,70,-379634945,
104,CN,,72,70,-1574104577,
105,CN,,73,70,-1612739329,
106,CN,,74,70,-1636557825,
107,CN,,74.1,,1806855935,
108,CN,,75,65,-1727826433,
109,CN,,76,65,-2115215105,
110,CN,,77,65,-459431937,
111,CN,,77.1,65,340124415,
112,CN,,78,59,1847138815,
113,CN,,79,65,-700746497,
114,CN,,79.1,,-1392483329,
115,CN,,80,65,-1423075585,
116,CN,,81,70,422706687,
117,CN,,82,64,-981415681,
118,CN,,82.1,68,1300260863,
119,CN,,82.2,68,-1094874369,
120,CN,,82.3,68,1062347263,
121,CN,,83,68,1890606335,
122,CN,,83.1,,859941887,
123,CN,,84,69,-1752580353,
124,CN,,84.1,69,1455261183,
125,CN,,85,64,-2063716097,
126,CN,,86,66,648556543,
127,CN,,87,66,1818637055,
128,CN,,87.1,66,184035839,
129,CN,,88,66,266224895,
130,CN,,88.1,71,-816319489,
131,CN,,89,67,-697899265,
132,CN,,90,71,-523891201,
133,CN,,91,67,-1828415233,
134,CN,,92,67,2016737279,
135,CN,,92.1,67,-2065704193,
136,CN,,92.2,,439038463,
137,CN,,93,67,1483025663,
138,CN,,94,70,325270527,
139,CN,,94.1,67,828706559,
140,CN,,94.2,70,-630483457,
141,CN,,95,70,104071423,
142,CN,,95.1,67,2118565887,
143,CN,,95.2,67,-741702913,
144,CN,,96,67,-1978975745,
145,CN,,96.1,,1927615743,
146,CN,,97,67,92505087,
147,CN,,97.1,70,371472127,
148,CN,,98,70,2060328447,
149,CN,,98.1,,-1188271873,
150,CN,,99,67,687704063,
151,CN,,99.1,,147204863,
152,CN,,99.2,,-877116929,
153,CN,,100,70,-1946288897,
154,CN,,101,70,-1613181953,
155,CN,,101.1,70,373579519,
156,CN,,101.2,,-1928485377,
157,CN,,102,67,-896675585,
158,CN,,103,70,-1669771265,
159,CN,,103.1,70,930271999,
160,CN,,104,67,609372671,
161,CN,,104.1,,1414522111,
162,CN,,104.2,67,1350767615,
163,CN,,106,71,1734706943,
164,CN,,107,71,-263574017,
165,CN,,108,68,486029567,
166,CN,,109,69,-1327884289,
167,CN,,110,68,1466989311,
168,CN,,111,69,754536959,
169,CN,,112,68,-2139435777,
170,CN,,113,68,2040683519,
171,CN,,114,65,1663545087,
172,CN,,123,58,396604927,
173,CN,,116,69,-687103745,
174,CN,,117,69,1916788735,
175,CN,,118,,-1000398081,
176,CN,,119,,1389189631,
177,CN,,120,70,1226749183,
178,CN,,121,67,-245980161,
179,CN,,122,62,120248063,
182,AR,East,1,,-479721217,
183,AR,East,2,,-1597331457,
184,AR,Plateau,3,,-1109472513,
185,AR,Plateau,3.1,,1458463231,
186,AR,Plateau-edge,3.2,,-354706177,
187,AR,Plateau,4,,-2118128641,
188,AR,Plateau-edge,5,,1963917055,
189,AR,Plateau-edge,6,,1663944191,
190,AR,Plateau,7,,1890414847,
191,AR,Plateau,7.1,,815427583,
192,AR,Plateau,7.2,,-410029313,
193,AR,Plateau,8,,-830707201,
194,AR,north,8.1,,642876671,
195,AR,Plateau,10,,1761489919,
196,AR,Plateau,10.1,,1920214783,
197,AR,Plateau,10.2,,-778154497,
198,AR,Plateau,11,,1903941887,
199,AR,west,12,,-909166593,
200,AR,north-east,13,,-921625857,
201,AR,north-east,15,,-1567133185,
202,AR,Plateau,16,,-1071616769,
203,AR,Plateau-edge,17,,-651068417,
204,AR,Plateau,18,,-386248961,
205,AR,Plateau,19,,-1733569025,
206,AR,north-east,20,,477315327,
207,AR,north-east,21,,1216937983,
208,AR,north-west,22,,1308869375,
209,AR,Plateau,23,,-1872791041,
210,AR,Plateau,23.1,,15226111,
211,AR,Plateau,23.2,,2021245951,
212,AR,Plateau,23.3,,1715566335,
213,AR,north,24,,-1888068097,
214,AR,Plateau-edge,25,,1815324927,
215,AR,East,26,,1021822975,
216,AR,north-west,27,,1174891263,
217,AR,north-west,28,,-1460370945,
218,AR,north,29,,893992191,
219,AR,north,30,,-520680449,
220,AR,north-east,31,,-1679188225,
221,AR,north-east,32,,555607551,
222,AR,East,33,,-1621290753,
223,AR,west,34,,1795919871,
224,AR,west,35,,-457436417,
225,AR,west,36,,-780760577,
226,AR,Plateau,37,,769860863,
227,AR,Plateau,37.1,,550065151,
228,AR,Plateau,37.2,,-544028929,
229,AR,Plateau,37.3,,-859673089,
230,AR,Plateau,39,,-1198556929,
231,AR,Plateau,39.1,,1259624447,
232,AR,Plateau,39.2,,1103215359,
233,AR,north,40,,1124438527,
234,AR,north-west,41,,-1084879617,
235,AR,not in map,42,,974167039,
236,AR,East,43,,-1428361473,
237,AR,Plateau,44,,-1518078465,
238,AR,East,45,,-26550017,
239,AR,north-east,46,,-1994252289,
240,AR,not in map,47,,-659004673,
241,AR,Plateau,48,,180460031,
242,AR,Plateau,49,,1111618815,
243,AR,Plateau,50,,-1561533441,
244,AR,Plateau,51,,459806463,
245,AR,Plateau,52,,-763200001,
246,AR,Plateau,53,,2072987903,
247,AR,Plateau,54,,-2058033153,
