"BirdID","EnvironmentScore","OccasionDate","LastFPIDNatal","SecondLastFPIDNatal","NatalTerritory","SecondLastFPIDNatalPeriodStart","SecondLastFPIDNatalPeriodEnd","LastFPIDNatalPeriodStart","LastFPIDNatalPeriodEnd","Disperse","Prior_dispersal","Method","DispersalDate","DispersalMonth","DispersalMonth2","Status2","FieldPeriodID","PeriodStart","PeriodEnd","TerritoryID","Status","NatalStatus","NatalStatus2"
1494,6,2010-08-28,28,27,137,"1999-04-09","1999-05-04","1999-07-02","1999-09-26",1,"0","E","2000-08-12","Aug","S",1,40,"2001-06-29","2001-07-26",140,"BrM","CH",2
1605,16,2012-06-17,40,39,40,"2000-07-25","2000-08-13","2001-06-29","2001-07-26",1,"0","E","2002-01-17","Jan","W",1,41,"2002-07-11","2002-10-02",8,"BrF","ABX",2
1607,6,2010-08-31,41,40,40,"2001-06-29","2001-07-26","2002-07-11","2002-10-02",1,"0","E","2003-05-08","May","S",1,31,"2003-12-12","2004-01-14",13,"BrM","ABX",2
1669,6,2012-07-14,40,39,30,"2000-07-25","2000-08-13","2001-06-29","2001-07-26",1,"0","E","2002-07-01","Jul","S",1,30,"2003-06-06","2003-09-02",68,"BrF","CH",2
1698,5,2010-07-21,32,31,54,"2003-12-12","2004-01-14","2004-05-17","2004-05-29",1,"0","E","2004-05-29","May","S",1,34,"2004-05-30","2004-09-02",51,"BrM","ABX",2
1707,13,2010-08-06,41,40,66,"2001-06-29","2001-07-26","2002-07-11","2002-10-02",1,"0","E","2003-02-02","Feb","W",1,30,"2003-06-06","2003-09-02",77,"BrF","ABX",2
1710,44,2012-01-31,32,31,171,"2003-12-12","2004-01-14","2004-05-17","2004-05-29",1,"0","E","2004-05-29","May","S",1,34,"2004-05-30","2004-09-02",77,"BrM","ABX",2
1722,9,2012-02-02,40,39,125,"2000-07-25","2000-08-13","2001-06-29","2001-07-26",1,"0","E","2002-01-17","Jan","W",1,41,"2002-07-11","2002-10-02",90,"BrM","CH",2
1729,28,2012-01-31,40,39,47,"2000-07-25","2000-08-13","2001-06-29","2001-07-26",1,"0","E","2002-01-17","Jan","W",1,41,"2002-07-11","2002-10-02",20,"BrM","CH",2
1731,6,2012-02-13,32,31,80,"2003-12-12","2004-01-14","2004-05-17","2004-05-29",1,"0","E","2004-05-29","May","S",1,34,"2004-05-30","2004-09-02",112,"BrM","ABX",2
1750,52,2010-08-31,31,30,7,"2003-06-06","2003-09-02","2003-12-12","2004-01-14",1,"0","E","2004-03-16","Mar","W",1,32,"2004-05-17","2004-05-29",1,"BrM","B",2
1763,14,2013-09-26,41,40,17,"2001-06-29","2001-07-26","2002-07-11","2002-10-02",1,"0","E","2003-02-02","Feb","W",1,30,"2003-06-06","2003-09-02",3,"BrF","CH",2
1801,12,2012-06-28,31,30,137,"2003-06-06","2003-09-02","2003-12-12","2004-01-14",1,"0","E","2004-07-01","Jul","S",1,35,"2004-12-18","2005-01-12",138,"BrM","ABX",2
1819,121,2011-12-14,90,87,79,"2008-07-10","2008-09-07","2008-12-30","2009-03-03",1,"0","E","2009-04-20","Apr","W",1,92,"2009-06-08","2009-09-18",171,"BrM","ABX",2
1821,20,2013-01-30,41,40,139,"2001-06-29","2001-07-26","2002-07-11","2002-10-02",1,"0","E","2003-02-02","Feb","W",1,30,"2003-06-06","2003-09-02",54,"BrF","CH",2
1824,0,2010-08-08,87,85,22,"2008-01-08","2008-02-21","2008-07-10","2008-09-07",1,"0","E","2008-11-03","Nov","W",1,90,"2008-12-30","2009-03-03",36,"BrF","ABX",2
1852,42,2010-07-10,32,31,23,"2003-12-12","2004-01-14","2004-05-17","2004-05-29",1,"0","P","2004-06-02","Jun","S",1,34,"2004-05-30","2004-09-02",76,"BrF","ABX",2
1864,7,2012-02-13,32,31,30,"2003-12-12","2004-01-14","2004-05-17","2004-05-29",1,"0","E","2004-05-29","May","S",1,34,"2004-05-30","2004-09-02",34,"BrF","ABX",2
1869,53,2014-02-10,35,34,83,"2004-05-30","2004-09-02","2004-12-18","2005-01-12",1,"0","E","2005-03-20","Mar","W",1,37,"2005-05-26","2005-09-11",154,"BrM","ABX",2
2966,10,2012-02-07,34,32,8,"2004-05-17","2004-05-29","2004-05-30","2004-09-02",1,"0","E","2005-01-13","Jan","W",1,37,"2005-05-26","2005-09-11",24,"BrM","OFL",2
2978,27,2012-02-11,30,41,82,"2002-07-11","2002-10-02","2003-06-06","2003-09-02",1,"0","E","2004-01-09","Jan","W",1,32,"2004-05-17","2004-05-29",86,"BrF","CH",2
2986,32,2013-09-26,35,34,69,"2004-05-30","2004-09-02","2004-12-18","2005-01-12",1,"0","E","2005-03-20","Mar","W",1,37,"2005-05-26","2005-09-11",82,"BrF","ABX",2
2990,15,2010-08-17,54,37,63,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","E","2006-03-12","Mar","W",1,75,"2006-06-12","2006-09-02",48,"BrM","ABX",2
2991,43,2013-02-20,34,32,83,"2004-05-17","2004-05-29","2004-05-30","2004-09-02",1,"0","E","2005-01-13","Jan","W",1,37,"2005-05-26","2005-09-11",179,"BrM","ABX",2
3085,15,2010-07-04,75,74,3,"2006-03-15","2006-03-21","2006-06-12","2006-09-02",1,"0","P","2007-06-28","Jun","S",1,82,"2007-06-14","2007-09-16",20,"BrF","H",2
3087,29,2012-09-22,54,37,16,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","E","2006-03-12","Mar","W",1,75,"2006-06-12","2006-09-02",27,"BrM","ABX",2
3089,20,2012-02-11,35,34,140,"2004-05-30","2004-09-02","2004-12-18","2005-01-12",1,"0","E","2005-09-27","Sep","S",1,75,"2006-06-12","2006-09-02",86,"BrM","FL",2
3094,5,2013-01-30,54,37,128,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","E","2006-03-12","Mar","W",1,75,"2006-06-12","2006-09-02",53,"BrF","ABX",2
3453,5,2012-06-27,34,32,56,"2004-05-17","2004-05-29","2004-05-30","2004-09-02",1,"0","E","2005-01-13","Jan","W",1,37,"2005-05-26","2005-09-11",60,"BrF","CH",2
3456,6,2012-02-23,54,37,109,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","E","2006-03-12","Mar","W",1,75,"2006-06-12","2006-09-02",38,"BrM","ABX",2
3462,93,2013-02-24,54,37,101,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","E","2006-03-12","Mar","W",1,75,"2006-06-12","2006-09-02",40,"BrF","ABX",2
3486,2,2013-08-06,77,75,1,"2006-06-12","2006-09-02","2007-01-06","2007-01-29",1,"0","P","2007-06-18","Jun","S",1,82,"2007-06-14","2007-09-16",116,"BrM","ABX",2
3490,3,2012-02-09,54,37,28,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","P","2006-07-07","Jul","S",1,75,"2006-06-12","2006-09-02",27,"BrF","ABX",2
3497,3,2010-09-02,54,37,1,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","P","2006-07-18","Jul","S",1,75,"2006-06-12","2006-09-02",32,"BrF","ABX",2
3518,95,2013-07-09,54,37,28,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","E","2006-03-12","Mar","W",1,75,"2006-06-12","2006-09-02",101,"BrF","OFL",2
3519,34,2010-07-06,75,74,27,"2006-03-15","2006-03-21","2006-06-12","2006-09-02",1,"0","E","2006-11-04","Nov","W",1,77,"2007-01-06","2007-01-29",12,"BrM","ABX",2
3567,7,2012-09-16,54,37,58,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","E","2006-03-12","Mar","W",1,75,"2006-06-12","2006-09-02",83,"BrF","ABX",2
3594,5,2012-02-08,77,75,5,"2006-06-12","2006-09-02","2007-01-06","2007-01-29",1,"0","E","2007-04-07","Apr","W",1,82,"2007-06-14","2007-09-16",172,"BrF","ABX",2
3595,0,2012-09-24,54,37,95,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","E","2006-03-12","Mar","W",1,75,"2006-06-12","2006-09-02",90,"BrF","FL",2
3606,16,2012-02-03,77,75,179,"2006-06-12","2006-09-02","2007-01-06","2007-01-29",1,"0","E","2007-04-07","Apr","W",2,82,"2007-06-14","2007-09-16",100,"ABX","ABX",2
3608,12,2012-06-29,54,37,1,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","P","2006-07-25","Jul","S",1,75,"2006-06-12","2006-09-02",50,"BrF","OFL",2
3643,12,2013-08-28,54,37,113,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","P","2006-07-19","Jul","S",1,75,"2006-06-12","2006-09-02",109,"BrM","FL",2
3694,4,2013-08-22,35,34,69,"2004-05-30","2004-09-02","2004-12-18","2005-01-12",1,"0","E","2005-06-12","Jun","S",1,54,"2005-11-11","2005-12-11",123,"BrF","CH",2
3699,16,2013-07-02,77,75,55,"2006-06-12","2006-09-02","2007-01-06","2007-01-29",1,"0","E","2007-04-07","Apr","W",1,82,"2007-06-14","2007-09-16",169,"BrF","ABX",2
4803,2,2013-08-05,75,74,63,"2006-03-15","2006-03-21","2006-06-12","2006-09-02",1,"0","E","2006-11-04","Nov","W",1,77,"2007-01-06","2007-01-29",121,"BrF","H",2
4860,58,2013-02-14,75,74,54,"2006-03-15","2006-03-21","2006-06-12","2006-09-02",1,"0","E","2007-05-06","May","S",1,85,"2008-01-08","2008-02-21",480,"BrM","H",2
4861,11,2012-07-07,85,82,75,"2007-06-14","2007-09-16","2008-01-08","2008-02-21",1,"0","E","2008-07-26","Jul","S",1,90,"2008-12-30","2009-03-03",159,"BrF","ABX",2
4885,5,2013-07-13,77,75,20,"2006-06-12","2006-09-02","2007-01-06","2007-01-29",1,"0","E","2007-07-20","Jul","S",1,85,"2008-01-08","2008-02-21",155,"BrF","ABX",2
4887,36,2010-07-16,90,87,112,"2008-07-10","2008-09-07","2008-12-30","2009-03-03",1,"0","P","2009-07-21","Jul","S",1,92,"2009-06-08","2009-09-18",75,"BrM","ABX",2
4890,24,2012-06-06,90,87,24,"2008-07-10","2008-09-07","2008-12-30","2009-03-03",1,"0","P","2009-01-09","Jan","W",1,90,"2008-12-30","2009-03-03",39,"BrM","ABX",2
4892,46,2010-07-28,82,77,72,"2007-01-06","2007-01-29","2007-06-14","2007-09-16",1,"0","E","2007-11-12","Nov","W",1,85,"2008-01-08","2008-02-21",173,"BrM","ABX",2
4896,7,2010-09-04,77,75,88,"2006-06-12","2006-09-02","2007-01-06","2007-01-29",1,"0","P","2007-07-26","Jul","S",2,82,"2007-06-14","2007-09-16",71,"ABX","ABX",2
4904,36,2013-08-18,87,85,43,"2008-01-08","2008-02-21","2008-07-10","2008-09-07",1,"0","P","2009-01-07","Jan","W",1,90,"2008-12-30","2009-03-03",88,"BrF","AB",2
4933,24,2013-09-18,85,82,60,"2007-06-14","2007-09-16","2008-01-08","2008-02-21",1,"0","E","2008-05-01","May","S",1,87,"2008-07-10","2008-09-07",128,"BrM","ABX",2
4939,12,2010-07-04,82,77,4,"2007-01-06","2007-01-29","2007-06-14","2007-09-16",1,"0","E","2007-11-12","Nov","W",1,85,"2008-01-08","2008-02-21",8,"BrM","ABX",2
4941,28,2012-02-09,85,82,39,"2007-06-14","2007-09-16","2008-01-08","2008-02-21",1,"0","E","2008-05-01","May","S",1,87,"2008-07-10","2008-09-07",33,"BrF","ABX",2
4947,1,2013-02-21,87,85,110,"2008-01-08","2008-02-21","2008-07-10","2008-09-07",1,"0","E","2008-11-03","Nov","W",1,90,"2008-12-30","2009-03-03",81,"BrM","ABX",2
4954,13,2012-02-02,82,77,99,"2007-01-06","2007-01-29","2007-06-14","2007-09-16",1,"0","E","2007-11-12","Nov","W",1,85,"2008-01-08","2008-02-21",92,"BrM","ABX",2
4957,30,2013-07-16,85,82,177,"2007-06-14","2007-09-16","2008-01-08","2008-02-21",1,"0","E","2008-07-26","Jul","S",1,90,"2008-12-30","2009-03-03",165,"BrM","ABX",2
4961,4,2010-08-17,85,82,51,"2007-06-14","2007-09-16","2008-01-08","2008-02-21",1,"0","E","2008-07-26","Jul","S",1,90,"2008-12-30","2009-03-03",481,"BrF","ABX",2
4964,2,2010-08-31,77,75,57,"2006-06-12","2006-09-02","2007-01-06","2007-01-29",1,"0","E","2007-07-20","Jul","S",1,85,"2008-01-08","2008-02-21",13,"BrF","OFL",2
4965,6,2010-08-14,82,77,53,"2007-01-06","2007-01-29","2007-06-14","2007-09-16",1,"0","E","2008-02-12","Feb","W",1,87,"2008-07-10","2008-09-07",127,"BrF","ABX",2
4999,19,2013-09-16,82,77,58,"2007-01-06","2007-01-29","2007-06-14","2007-09-16",1,"0","E","2007-11-12","Nov","W",2,85,"2008-01-08","2008-02-21",45,"H","OFL",2
5000,29,2013-02-08,82,77,135,"2007-01-06","2007-01-29","2007-06-14","2007-09-16",1,"0","E","2008-02-12","Feb","W",1,87,"2008-07-10","2008-09-07",157,"BrM","H",2
5009,0,2019-02-14,75,74,13,"2006-03-15","2006-03-21","2006-06-12","2006-09-02",1,"0","E","2007-01-22","Jan","W",2,82,"2007-06-14","2007-09-16",48,"ABX","CH",2
5072,41,2010-08-17,87,85,47,"2008-01-08","2008-02-21","2008-07-10","2008-09-07",1,"0","E","2008-11-03","Nov","W",1,90,"2008-12-30","2009-03-03",30,"BrM","ABX",2
5163,0,2010-08-17,85,82,36,"2007-06-14","2007-09-16","2008-01-08","2008-02-21",1,"0","E","2008-05-01","May","S",1,87,"2008-07-10","2008-09-07",30,"BrF","ABX",2
