BirdID,Date,StndBody.mass,animal,FieldPeriodID,PeriodYear,PeriodStart,PeriodEnd,Observer,Weather,Novel.environment.score,ReleaseMethod,CatchID,ExplorationBranchOrientation,TentColour,TentTerritoryID,Wind,SexEstimate,BirthDate,BirthFieldPeriodID,BirthPeriodYear,BodyMass,Ageclass,CatchTime,Status,Time.between.tests,Social.status,TentPoles,BranchHeight,Start.of.year,Start.of.June,Season.yr.start,Season.june.start,Season,Days.into.season,mum,Ageclass2,Age_days,Testno,Age,Age_sq,Age2
1042,08/02/2012,-0.065227763,1042,112,2012,22/01/2012,28/02/2012,LJR,S,21,P,7824,D,B,2,2,F,04/07/1996,21,1996,15,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,38,38,38.2,38,1043,4,5697,1,2.155017174,32455809,3.594473651
1605,17/06/2012,-0.233811518,1605,116,2012,04/06/2012,30/09/2012,SAK,S,16,P,7961,D,B,2,0,F,06/11/2000,39,2000,14.30000019,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,168,16,16.1,16,1222,4,4241,1,1.482699839,17986081,1.873639653
1605,09/09/2012,-0.417812313,1605,116,2012,04/06/2012,30/09/2012,SAK,C,11,P,8005,D,B,2,1,F,06/11/2000,39,2000,15.30000019,A,00/01/1900,BrF,84,Primary,0,0,01/01/2012,01/06/2012,252,100,100.1,100,1222,4,4325,2,1.521487377,18705625,1.959212497
1607,31/08/2010,0.478391684,1607,104,2010,30/06/2010,10/09/2010,SP,S,6,H,7126,D,B,2,NA,M,24/06/2001,40,2001,16.79999924,A,00/01/1900,BrM,0,Primary,0,0,01/01/2010,01/06/2010,242,91,91.1,91,1222,4,3355,1,1.073583658,11256025,1.073257699
1660,17/06/2012,-0.164770101,1660,116,2012,04/06/2012,30/09/2012,DLG,C,3,P,7958,D,B,2,0,F,18/03/2002,41,2002,15.30000019,A,00/01/1900,ABX,0,Non-primary,0,0,01/01/2012,01/06/2012,168,16,16.1,16,1605,4,3744,1,1.253206902,14017536,1.401674516
1660,15/09/2013,-0.440771293,1660,122,2013,18/06/2013,30/09/2013,MB,S,0,P,8452,P,G,2,0,F,18/03/2002,41,2002,14.39999962,A,00/01/1900,BrF,455,Primary,0,0,01/01/2013,01/06/2013,257,106,106.1,106,1605,4,4199,2,1.463306069,17631601,1.83148259
1669,14/07/2012,-0.272590758,1669,116,2012,04/06/2012,30/09/2012,DJW,S,6,P,7997,D,B,2,1,F,24/07/2001,40,2001,14.30000019,A,00/01/1900,H,0,Non-primary,0,0,01/01/2012,01/06/2012,195,43,43.1,43,1503,4,4008,1,1.375110595,16064064,1.645060913
1669,14/09/2012,-0.318590957,1669,116,2012,04/06/2012,30/09/2012,SAK,S,9,P,8019,D,B,2,1,F,24/07/2001,40,2001,15.60000038,A,00/01/1900,H,62,Non-primary,0,0,01/01/2012,01/06/2012,257,105,105.1,105,1503,4,4070,2,1.403739492,16564900,1.704623582
1698,21/07/2010,0.798742508,1698,104,2010,30/06/2010,10/09/2010,SP,P,5,H,7057,D,B,2,NA,M,12/09/2001,40,2001,17.70000076,A,00/01/1900,BrM,0,Primary,0,0,01/01/2010,01/06/2010,201,50,50.1,50,1552,4,3234,1,1.017711132,10458756,0.978441293
1707,06/08/2010,-0.510826198,1707,104,2010,30/06/2010,10/09/2010,SP,C,13,H,7079,D,B,2,NA,F,19/12/2001,40,2001,14.80000019,A,00/01/1900,BrF,0,Primary,0,0,01/01/2010,01/06/2010,217,66,66.1,66,1558,4,3152,1,0.979847106,9935104,0.916165198
1707,19/02/2013,-0.602826595,1707,118,2013,22/01/2013,27/02/2013,HE,P,7,P,8217,D,B,2,0,F,19/12/2001,40,2001,14,A,00/01/1900,BrF,928,Primary,0,0,01/01/2013,01/06/2013,49,49,49.2,49,1558,4,4080,2,1.408357056,16646400,1.714316091
1710,31/01/2012,0.74158193,1710,112,2012,22/01/2012,28/02/2012,HE,S,44,P,7803,D,B,2,0,M,21/05/2002,41,2002,15,A,00/01/1900,BrM,0,Primary,0,0,01/01/2012,01/06/2012,30,30,30.2,30,524,4,3542,1,1.159932107,12545764,1.226641834
1710,27/06/2013,0.419580539,1710,122,2013,18/06/2013,30/09/2013,HE,S,30,P,8328,P,G,2,0,M,21/05/2002,41,2002,18.5,A,00/01/1900,BrM,513,Primary,0,0,01/01/2013,01/06/2013,177,26,26.1,26,524,4,4055,2,1.396813146,16443025,1.690129415
1722,02/02/2012,0.093858446,1722,112,2012,22/01/2012,28/02/2012,HE,C,9,P,7806,D,B,2,0,M,27/08/2001,40,2001,16,A,00/01/1900,BrM,0,Primary,0,0,01/01/2012,01/06/2012,32,32,32.2,32,1401,4,3811,1,1.284144581,14523721,1.461873323
1729,31/01/2012,0.392866457,1729,112,2012,22/01/2012,28/02/2012,HE,S,28,P,7802,D,B,2,0,M,01/09/2001,40,2001,16.5,A,00/01/1900,BrM,0,Primary,0,0,01/01/2012,01/06/2012,30,30,30.2,30,604,4,3804,1,1.280912287,14470416,1.455533946
1729,06/06/2012,0.300866059,1729,116,2012,04/06/2012,30/09/2012,SAK,S,53,P,7912,D,B,2,1,M,01/09/2001,40,2001,15.60000038,A,00/01/1900,BrM,127,Primary,0,0,01/01/2012,01/06/2012,157,5,5.1,5,604,4,3931,2,1.339555351,15452761,1.572360791
1729,12/06/2012,0.392866457,1729,116,2012,04/06/2012,30/09/2012,DLG,S,11,P,7946,D,B,2,0,M,01/09/2001,40,2001,15.80000019,A,00/01/1900,BrM,6,Primary,0,0,01/01/2012,01/06/2012,163,11,11.1,11,604,4,3937,3,1.342325889,15499969,1.577975073
1729,20/09/2012,0.300866059,1729,116,2012,04/06/2012,30/09/2012,VS,S,114,P,8037,D,B,2,1,M,01/09/2001,40,2001,17.60000038,A,00/01/1900,BrM,100,Primary,0,0,01/01/2012,01/06/2012,263,111,111.1,111,604,4,4037,4,1.388501531,16297369,1.672807058
1729,23/07/2013,0.438866656,1729,122,2013,18/06/2013,30/09/2013,LMG,S,38,P,8368,P,G,2,0,M,01/09/2001,40,2001,15.5,A,00/01/1900,BrM,306,Primary,0,0,01/01/2013,01/06/2013,203,52,52.1,52,604,4,4343,5,1.529798993,18861649,1.977767884
1729,24/02/2015,0.300866059,1729,139,2015,16/01/2015,05/03/2015,MB,P,47,P,8968,D,G,2,2,M,01/09/2001,40,2001,15.60000038,A,00/01/1900,BrM,581,Primary,0,0,01/01/2015,01/06/2015,54,54,54.2,54,604,4,4924,6,1.798079468,24245776,2.618083223
1731,13/02/2012,0.234077145,1731,112,2012,22/01/2012,28/02/2012,LJR,S,6,P,7836,D,B,2,0,M,21/07/2002,41,2002,16.5,A,00/01/1900,BrM,0,Primary,0,0,01/01/2012,01/06/2012,43,43,43.2,43,1701,4,3494,1,1.137767799,12208036,1.186477028
1750,31/08/2010,0.519917271,1750,104,2010,30/06/2010,10/09/2010,SP,S,52,H,7127,D,B,2,NA,M,29/07/2002,41,2002,17,A,00/01/1900,BrM,0,Primary,0,0,01/01/2010,01/06/2010,242,91,91.1,91,1362,4,2955,1,0.888881093,8732025,0.773087232
1762,04/08/2013,0.471376796,1762,122,2013,18/06/2013,30/09/2013,HE,P,51,P,8392,P,G,2,1,M,10/10/2002,41,2002,17,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,215,64,64.1,64,927,4,3951,1,1.348790479,15610401,1.591108363
1763,26/09/2013,-0.546842264,1763,122,2013,18/06/2013,30/09/2013,MB,C,14,P,8482,P,G,2,1,F,08/06/2002,41,2002,14.19999981,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,268,117,117.1,117,1152,4,4128,1,1.430521364,17040384,1.761171226
1801,28/06/2012,-0.020477541,1801,116,2012,04/06/2012,30/09/2012,DLG,P,12,P,7975,D,B,2,1,M,12/12/2002,41,2002,15.80000019,A,00/01/1900,BrM,0,Primary,0,0,01/01/2012,01/06/2012,179,27,27.1,27,845,4,3486,1,1.134073748,12152196,1.179836173
1819,14/12/2011,0.315515533,1819,110,2011,25/11/2011,24/12/2011,HD,S,121,P,7762,D,B,2,NA,M,05/08/2003,30,2003,16.60000038,A,00/01/1900,BrM,0,Primary,0,0,01/01/2011,01/06/2011,347,196,196.1,196,1355,4,3053,1,0.934133221,9320809,0.843109248
1821,30/01/2013,-0.218768834,1821,118,2013,22/01/2013,27/02/2013,HE,P,20,P,8181,D,B,2,2,F,16/08/2002,41,2002,14,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,29,29,29.2,29,1172,4,3820,1,1.288300389,14592400,1.470041075
1821,14/08/2013,-0.310769231,1821,122,2013,18/06/2013,30/09/2013,MB,C,75,P,8407,P,G,2,0,F,16/08/2002,41,2002,16,A,00/01/1900,BrF,196,Primary,0,0,01/01/2013,01/06/2013,225,74,74.1,74,1172,4,4016,2,1.378804646,16128256,1.652695042
1824,08/08/2010,-0.046698517,1824,104,2010,30/06/2010,10/09/2010,SP,S,0,H,7087,D,B,2,NA,F,10/08/2003,30,2003,14.10000038,A,00/01/1900,BrF,0,Primary,0,0,01/01/2010,01/06/2010,219,68,68.1,68,1419,4,2555,1,0.704178528,6528025,0.510973243
1824,24/06/2012,-0.000698318,1824,116,2012,04/06/2012,30/09/2012,DLG,C,26,P,7967,D,B,2,1,F,10/08/2003,30,2003,15.39999962,A,00/01/1900,BrF,686,Primary,0,0,01/01/2012,01/06/2012,175,23,23.1,23,1419,4,3241,2,1.020943427,10504081,0.983831636
1824,25/06/2013,0.275302875,1824,122,2013,18/06/2013,30/09/2013,HE,S,28,P,8325,P,G,2,0,F,10/08/2003,30,2003,17,A,00/01/1900,BrF,366,Primary,0,0,01/01/2013,01/06/2013,175,24,24.1,24,1419,4,3607,3,1.189946273,13010449,1.281905192
1824,07/08/2013,-0.092698715,1824,122,2013,18/06/2013,30/09/2013,LMG,S,49,P,8396,P,G,2,0,F,10/08/2003,30,2003,17,A,00/01/1900,BrF,43,Primary,0,0,01/01/2013,01/06/2013,218,67,67.1,67,1419,4,3650,4,1.209801799,13322500,1.319016322
1824,05/07/2014,-0.046698517,1824,125,2014,16/06/2014,04/10/2014,HE,C,44,P,8704,P,B,2,0,F,10/08/2003,30,2003,14.30000019,A,00/01/1900,BrF,332,Primary,0,0,01/01/2014,01/06/2014,185,34,34.1,34,1419,4,3982,5,1.363104928,15856324,1.620355123
