BirdID,Date,StndBody.mass,animal,FieldPeriodID,PeriodYear,PeriodStart,PeriodEnd,Observer,Weather,ReleaseMethod,CatchID,ExplorationBranchOrientation,TentColour,Novel.object.score,TentTerritoryID,Wind,SexEstimate,BirthDate,BirthFieldPeriodID,BirthPeriodYear,BodyMass,Ageclass,CatchTime,Status,Time.between.tests,Social.status,TentPoles,BranchHeight,Start.of.year,Start.of.June,Season.yr.start,Season.june.start,Season,Days.into.season,mum,Ageclass2,Age_days,Testno,Age_sd,Age_sq,Age_sq_sd
1660,15/09/2013,-0.440771293,1660,122,2013,18/06/2013,30/09/2013,MB,S,P,8452,P,G,18,2,0,F,18/03/2002,41,2002,14.39999962,A,00/01/1900,BrF,455,Primary,0,0,01/01/2013,01/06/2013,257,106,106.1,106,1605,4,4199,1,1.541609482,17631601,1.929001858
1707,19/02/2013,-0.602826595,1707,118,2013,22/01/2013,27/02/2013,HE,P,P,8217,D,B,5,2,0,F,19/12/2001,40,2001,14,A,00/01/1900,BrF,928,Primary,0,0,01/01/2013,01/06/2013,49,49,49.2,49,1558,4,4080,1,1.483980973,16646400,1.806686587
1710,27/06/2013,0.419580539,1710,122,2013,18/06/2013,30/09/2013,HE,S,P,8328,P,G,64,2,0,M,21/05/2002,41,2002,18.5,A,00/01/1900,BrM,513,Primary,0,0,01/01/2013,01/06/2013,177,26,26.1,26,524,4,4055,1,1.471874143,16443025,1.781437051
1729,23/07/2013,0.438866656,1729,122,2013,18/06/2013,30/09/2013,LMG,S,H,8368,P,G,58,2,0,M,01/09/2001,40,2001,15.5,A,00/01/1900,BrM,306,Primary,0,0,01/01/2013,01/06/2013,203,52,52.1,52,604,4,4343,1,1.611344821,18861649,2.081715521
1729,24/02/2015,0.300866059,1729,139,2015,16/01/2015,05/03/2015,MB,P,P,8968,D,G,136,2,2,M,01/09/2001,40,2001,15.60000038,A,00/01/1900,BrM,581,Primary,0,0,01/01/2015,01/06/2015,54,54,54.2,54,604,4,4924,2,1.892707544,24245776,2.750168914
1762,04/08/2013,0.471376796,1762,122,2013,18/06/2013,30/09/2013,HE,P,P,8392,P,G,88,2,1,M,10/10/2002,41,2002,17,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,215,64,64.1,64,927,4,3951,1,1.421509731,15610401,1.678064612
1763,26/09/2013,-0.546842264,1763,122,2013,18/06/2013,30/09/2013,MB,C,P,8482,P,G,32,2,1,F,08/06/2002,41,2002,14.19999981,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,268,117,117.1,117,1152,4,4128,1,1.507226086,17040384,1.855600727
1821,14/08/2013,-0.310769231,1821,122,2013,18/06/2013,30/09/2013,MB,C,P,8407,P,G,13,2,0,F,16/08/2002,41,2002,16,A,00/01/1900,BrF,196,Primary,0,0,01/01/2013,01/06/2013,225,74,74.1,74,1172,4,4016,1,1.452987489,16128256,1.74235766
1824,07/08/2013,-0.092698715,1824,122,2013,18/06/2013,30/09/2013,LMG,S,H,8396,P,G,63,2,0,F,10/08/2003,30,2003,17,A,00/01/1900,BrF,43,Primary,0,0,01/01/2013,01/06/2013,218,67,67.1,67,1419,4,3650,1,1.275743501,13322500,1.394015743
1824,05/07/2014,-0.046698517,1824,125,2014,16/06/2014,04/10/2014,HE,C,H,8704,P,B,77,2,0,F,10/08/2003,30,2003,14.30000019,A,00/01/1900,BrF,332,Primary,0,0,01/01/2014,01/06/2014,185,34,34.1,34,1419,4,3982,2,1.4365222,15856324,1.708596593
1869,10/02/2014,0.085230772,1869,124,2014,19/01/2014,04/03/2014,HE,P,P,8518,P,B,90,2,2,M,07/08/2003,30,2003,15.89999962,A,00/01/1900,BrM,0,Primary,0,0,01/01/2014,01/06/2014,40,40,40.2,40,832,4,3840,1,1.367755407,14745600,1.570697315
2966,17/02/2014,0.096546702,2966,124,2014,19/01/2014,04/03/2014,HE,P,P,8528,P,B,88,2,1,M,26/02/2004,31,2003,16.39999962,A,00/01/1900,BrM,383,Primary,0,0,01/01/2014,01/06/2014,47,47,47.2,47,1605,4,3644,1,1.272837862,13278736,1.388582329
2986,26/09/2013,0.248107547,2986,122,2013,18/06/2013,30/09/2013,MB,C,P,8469,P,G,43,2,1,F,06/03/2004,31,2003,16.10000038,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,268,117,117.1,117,869,4,3491,1,1.198744064,12187081,1.253050517
2991,20/02/2013,0.38030634,2991,118,2013,22/01/2013,27/02/2013,HE,C,P,8219,D,B,50,2,2,M,28/11/2003,31,2003,16.5,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,50,50,50.2,50,832,4,3372,1,1.141115555,11370384,1.151655456
2991,23/06/2014,0.288305943,2991,125,2014,16/06/2014,04/10/2014,HE,P,P,8632,P,B,48,2,0,M,28/11/2003,31,2003,16.10000038,A,00/01/1900,BrM,488,Primary,0,0,01/01/2014,01/06/2014,173,22,22.1,22,832,4,3860,2,1.377440871,14899600,1.589816817
3085,13/02/2015,-0.588883726,3085,139,2015,16/01/2015,05/03/2015,MB,S,P,8962,D,G,45,2,2,F,22/10/2004,34,2004,14.39999962,A,00/01/1900,BrF,976,Primary,0,0,01/01/2015,01/06/2015,43,43,43.2,43,1763,4,3766,1,1.331919191,14182756,1.500818767
