"BirdID","ObjectScore","OccasionDate","LastFPIDNatal","SecondLastFPIDNatal","NatalTerritory","SecondLastFPIDNatalPeriodStart","SecondLastFPIDNatalPeriodEnd","LastFPIDNatalPeriodStart","LastFPIDNatalPeriodEnd","Disperse","Prior_dispersal","Method","DispersalDate","DispersalMonth","DispersalMonth2","Status2","FieldPeriodID","PeriodStart","PeriodEnd","TerritoryID","Status","NatalStatus","NatalStatus2"
1707,5,2013-02-19,41,40,66,"2001-06-29","2001-07-26","2002-07-11","2002-10-02",1,"0","E","2003-02-02","Feb","W",1,30,"2003-06-06","2003-09-02",77,"BrF","ABX",2
1710,64,2013-06-27,32,31,171,"2003-12-12","2004-01-14","2004-05-17","2004-05-29",1,"0","E","2004-05-29","May","S",1,34,"2004-05-30","2004-09-02",77,"BrM","ABX",2
1729,58,2013-07-23,40,39,47,"2000-07-25","2000-08-13","2001-06-29","2001-07-26",1,"0","E","2002-01-17","Jan","W",1,41,"2002-07-11","2002-10-02",20,"BrM","CH",2
1763,32,2013-09-26,41,40,17,"2001-06-29","2001-07-26","2002-07-11","2002-10-02",1,"0","E","2003-02-02","Feb","W",1,30,"2003-06-06","2003-09-02",3,"BrF","CH",2
1821,13,2013-08-14,41,40,139,"2001-06-29","2001-07-26","2002-07-11","2002-10-02",1,"0","E","2003-02-02","Feb","W",1,30,"2003-06-06","2003-09-02",54,"BrF","CH",2
1824,63,2013-08-07,87,85,22,"2008-01-08","2008-02-21","2008-07-10","2008-09-07",1,"0","E","2008-11-03","Nov","W",1,90,"2008-12-30","2009-03-03",36,"BrF","ABX",2
1869,90,2014-02-10,35,34,83,"2004-05-30","2004-09-02","2004-12-18","2005-01-12",1,"0","E","2005-03-20","Mar","W",1,37,"2005-05-26","2005-09-11",154,"BrM","ABX",2
2966,88,2014-02-17,34,32,8,"2004-05-17","2004-05-29","2004-05-30","2004-09-02",1,"0","E","2005-01-13","Jan","W",1,37,"2005-05-26","2005-09-11",24,"BrM","OFL",2
2986,43,2013-09-26,35,34,69,"2004-05-30","2004-09-02","2004-12-18","2005-01-12",1,"0","E","2005-03-20","Mar","W",1,37,"2005-05-26","2005-09-11",82,"BrF","ABX",2
2991,50,2013-02-20,34,32,83,"2004-05-17","2004-05-29","2004-05-30","2004-09-02",1,"0","E","2005-01-13","Jan","W",1,37,"2005-05-26","2005-09-11",179,"BrM","ABX",2
3085,45,2015-02-13,75,74,3,"2006-03-15","2006-03-21","2006-06-12","2006-09-02",1,"0","P","2007-06-28","Jun","S",1,82,"2007-06-14","2007-09-16",20,"BrF","H",2
3094,54,2013-07-20,54,37,128,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","E","2006-03-12","Mar","W",1,75,"2006-06-12","2006-09-02",53,"BrF","ABX",2
3462,93,2013-02-24,54,37,101,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","E","2006-03-12","Mar","W",1,75,"2006-06-12","2006-09-02",40,"BrF","ABX",2
3486,1,2013-08-06,77,75,1,"2006-06-12","2006-09-02","2007-01-06","2007-01-29",1,"0","P","2007-06-18","Jun","S",1,82,"2007-06-14","2007-09-16",116,"BrM","ABX",2
3606,17,2013-07-10,77,75,179,"2006-06-12","2006-09-02","2007-01-06","2007-01-29",1,"0","E","2007-04-07","Apr","W",2,82,"2007-06-14","2007-09-16",100,"ABX","ABX",2
3643,23,2013-08-28,54,37,113,"2005-05-26","2005-09-11","2005-11-11","2005-12-11",1,"0","P","2006-07-19","Jul","S",1,75,"2006-06-12","2006-09-02",109,"BrM","FL",2
3694,2,2013-08-22,35,34,69,"2004-05-30","2004-09-02","2004-12-18","2005-01-12",1,"0","E","2005-06-12","Jun","S",1,54,"2005-11-11","2005-12-11",123,"BrF","CH",2
3699,9,2013-07-02,77,75,55,"2006-06-12","2006-09-02","2007-01-06","2007-01-29",1,"0","E","2007-04-07","Apr","W",1,82,"2007-06-14","2007-09-16",169,"BrF","ABX",2
4803,1,2013-08-05,75,74,63,"2006-03-15","2006-03-21","2006-06-12","2006-09-02",1,"0","E","2006-11-04","Nov","W",1,77,"2007-01-06","2007-01-29",121,"BrF","H",2
