mum_FPID,id,mum,dad,p,FPID,PeriodStart,PeriodEnd,O_Terr,dad_FPID,mum_Terr
1017_17,853,1017,NA,0.552,17,07/07/1994,29/07/1994,77,NA_17,77
1017_19,1040,1017,NA,0.389,19,22/05/1995,14/09/1995,77,NA_19,77
1017_21,1046,1017,605,0.964,21,24/06/1996,11/08/1996,77,605_21,77
1017_23,1297,1017,1018,1,23,20/12/1997,28/03/1998,77,1018_23,77
1017_25,1408,1017,1018,1,25,20/06/1998,27/09/1998,77,1018_25,77
1017_25,1437,1017,1018,1,25,20/06/1998,27/09/1998,77,1018_25,77
1017_28,1536,1017,1018,1,28,02/07/1999,26/09/1999,77,1018_28,77
1017_30,1777,1017,1018,1,30,06/06/2003,02/09/2003,77,1018_30,77
1017_39,1593,1017,1018,0.969,39,25/07/2000,13/08/2000,77,1018_39,77
1017_40,1621,1017,1018,1,40,29/06/2001,26/07/2001,77,1018_40,77
1019_23,1358,1019,494,0.579,23,20/12/1997,28/03/1998,52.1,494_23,52.1
1022_28,1542,1022,1199,1,28,02/07/1999,26/09/1999,75,1199_28,75
1024_28,1548,1024,676,1,28,02/07/1999,26/09/1999,87,676_28,87
1024_28,1547,1024,676,1,28,02/07/1999,26/09/1999,87,676_28,87
1024_30,1770,1024,1412,0.989,30,06/06/2003,02/09/2003,87,1412_30,87
1024_30,1885,1024,1412,0.999,30,06/06/2003,02/09/2003,87,1412_30,87
1024_30,1769,1024,1412,1,30,06/06/2003,02/09/2003,87,1412_30,87
1024_31,2974,1024,1412,1,31,12/12/2003,14/01/2004,87,1412_31,87
1024_35,3488,1024,1412,1,35,18/12/2004,12/01/2005,87,1412_35,87
1024_37,3652,1024,1616,0.999,37,26/05/2005,11/09/2005,87,1616_37,87
1024_75,4901,1024,1616,1,75,12/06/2006,02/09/2006,87,1616_75,87
1026_25,1407,1026,1032,1,25,20/06/1998,27/09/1998,43,1032_25,43
1042_116,6019,1042,NA,0.284,116,04/06/2012,30/09/2012,46,NA_116,46
1042_28,1549,1042,176,1,28,02/07/1999,26/09/1999,46,176_28,46
1042_28,1489,1042,453,1,28,02/07/1999,26/09/1999,46,453_28,46
1042_30,2972,1042,176,1,30,06/06/2003,02/09/2003,46,176_30,46
1042_32,2990,1042,453,0.999,32,17/05/2004,29/05/2004,46,453_32,46
1042_34,3019,1042,453,0.948,34,30/05/2004,02/09/2004,46,453_34,46
1042_37,3512,1042,1590,1,37,26/05/2005,11/09/2005,46,1590_37,46
1042_37,3513,1042,453,0.889,37,26/05/2005,11/09/2005,46,453_37,46
1042_39,1571,1042,176,0.986,39,25/07/2000,13/08/2000,46,176_39,46
1042_54,4803,1042,453,0.843,54,11/11/2005,11/12/2005,46,453_54,46
1042_75,4880,1042,453,0.998,75,12/06/2006,02/09/2006,46,453_75,46
1042_82,5123,1042,1577,0.997,82,14/06/2007,16/09/2007,46,1577_82,46
1042_92,5336,1042,1577,1,92,08/06/2009,18/09/2009,46,1577_92,46
1043_21,1042,1043,559,0.975,21,24/06/1996,11/08/1996,108,559_21,108
1043_22,1215,1043,559,0.996,22,01/07/1997,28/08/1997,108,559_22,108
1043_23,1223,1043,1276,0.961,23,20/12/1997,28/03/1998,108,1276_23,108
1043_25,3849,1043,1276,1,25,20/06/1998,27/09/1998,108,1276_25,108
1043_26,4262,1043,1306,0.999,26,12/01/1999,29/01/1999,108,1306_26,108
1043_30,3487,1043,1412,1,30,06/06/2003,02/09/2003,108,1412_30,108
1043_37,3691,1043,1412,1,37,26/05/2005,11/09/2005,108,1412_37,108
1043_37,3701,1043,1682,1,37,26/05/2005,11/09/2005,108,1682_37,108
1043_40,1672,1043,NA,0.661,40,29/06/2001,26/07/2001,108,NA_40,108
1043_40,1715,1043,676,1,40,29/06/2001,26/07/2001,108,676_40,108
1043_41,1716,1043,1412,1,41,11/07/2002,02/10/2002,108,1412_41,108
1043_75,4919,1043,1682,1,75,12/06/2006,02/09/2006,108,1682_75,108
