mum_FPID,id,mum,dad,p,FPID,PeriodStart,PeriodEnd,O_TerrNum,O_TerrID,dad_FPID,MumStatus,mum_TerrNum,mum_TerrID
1042_116,6019,1042,NA,0.284,116,04/06/2012,30/09/2012,46,63,NA_116,Dom,46,63
1042_32,2990,1042,453,0.999,32,17/05/2004,29/05/2004,46,63,453_32,Dom,46,63
1042_54,4803,1042,453,0.843,54,11/11/2005,11/12/2005,46,63,453_54,Dom,46,63
1042_82,5123,1042,1577,0.997,82,14/06/2007,16/09/2007,46,63,1577_82,Dom,46,63
1043_21,1042,1043,559,0.975,21,24/06/1996,11/08/1996,108,165,559_21,Dom,108,165
1043_87,5291,1043,3696,1,87,10/07/2008,07/09/2008,108,165,3696_87,Dom,108,165
1152_41,1763,1152,1349,1,41,11/07/2002,02/10/2002,12,17,1349_41,Dom,12,17
1172_41,1821,1172,1171,1,41,11/07/2002,02/10/2002,94.1,139,1171_41,Dom,94.1,139
1222_39,1605,1222,494,1,39,25/07/2000,13/08/2000,29,40,494_39,Dom,29,40
1222_40,1607,1222,494,1,40,29/06/2001,26/07/2001,29,40,494_40,Dom,29,40
1247_30,1852,1247,1287,0.574,30,06/06/2003,02/09/2003,17,23,1287_30,Dom,17,23
1355_30,1819,1355,1802,0.751,30,06/06/2003,02/09/2003,53,79,1802_30,Dom,53,79
1361_103,5533,1361,1698,1,103,12/02/2010,19/03/2010,35,51,1698_103,Dom,35,51
1361_75,4961,1361,1698,1,75,12/06/2006,02/09/2006,35,51,1698_75,Dom,35,51
1362_41,1750,1362,1187,0.998,41,11/07/2002,02/10/2002,4,7,1187_41,Dom,4,7
1369_30,2960,1369,1744,1,30,06/06/2003,02/09/2003,43,60,1744_30,Dom,43,60
1401_40,1722,1401,1185,1,40,29/06/2001,26/07/2001,85,125,1185_40,Sub,85,125
1403_37,3462,1403,1533,0.999,37,26/05/2005,11/09/2005,69,101,1533_37,Dom,69,101
1415_105,5772,1415,4890,0.777,105,25/06/2011,02/10/2011,28.1,39,4890_105,Dom,28.1,39
1415_75,4941,1415,1040,0.985,75,12/06/2006,02/09/2006,28.1,39,1040_75,Dom,28.1,39
1419_30,1824,1419,1287,0.998,30,06/06/2003,02/09/2003,16,22,1287_30,Dom,16,22
1438_105,5618,1438,1708,1,105,25/06/2011,02/10/2011,66,98,1708_105,Dom,66,98
1438_92,5497,1438,1708,1,92,08/06/2009,18/09/2009,66,98,1708_92,Dom,66,98
1501_35,3490,1501,1773,1,35,18/12/2004,12/01/2005,22,28,1773_35,Dom,22,28
1503_30,1864,1503,1209,1,30,06/06/2003,02/09/2003,23,30,1209_30,Dom,23,30
1503_40,1669,1503,1209,1,40,29/06/2001,26/07/2001,23,30,1209_40,Dom,23,30
1510_75,4890,1510,2966,1,75,12/06/2006,02/09/2006,18,24,2966_75,Dom,18,24
1532_75,4939,1532,911,0.972,75,12/06/2006,02/09/2006,3,4,911_75,Dom,3,4
1532_92,5462,1532,911,1,92,08/06/2009,18/09/2009,3,4,911_92,Dom,3,4
1536_82,5163,1536,1787,0.997,82,14/06/2007,16/09/2007,26.5,36,1787_82,Dom,26.5,36
1552_40,1698,1552,1504,1,40,29/06/2001,26/07/2001,38,54,1504_40,Dom,38,54
1558_40,1707,1558,1441,0.664,40,29/06/2001,26/07/2001,46.5,66,1441_40,Dom,46.5,66
1563_34,3453,1563,510,1,34,30/05/2004,02/09/2004,40,56,510_34,Dom,40,56
1580_104,5607,1580,1542,1,104,30/06/2010,10/09/2010,76,109,1542_104,Dom,76,109
1580_34,3456,1580,1512,0.999,34,30/05/2004,02/09/2004,76,109,1512_34,Dom,76,109
1605_103,5562,1605,4939,0.999,103,12/02/2010,19/03/2010,5,8,4939_103,Dom,5,8
1605_122,6047,1605,5837,1,122,18/06/2013,30/09/2013,5,8,5837_122,Sub,5,8
1605_31,2966,1605,497,0.982,31,12/12/2003,14/01/2004,5,8,497_31,Dom,5,8
1605_41,1660,1605,497,1,41,11/07/2002,02/10/2002,5,8,497_41,Dom,5,8
1617_105,5638,1617,1801,1,105,25/06/2011,02/10/2011,94.2,140,1801_105,Dom,94.2,140
1617_35,3089,1617,1610,0.994,35,18/12/2004,12/01/2005,94.2,140,1610_35,Dom,94.2,140
1660_104,5620,1660,2966,0.636,104,30/06/2010,10/09/2010,5,8,2966_104,Sub,5,8
1665_37,3643,1665,1623,1,37,26/05/2005,11/09/2005,79,113,1623_37,Dom,79,113
1669_87,5235,1669,1742,0.998,87,10/07/2008,07/09/2008,47.1,68,1742_87,Dom,47.1,68
1669_92,5537,1669,1881,0.993,92,08/06/2009,18/09/2009,47.1,68,1881_92,Sub,47.1,68
1672_75,4954,1672,1533,1,75,12/06/2006,02/09/2006,67,99,1533_75,Dom,67,99
1678_118,6048,1678,5291,0.999,118,22/01/2013,27/02/2013,88,129,5291_118,Dom,88,129
1678_82,5173,1678,3696,1,82,14/06/2007,16/09/2007,88,129,3696_82,Dom,88,129
1697_75,4883,1697,1722,1,75,12/06/2006,02/09/2006,62.1,93,1722_75,Dom,62.1,93
1701_41,1731,1701,1566,0.998,41,11/07/2002,02/10/2002,6,9,1566_41,Sub,6,9
1705_37,3486,1705,1187,1,37,26/05/2005,11/09/2005,1,1,1187_37,Sub,1,1
1705_37,3497,1705,1750,1,37,26/05/2005,11/09/2005,1,1,1750_37,Sub,1,1
1705_37,3608,1705,1750,1,37,26/05/2005,11/09/2005,1,1,1750_37,Sub,1,1
1707_105,5595,1707,1604,1,105,25/06/2011,02/10/2011,131,477,1604_105,Dom,131,477
1707_112,5832,1707,1731,1,112,22/01/2012,28/02/2012,131,477,1731_112,Dom,131,477
1707_116,5909,1707,1710,1,116,04/06/2012,30/09/2012,131,477,1710_116,Dom,131,477
1707_124,6147,1707,5822,1,124,19/01/2014,04/03/2014,131,477,5822_124,Dom,131,477
1707_125,6267,1707,5626,0.871,125,16/06/2014,04/10/2014,131,477,5626_125,Dom,131,477
1716_103,5559,1716,1877,0.999,103,12/02/2010,19/03/2010,116,173,1877_103,Dom,116,173
1716_104,5597,1716,1877,1,104,30/06/2010,10/09/2010,116,173,1877_104,Dom,116,173
1716_105,5775,1716,5334,1,105,25/06/2011,02/10/2011,116,173,5334_105,Dom,116,173
1716_116,5903,1716,4872,0.946,116,04/06/2012,30/09/2012,116,173,4872_116,Dom,116,173
1716_125,6239,1716,6012,0.966,125,16/06/2014,04/10/2014,49,70,6012_125,Dom,49,70
1717_90,5283,1717,1533,1,90,30/12/2008,03/03/2009,62,92,1533_90,Dom,62,92
1740_37,3594,1740,1187,1,37,26/05/2005,11/09/2005,3.1,5,1187_37,Dom,3.1,5
1740_85,5195,1740,1750,1,85,08/01/2008,21/02/2008,3.1,5,1750_85,Dom,3.1,5
1753_34,3087,1753,1775,1,34,30/05/2004,02/09/2004,11,16,1775_34,Dom,11,16
1757_35,3567,1757,1523,1,35,18/12/2004,12/01/2005,41.1,58,1523_35,Dom,41.1,58
1757_77,4999,1757,1523,1,77,06/01/2007,29/01/2007,41.1,58,1523_77,Dom,41.1,58
1757_92,5522,1757,1616,1,92,08/06/2009,18/09/2009,41.1,58,1616_92,Dom,41.1,58
1757_92,5523,1757,1616,1,92,08/06/2009,18/09/2009,41.1,58,1616_92,Dom,41.1,58
1763_103,5536,1763,3093,0.984,103,12/02/2010,19/03/2010,2,3,3093_103,Dom,2,3
1763_105,5774,1763,3456,1,105,25/06/2011,02/10/2011,2,3,3456_105,Dom,2,3
1763_105,5786,1763,2966,1,105,25/06/2011,02/10/2011,2,3,2966_105,Dom,2,3
1763_34,3085,1763,1287,1,34,30/05/2004,02/09/2004,2,3,1287_34,Dom,2,3
1763_92,5453,1763,1729,1,92,08/06/2009,18/09/2009,2,3,1729_92,Dom,2,3
1772_75,4885,1772,1729,1,75,12/06/2006,02/09/2006,15,20,1729_75,Dom,15,20
1778_75,5009,1778,1485,1,75,12/06/2006,02/09/2006,8,13,1485_75,Dom,8,13
1779_75,4896,1779,1796,1,75,12/06/2006,02/09/2006,59.1,88,1796_75,Dom,59.1,88
1782_85,5249,1782,1881,1,85,08/01/2008,21/02/2008,49,70,1881_85,Dom,49,70
1790_75,4887,1790,1731,0.779,75,12/06/2006,02/09/2006,78,112,1731_75,Dom,78,112
1798_90,5338,1798,2974,1,90,30/12/2008,03/03/2009,121,178,2974_90,Dom,121,178
1803_104,5586,1803,1802,0.999,104,30/06/2010,10/09/2010,53,79,1802_104,Dom,53,79
1803_104,5602,1803,1542,0.998,104,30/06/2010,10/09/2010,53,79,1542_104,Dom,53,79
1803_87,5275,1803,1356,1,87,10/07/2008,07/09/2008,53,79,1356_87,Dom,53,79
1821_75,4860,1821,1504,1,75,12/06/2006,02/09/2006,38,54,1504_75,Dom,38,54
1821_85,5262,1821,1504,1,85,08/01/2008,21/02/2008,38,54,1504_85,Dom,38,54
1824_116,5839,1824,5679,1,116,04/06/2012,30/09/2012,26.5,36,5679_116,Dom,26.5,36
1824_118,6027,1824,5679,1,118,22/01/2013,27/02/2013,26.5,36,5679_118,Dom,26.5,36
1826_105,5750,1826,3456,0.999,105,25/06/2011,02/10/2011,6,9,3456_105,Dom,6,9
1826_124,6141,1826,5780,1,124,19/01/2014,04/03/2014,6,9,5780_124,Dom,6,9
1826_92,5339,1826,1499,0.999,92,08/06/2009,18/09/2009,6,9,1499_92,Dom,6,9
1827_104,5612,1827,1744,0.999,104,30/06/2010,10/09/2010,44,61,1744_104,Dom,44,61
1852_104,5642,1852,3456,1,104,30/06/2010,10/09/2010,20,26,3456_104,Dom,20,26
1852_124,6149,1852,4890,1,124,19/01/2014,04/03/2014,20,26,4890_124,Dom,20,26
1854_103,5541,1854,1543,1,103,12/02/2010,19/03/2010,30.2,43,1543_103,zDead,30.2,43
1854_75,4904,1854,1029,0.994,75,12/06/2006,02/09/2006,30.2,43,1029_75,Dom,30.2,43
1857_92,5333,1857,3618,1,92,08/06/2009,18/09/2009,22,28,3618_92,Sub,22,28
1864_118,6024,1864,5333,0.999,118,22/01/2013,27/02/2013,111,168,5333_118,Dom,111,168
1864_92,5516,1864,1542,1,92,08/06/2009,18/09/2009,26,34,1542_92,Dom,26,34
1891_34,3094,1891,1523,1,34,30/05/2004,02/09/2004,87.1,128,1523_34,Dom,87.1,128
1892_30,2978,1892,1356,1,30,06/06/2003,02/09/2003,55,82,1356_30,Dom,55,82
1893_30,1877,1893,1524,0.997,30,06/06/2003,02/09/2003,64,95,1524_30,Sub,64,95
1893_37,3595,1893,1871,0.919,37,26/05/2005,11/09/2005,64,95,1871_37,Sub,64,95
2959_75,4964,2959,1831,1,75,12/06/2006,02/09/2006,41,57,1831_75,Dom,41,57
2963_103,5534,2963,3089,1,103,12/02/2010,19/03/2010,58,86,3089_103,Sub,58,86
2968_37,3699,2968,1769,1,37,26/05/2005,11/09/2005,39,55,1769_37,Sub,39,55
2982_75,4957,2982,1610,1,75,12/06/2006,02/09/2006,120,177,1610_75,Dom,120,177
2985_82,5072,2985,1752,1,82,14/06/2007,16/09/2007,33,47,1752_82,Sub,33,47
2987_37,3451,2987,1739,0.996,37,26/05/2005,11/09/2005,37,53,1739_37,zDead,37,53
2989_104,5545,2989,1710,1,104,30/06/2010,10/09/2010,51.2,75,1710_104,Dom,51.2,75
2989_75,4861,2989,1710,0.999,75,12/06/2006,02/09/2006,51.2,75,1710_75,Dom,51.2,75
2989_92,5447,2989,1731,1,92,08/06/2009,18/09/2009,51.2,75,1731_92,Dom,51.2,75
3002_104,5605,3002,5269,1,104,30/06/2010,10/09/2010,92.1,135,5269_104,Dom,92.1,135
3002_105,5828,3002,1801,1,105,25/06/2011,02/10/2011,92.1,135,1801_105,Dom,92.1,135
3002_122,6062,3002,5456,1,122,18/06/2013,30/09/2013,92.1,135,5456_122,Dom,92.1,135
3002_75,5000,3002,1581,1,75,12/06/2006,02/09/2006,92.1,135,1581_75,Dom,92.1,135
3002_90,5323,3002,1581,1,90,30/12/2008,03/03/2009,92.1,135,1581_90,Dom,92.1,135
3003_37,3606,3003,1710,1,37,26/05/2005,11/09/2005,122,179,1710_37,Dom,122,179
3022_104,5634,3022,1616,1,104,30/06/2010,10/09/2010,42,59,1616_104,Dom,42,59
3022_90,5292,3022,1682,1,90,30/12/2008,03/03/2009,42,59,1682_90,Dom,42,59
3085_112,5829,3085,3456,1,112,22/01/2012,28/02/2012,15,20,3456_112,Dom,15,20
3085_116,6020,3085,1729,1,116,04/06/2012,30/09/2012,15,20,1729_116,Dom,15,20
3085_125,6205,3085,6047,1,125,16/06/2014,04/10/2014,15,20,6047_125,Dom,15,20
3085_142,6549,3085,6045,1,142,22/06/2015,29/09/2015,15,20,6045_142,Dom,15,20
3085_87,5197,3085,1729,1,87,10/07/2008,07/09/2008,15,20,1729_87,Dom,15,20
3086_104,5584,3086,5204,1,104,30/06/2010,10/09/2010,2,3,5204_104,Sub,2,3
3086_116,6018,3086,5828,0.999,116,04/06/2012,30/09/2012,2,3,5828_116,Sub,2,3
3086_92,5343,3086,1729,1,92,08/06/2009,18/09/2009,2,3,1729_92,Sub,2,3
3094_116,6010,3094,4972,0.56,116,04/06/2012,30/09/2012,37,53,4972_116,Dom,37,53
3094_139,6382,3094,5855,1,139,16/01/2015,05/03/2015,37,53,5855_139,Dom,37,53
3094_75,4965,3094,1739,1,75,12/06/2006,02/09/2006,37,53,1739_75,Dom,37,53
3451_105,5600,3451,1801,1,105,25/06/2011,02/10/2011,94,138,1801_105,Dom,94,138
3451_125,6312,3451,6196,1,125,16/06/2014,04/10/2014,94,138,6196_125,Dom,94,138
3453_112,5785,3453,5523,1,112,22/01/2012,28/02/2012,43,60,5523_112,Dom,43,60
3453_116,5901,3453,NA,0.669,116,04/06/2012,30/09/2012,43,60,NA_116,Dom,43,60
3453_75,4933,3453,1699,1,75,12/06/2006,02/09/2006,43,60,1699_75,Dom,43,60
3453_90,5321,3453,1744,1,90,30/12/2008,03/03/2009,43,60,1744_90,Dom,43,60
3462_105,5653,3462,2966,1,105,25/06/2011,02/10/2011,29,40,2966_105,Dom,29,40
3462_122,6065,3462,5590,0.991,122,18/06/2013,30/09/2013,29,40,5590_122,Dom,29,40
3490_105,5833,3490,3087,1,105,25/06/2011,02/10/2011,21,27,3087_105,Dom,21,27
3490_112,5780,3490,3087,1,112,22/01/2012,28/02/2012,21,27,3087_112,Dom,21,27
3490_92,5450,3490,3615,1,92,08/06/2009,18/09/2009,21,27,3615_92,Dom,21,27
3490_92,5510,3490,3087,1,92,08/06/2009,18/09/2009,21,27,3087_92,Dom,21,27
3491_105,5826,3491,1616,1,105,25/06/2011,02/10/2011,45,62,1616_105,Dom,45,62
3491_116,5846,3491,5290,1,116,04/06/2012,30/09/2012,45,62,5290_116,Dom,45,62
3505_75,4892,3505,1774,1,75,12/06/2006,02/09/2006,50.1,72,1774_75,Dom,50.1,72
3516_104,5582,3516,2991,1,104,30/06/2010,10/09/2010,53,79,2991_104,Sub,53,79
3517_104,5561,3517,5333,1,104,30/06/2010,10/09/2010,111,168,5333_104,Dom,111,168
3517_105,5641,3517,5077,1,105,25/06/2011,02/10/2011,111,168,5077_105,Dom,111,168
3517_112,5777,3517,5333,0.998,112,22/01/2012,28/02/2012,111,168,5333_112,Dom,111,168
3517_112,5778,3517,5333,0.995,112,22/01/2012,28/02/2012,111,168,5333_112,Dom,111,168
3517_85,5220,3517,1579,1,85,08/01/2008,21/02/2008,111,168,1579_85,Dom,111,168
3518_104,5613,3518,3486,1,104,30/06/2010,10/09/2010,69,101,3486_104,Dom,69,101
3518_85,5267,3518,3454,1,85,08/01/2008,21/02/2008,69,101,3454_85,Dom,69,101
3567_103,5538,3567,1604,1,103,12/02/2010,19/03/2010,56,83,1604_103,Dom,56,83
3567_105,5657,3567,5285,1,105,25/06/2011,02/10/2011,56,83,5285_105,Dom,56,83
3567_124,6180,3567,5822,1,124,19/01/2014,04/03/2014,56,83,5822_124,Dom,56,83
3569_104,5542,3569,2966,0.991,104,30/06/2010,10/09/2010,126,407,2966_104,Dom,126,407
3590_92,5518,3590,1750,1,92,08/06/2009,18/09/2009,127,478,1750_92,Dom,127,478
3594_92,5530,3594,5197,1,92,08/06/2009,18/09/2009,123,172,5197_92,Dom,123,172
3595_104,5626,3595,5249,1,104,30/06/2010,10/09/2010,60.1,90,5249_104,Dom,60.1,90
3595_112,5842,3595,1877,1,112,22/01/2012,28/02/2012,60.1,90,1877_112,U,60.1,90
3595_122,6037,3595,5292,1,122,18/06/2013,30/09/2013,60.1,90,5292_122,Sub,60.1,90
3595_122,6050,3595,5292,1,122,18/06/2013,30/09/2013,60.1,90,5292_122,Sub,60.1,90
3596_104,5596,3596,5292,0.945,104,30/06/2010,10/09/2010,85,125,5292_104,Dom,85,125
3596_112,5821,3596,5249,1,112,22/01/2012,28/02/2012,85,125,5249_112,Dom,85,125
3596_112,5850,3596,5249,1,112,22/01/2012,28/02/2012,85,125,5249_112,Dom,85,125
3596_87,5217,3596,1579,0.999,87,10/07/2008,07/09/2008,85,125,1579_87,Sub,85,125
3596_90,5334,3596,1722,0.952,90,30/12/2008,03/03/2009,85,125,1722_90,Sub,85,125
3606_87,5285,3606,1394,1,87,10/07/2008,07/09/2008,68,100,1394_87,Sub,68,100
3608_105,5748,3608,5237,0.999,105,25/06/2011,02/10/2011,34.5,50,5237_105,Dom,34.5,50
