mum_FPID,id,mum,dad,p,FPID,PeriodStart,PeriodEnd,O_TerrNum,O_TerrID,dad_FPID,MumStatus,mum_TerrNum,mum_TerrID
1042_116,6019,1042,NA,0.284,116,04/06/2012,30/09/2012,46,63,NA_116,Dom,46,63
1042_54,4803,1042,453,0.843,54,11/11/2005,11/12/2005,46,63,453_54,Dom,46,63
1043_87,5291,1043,3696,1,87,10/07/2008,07/09/2008,108,165,3696_87,Dom,108,165
1152_41,1763,1152,1349,1,41,11/07/2002,02/10/2002,12,17,1349_41,Dom,12,17
1172_41,1821,1172,1171,1,41,11/07/2002,02/10/2002,94.1,139,1171_41,Dom,94.1,139
1403_37,3462,1403,1533,0.999,37,26/05/2005,11/09/2005,69,101,1533_37,Dom,69,101
1419_30,1824,1419,1287,0.998,30,06/06/2003,02/09/2003,16,22,1287_30,Dom,16,22
1438_105,5618,1438,1708,1,105,25/06/2011,02/10/2011,66,98,1708_105,Dom,66,98
1605_122,6047,1605,5837,1,122,18/06/2013,30/09/2013,5,8,5837_122,Sub,5,8
1605_31,2966,1605,497,0.982,31,12/12/2003,14/01/2004,5,8,497_31,Dom,5,8
1605_41,1660,1605,497,1,41,11/07/2002,02/10/2002,5,8,497_41,Dom,5,8
1617_105,5638,1617,1801,1,105,25/06/2011,02/10/2011,94.2,140,1801_105,Dom,94.2,140
1660_104,5620,1660,2966,0.636,104,30/06/2010,10/09/2010,5,8,2966_104,Sub,5,8
1665_37,3643,1665,1623,1,37,26/05/2005,11/09/2005,79,113,1623_37,Dom,79,113
1669_87,5235,1669,1742,0.998,87,10/07/2008,07/09/2008,47.1,68,1742_87,Dom,47.1,68
1678_118,6048,1678,5291,0.999,118,22/01/2013,27/02/2013,88,129,5291_118,Dom,88,129
1678_82,5173,1678,3696,1,82,14/06/2007,16/09/2007,88,129,3696_82,Dom,88,129
1697_75,4883,1697,1722,1,75,12/06/2006,02/09/2006,62.1,93,1722_75,Dom,62.1,93
1705_37,3486,1705,1187,1,37,26/05/2005,11/09/2005,1,1,1187_37,Sub,1,1
