"mum_FPID" "id" "mum" "dad" "p" "FPID" "O_Terr" "dad_FPID" "MumStatus" "mum_Terr"
"1" "1017_17" "853" "1017" NA "0.552" 17 77 "NA_17" "Dom" 77
"2" "1017_19" "1040" "1017" NA "0.389" 19 77 "NA_19" "Dom" 77
"3" "1017_21" "1046" "1017" "605" "0.964" 21 77 "605_21" "Dom" 77
"4" "1017_23" "1297" "1017" "1018" "1" 23 77 "1018_23" "Dom" 77
"5" "1017_25" "1408" "1017" "1018" "1" 25 77 "1018_25" "Dom" 77
"6" "1017_25" "1437" "1017" "1018" "1" 25 77 "1018_25" "Dom" 77
"7" "1017_28" "1536" "1017" "1018" "1" 28 77 "1018_28" "Dom" 77
"8" "1017_30" "1777" "1017" "1018" "1" 30 77 "1018_30" "Dom" 77
"9" "1017_39" "1593" "1017" "1018" "0.969" 39 77 "1018_39" "Dom" 77
"10" "1017_40" "1621" "1017" "1018" "1" 40 77 "1018_40" "Dom" 77
"11" "1019_23" "1358" "1019" "494" "0.579" 23 52.1 "494_23" "Dom" 52.1
"12" "1022_28" "1542" "1022" "1199" "1" 28 75 "1199_28" "Dom" 75
"13" "1024_28" "1548" "1024" "676" "1" 28 87 "676_28" "Dom" 87
"14" "1024_28" "1547" "1024" "676" "1" 28 87 "676_28" "Dom" 87
"15" "1024_30" "1770" "1024" "1412" "0.989" 30 87 "1412_30" "Dom" 87
"16" "1024_30" "1885" "1024" "1412" "0.999" 30 87 "1412_30" "Dom" 87
"17" "1024_30" "1769" "1024" "1412" "1" 30 87 "1412_30" "Dom" 87
"18" "1024_31" "2974" "1024" "1412" "1" 31 87 "1412_31" "Dom" 87
"19" "1024_35" "3488" "1024" "1412" "1" 35 87 "1412_35" "Dom" 87
"20" "1024_37" "3652" "1024" "1616" "0.999" 37 87 "1616_37" "Dom" 87
"21" "1024_75" "4901" "1024" "1616" "1" 75 87 "1616_75" "Dom" 87
"22" "1026_25" "1407" "1026" "1032" "1" 25 43 "1032_25" "Dom" 43
"23" "1042_116" "6019" "1042" NA "0.284" 116 46 "NA_116" "Dom" 46
"24" "1042_28" "1549" "1042" "176" "1" 28 46 "176_28" "Dom" 46
"25" "1042_28" "1489" "1042" "453" "1" 28 46 "453_28" "Dom" 46
"26" "1042_30" "2972" "1042" "176" "1" 30 46 "176_30" "Dom" 46
"27" "1042_32" "2990" "1042" "453" "0.999" 32 46 "453_32" "Dom" 46
"28" "1042_34" "3019" "1042" "453" "0.948" 34 46 "453_34" "Dom" 46
"29" "1042_37" "3512" "1042" "1590" "1" 37 46 "1590_37" "Dom" 46
"30" "1042_37" "3513" "1042" "453" "0.889" 37 46 "453_37" "Dom" 46
"31" "1042_39" "1571" "1042" "176" "0.986" 39 46 "176_39" "Dom" 46
"32" "1042_54" "4803" "1042" "453" "0.843" 54 46 "453_54" "Dom" 46
"33" "1042_75" "4880" "1042" "453" "0.998" 75 46 "453_75" "Dom" 46
"34" "1042_82" "5123" "1042" "1577" "0.997" 82 46 "1577_82" "Dom" 46
"35" "1042_92" "5336" "1042" "1577" "1" 92 46 "1577_92" "Dom" 46
"36" "1043_21" "1042" "1043" "559" "0.975" 21 108 "559_21" "Dom" 108
"37" "1043_22" "1215" "1043" "559" "0.996" 22 108 "559_22" "Dom" 108
"38" "1043_23" "1223" "1043" "1276" "0.961" 23 108 "1276_23" "Dom" 108
"39" "1043_25" "3849" "1043" "1276" "1" 25 108 "1276_25" "Dom" 108
"40" "1043_26" "4262" "1043" "1306" "0.999" 26 108 "1306_26" "Dom" 108
"41" "1043_30" "3487" "1043" "1412" "1" 30 108 "1412_30" "Dom" 108
"42" "1043_37" "3691" "1043" "1412" "1" 37 108 "1412_37" "Dom" 108
"43" "1043_37" "3701" "1043" "1682" "1" 37 108 "1682_37" "Dom" 108
"44" "1043_40" "1672" "1043" NA "0.661" 40 108 "NA_40" "Dom" 108
"45" "1043_40" "1715" "1043" "676" "1" 40 108 "676_40" "Dom" 108
"46" "1043_41" "1716" "1043" "1412" "1" 41 108 "1412_41" "Dom" 108
"47" "1043_75" "4919" "1043" "1682" "1" 75 108 "1682_75" "Dom" 108
"48" "1043_82" "5122" "1043" "1412" "0.99" 82 108 "1412_82" "Dom" 108
"49" "1043_87" "5291" "1043" "3696" "1" 87 108 "3696_87" "Dom" 108
"50" "1049_23" "1298" "1049" "636" "0.999" 23 81 "636_23" "Dom" 81
"51" "1049_25" "1363" "1049" "776" "1" 25 81 "776_25" "Dom" 81
"52" "1049_27" "1422" "1049" "632" "1" 27 81 "632_27" "Dom" 81
"53" "1049_40" "1709" "1049" "1608" "1" 40 81 "1608_40" "Dom" 81
"54" "1049_41" "1685" "1049" NA "0.657" 41 81 "NA_41" "Dom" 81
"55" "1059_28" "1514" "1059" "494" "0.999" 28 18 "494_28" "Dom" 18
"56" "1059_30" "1848" "1059" "1666" "0.98" 30 18 "1666_30" "Dom" 28
"57" "1059_30" "1848" "1059" "1666" "0.98" 30 18 "1666_30" "Dom" 18
"58" "1059_39" "1591" "1059" "1020" "0.999" 39 18 "1020_39" "Dom" 18
"59" "1059_40" "1665" "1059" "494" "1" 40 18 "494_40" "Dom" 18
"60" "1130_39" "1615" "1130" "1356" "1" 39 55 "1356_39" "Dom" 55
"61" "1152_41" "1763" "1152" "1349" "1" 41 12 "1349_41" "Dom" 12
"62" "1155_28" "1438" "1155" "1154" "1" 28 112 "1154_28" "Dom" 112
"63" "1155_30" "1881" "1155" "453" "1" 30 112 "453_30" "Dom" 112
"64" "1155_41" "1785" "1155" "453" "1" 41 112 "453_41" "Dom" 112
