"BirdID","TerritoryID","Status","FieldPeriodID","PeriodStart","PeriodEnd"
4803,63,"CH",54,"11/11/2005","11/12/2005"
5291,165,"CH",87,"10/07/2008","07/09/2008"
1763,17,"CH",41,"11/07/2002","02/10/2002"
1821,139,"CH",41,"11/07/2002","02/10/2002"
3462,101,"CH",37,"26/05/2005","11/09/2005"
1824,22,"CH",30,"06/06/2003","02/09/2003"
5618,98,"CH",105,"25/06/2011","02/10/2011"
6047,8,"CH",122,"18/06/2013","30/09/2013"
2966,8,"CH",31,"12/12/2003","14/01/2004"
1660,8,"CH",41,"11/07/2002","02/10/2002"
5638,140,"CH",105,"25/06/2011","02/10/2011"
3643,113,"CH",37,"26/05/2005","11/09/2005"
5235,68,"CH",87,"10/07/2008","07/09/2008"
6048,129,"CH",118,"22/01/2013","27/02/2013"
5173,129,"CH",82,"14/06/2007","16/09/2007"
4883,93,"CH",75,"12/06/2006","02/09/2006"
3486,1,"CH",37,"26/05/2005","11/09/2005"
5909,477,"CH",116,"04/06/2012","30/09/2012"
6147,477,"CH",124,"19/01/2014","04/03/2014"
6267,477,"CH",125,"16/06/2014","04/10/2014"
5559,173,"CH",103,"12/02/2010","19/03/2010"
5597,173,"CH",104,"30/06/2010","10/09/2010"
6239,70,"CH",125,"16/06/2014","04/10/2014"
4999,58,"CH",77,"06/01/2007","29/01/2007"
5522,58,"CH",92,"08/06/2009","18/09/2009"
5523,58,"CH",92,"08/06/2009","18/09/2009"
5536,3,"CH",103,"12/02/2010","19/03/2010"
5774,3,"CH",105,"25/06/2011","02/10/2011"
3085,3,"CH",34,"30/05/2004","02/09/2004"
5453,3,"CH",92,"08/06/2009","18/09/2009"
4885,20,"CH",75,"12/06/2006","02/09/2006"
5009,13,"CH",75,"12/06/2006","02/09/2006"
5249,70,"CH",85,"08/01/2008","21/02/2008"
5338,178,"CH",90,"30/12/2008","03/03/2009"
5839,36,"CH",116,"04/06/2012","30/09/2012"
5750,9,"CH",105,"25/06/2011","02/10/2011"
6141,9,"CH",124,"19/01/2014","04/03/2014"
5612,61,"CH",104,"30/06/2010","10/09/2010"
5642,26,"CH",104,"30/06/2010","10/09/2010"
6149,26,"CH",124,"19/01/2014","04/03/2014"
4904,43,"CH",75,"12/06/2006","02/09/2006"
6024,168,"CH",118,"22/01/2013","27/02/2013"
3094,128,"CH",34,"30/05/2004","02/09/2004"
3699,55,"CH",37,"26/05/2005","11/09/2005"
4957,177,"CH",75,"12/06/2006","02/09/2006"
5072,47,"CH",82,"14/06/2007","16/09/2007"
3451,53,"CH",37,"26/05/2005","11/09/2005"
5545,75,"CH",104,"30/06/2010","10/09/2010"
5447,75,"CH",92,"08/06/2009","18/09/2009"
6062,135,"CH",122,"18/06/2013","30/09/2013"
5000,135,"CH",75,"12/06/2006","02/09/2006"
3606,179,"CH",37,"26/05/2005","11/09/2005"
5634,59,"CH",104,"30/06/2010","10/09/2010"
5829,20,"CH",112,"22/01/2012","28/02/2012"
