"BirdID","Disperse","Inherit","DispersalDate","DispersalMonth2","NatalTerritory","DisperseTerritoryID","DisperseStatus","NatalStatus","DisperseStatus2","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2","PopDensity.all","PopDensity.old","GroupSize.all","GroupSize.old","NoTranslocationEvents","TranslocationYN","Distance","NatalTerritorySize","DisperseTerritorySize","InsectAbundance","InsectDensity","SexEstimate","Novel.environment.score","StndBody.mass","BodyMass","Weather","Observer","TentColour","ExplorationBranchOrientation","ReleaseMethod","Time.between.tests","Social.status","TentPoles","BranchHeight","Days.into.season","Testno","Ageclass","Age","Age2","Age_sq","Season"
1605,1,NA,"2002-01-17","W",40,8,"BrF","ABX",1,437,437,"2000-11-06","2000-11-06",NA,NA,2002,2000,2000,275,256,4,3,NA,"N",176.705970470723,2094,3030,NA,NA,0,11,-0.417812313,15.30000019,"C","SAK","B","D","P",84,"Primary",0,0,100,2,"A",1.521487377,1.959212497,18705625,100.1
1605,1,NA,"2002-01-17","W",40,8,"BrF","ABX",1,437,437,"2000-11-06","2000-11-06",NA,NA,2002,2000,2000,275,256,4,3,NA,"N",176.705970470723,2094,3030,NA,NA,0,16,-0.233811518,14.30000019,"S","SAK","B","D","P",0,"Primary",0,0,16,1,"A",1.482699839,1.873639653,17986081,16.1
1607,1,NA,"2003-05-08","S",40,13,"BrM","ABX",1,682.958333333333,682.958333333333,"2001-06-24","2001-06-24",NA,NA,2003,2001,2001,333,270,5,5,NA,"N",200.800896412342,1315,2167,NA,NA,1,6,0.478391684,16.79999924,"S","SP","B","D","H",0,"Primary",0,0,91,1,"A",1.073583658,1.073257699,11256025,91.1
1660,0,1,NA,NA,8,NA,NA,NA,NA,NA,NA,"2002-03-18","2002-03-18",1,1,NA,2002,2002,267,265,4,4,2,"Y",NA,NA,NA,1136.736848003,3.127143292,0,0,-0.440771293,14.39999962,"S","MB","G","P","P",455,"Primary",0,0,106,2,"A",1.463306069,1.83148259,17631601,106.1
1660,0,1,NA,NA,8,NA,NA,NA,NA,NA,NA,"2002-03-18","2002-03-18",1,1,NA,2002,2002,267,265,4,4,2,"Y",NA,NA,NA,1136.736848003,3.127143292,0,3,-0.164770101,15.30000019,"C","DLG","B","D","P",0,"Non-primary",0,0,16,1,"A",1.253206902,1.401674516,14017536,16.1
1669,1,NA,"2002-07-01","S",30,68,"BrF","CH",1,341.958333333333,341.958333333333,"2001-07-24","2001-07-24",NA,NA,2002,2001,2001,275,256,4,4,NA,"N",51.662365412358,1915,2058,NA,NA,0,9,-0.318590957,15.60000038,"S","SAK","B","D","P",62,"Non-primary",0,0,105,2,"A",1.403739492,1.704623582,16564900,105.1
1669,1,NA,"2002-07-01","S",30,68,"BrF","CH",1,341.958333333333,341.958333333333,"2001-07-24","2001-07-24",NA,NA,2002,2001,2001,275,256,4,4,NA,"N",51.662365412358,1915,2058,NA,NA,0,6,-0.272590758,14.30000019,"S","DJW","B","D","P",0,"Non-primary",0,0,43,1,"A",1.375110595,1.645060913,16064064,43.1
1707,1,NA,"2003-02-02","W",66,77,"BrF","ABX",1,410,410,"2001-12-19","2001-12-19",NA,NA,2003,2001,2001,333,270,4,4,NA,"N",483.735464897913,970,2037,NA,NA,0,7,-0.602826595,14,"P","HE","B","D","P",928,"Primary",0,0,49,2,"A",1.408357056,1.714316091,16646400,49.2
1707,1,NA,"2003-02-02","W",66,77,"BrF","ABX",1,410,410,"2001-12-19","2001-12-19",NA,NA,2003,2001,2001,333,270,4,4,NA,"N",483.735464897913,970,2037,NA,NA,0,13,-0.510826198,14.80000019,"C","SP","B","D","H",0,"Primary",0,0,66,1,"A",0.979847106,0.916165198,9935104,66.1
1722,1,NA,"2002-01-17","W",125,90,"BrM","CH",1,143,143,"2001-08-27","2001-08-27",NA,NA,2002,2001,2001,275,256,4,3,NA,"N",41.4849370253831,1836,2400,NA,NA,1,9,0.093858446,16,"C","HE","B","D","P",0,"Primary",0,0,32,1,"A",1.284144581,1.461873323,14523721,32.2
